	Country 	UCI Team 	UCI Cat 	Rider 	Born 	Price 	Prev 	Score ↓
1. 	GBR 	SKY 	WT 	Chris Froome 	1985 	36 	2777 	3334
2. 	BEL 	BMC 	WT 	Greg Van Avermaet 	1985 	34 	2516 	2916
3. 	SVK 	BOH 	WT 	Peter Sagan 	1990 	48 	4334 	2695
4. 	NED 	SUN 	WT 	Tom Dumoulin 	1990 	24 	1600 	2565
5. 	NOR 	KAT 	WT 	Alexander Kristoff 	1987 	34 	2296 	2545
6. 	ITA 	TBM 	WT 	Vincenzo Nibali 	1984 	22 	1113 	2315
7. 	AUS 	SUN 	WT 	Michael Matthews 	1990 	22 	1565 	2073
8. 	COL 	QST 	WT 	Fernando Gaviria 	1994 	22 	1178 	1942
9. 	POL 	SKY 	WT 	Michal Kwiatkowski 	1990 	18 	540 	1875
10. 	FRA 	FDJ 	WT 	Thibaut Pinot 	1990 	16 	1012 	1852
11. 	ITA 	SKY 	WT 	Elia Viviani 	1989 	10 	155 	1827
12. 	ITA 	QST 	WT 	Matteo Trentin 	1989 	14 	880 	1778
13. 	FRA 	FDJ 	WT 	Arnaud Démare 	1991 	18 	1325 	1718
14. 	BEL 	QST 	WT 	Philippe Gilbert 	1982 	12 	809 	1629
15. 	GER 	LTS 	WT 	André Greipel 	1982 	18 	1246 	1601
16. 	ESP 	MOV 	WT 	Alejandro Valverde 	1980 	34 	2233 	1580
17. 	FRA 	QST 	WT 	Julian Alaphilippe 	1992 	28 	1625 	1576
18. 	ESP 	TFS 	WT 	Alberto Contador 	1982 	18 	1840 	1560
19. 	COL 	MOV 	WT 	Nairo Quintana 	1990 	36 	2759 	1558
20. 	NOR 	DDD 	WT 	Edvald Boasson Hagen 	1987 	16 	1190 	1520
21. 	ITA 	AST 	WT 	Fabio Aru 	1990 	20 	960 	1485
22. 	RUS 	KAT 	WT 	Ilnur Zakarin 	1989 	12 	880 	1485
23. 	IRL 	QST 	WT 	Daniel Martin 	1986 	16 	1111 	1445
24. 	COL 	CDT 	WT 	Rigoberto Uran 	1987 	14 	1120 	1380
25. 	BEL 	TFS 	WT 	Jasper Stuyven 	1992 	10 	550 	1380
26. 	ITA 	TBM 	WT 	Sonny Colbrelli 	1990 	22 	1825 	1340
27. 	FRA 	COF 	PROF 	Nacer Bouhanni 	1990 	20 	1472 	1335
28. 	SLO 	TLJ 	WT 	Primož Roglič 	1989 	8 	602 	1330
29. 	SUI 	ORS 	WT 	Michael Albasini 	1980 	6 	545 	1325
30. 	ITA 	SKY 	WT 	Gianni Moscon 	1994 	12 	730 	1269
31. 	ITA 	ALM 	WT 	Domenico Pozzovivo 	1982 	8 	167 	1226
32. 	NED 	TFS 	WT 	Bauke Mollema 	1986 	12 	940 	1225
33. 	BEL 	LTS 	WT 	Tim Wellens 	1991 	10 	721 	1223
34. 	NED 	TLJ 	WT 	Dylan Groenewegen 	1993 	20 	1663 	1215
35. 	ESP 	SKY 	WT 	Mikel Landa 	1989 	16 	366 	1210
36. 	GBR 	ORS 	WT 	Adam Yates 	1992 	18 	935 	1177
37. 	GER 	QST 	WT 	Marcel Kittel 	1988 	20 	1145 	1166
38. 	FRA 	ALM 	WT 	Romain Bardet 	1990 	24 	1777 	1165
39. 	BEL 	ALM 	WT 	Oliver Naesen 	1990 	10 	710 	1160
40. 	ITA 	UAD 	WT 	Diego Ulissi 	1989 	22 	2020 	1155
41. 	POL 	BOH 	WT 	Rafal Majka 	1989 	12 	955 	1139
42. 	GBR 	ORS 	WT 	Simon Yates 	1992 	18 	921 	1138
43. 	GER 	TFS 	WT 	John Degenkolb 	1989 	20 	750 	1090
44. 	LUX 	QST 	WT 	Bob Jungels 	1992 	20 	1325 	1088
45. 	BEL 	BMC 	WT 	Dylan Teuns 	1992 	2 	44 	1056
46. 	LUX 	BMC 	WT 	Jempy Drucker 	1986 	8 	519 	1025
47. 	NED 	SUN 	WT 	Wilco Kelderman 	1991 	10 	649 	1006
48. 	FRA 	ALM 	WT 	Alexis Vuillermoz 	1988 	2 	120 	985
49. 	ESP 	TBM 	WT 	Ion Izagirre 	1989 	18 	1387 	960
50. 	COL 	SKY 	WT 	Sergio Henao 	1987 	10 	731 	921
51. 	IRL 	BOH 	WT 	Sam Bennett 	1990 	6 	465 	900
52. 	BEL 	LTS 	WT 	Jasper De Buyst 	1993 	1 	0 	880
53. 	GBR 	SKY 	WT 	Geraint Thomas 	1986 	10 	716 	875
54. 	FRA 	SUN 	WT 	Warren Barguil 	1991 	10 	746 	871
55. 	COL 	AST 	WT 	Miguel Angel Lopez 	1994 	10 	576 	865
56. 	BEL 	LTS 	WT 	Tiesj Benoot 	1994 	10 	705 	845
57. 	NED 	SKY 	WT 	Wout Poels 	1987 	12 	640 	834
58. 	FRA 	LTS 	WT 	Tony Gallopin 	1988 	12 	825 	805
59. 	IRL 	BMC 	WT 	Nicholas Roche 	1984 	12 	950 	785
60. 	BEL 	CDT 	WT 	Sep Vanmarcke 	1988 	14 	1035 	770
61. 	POR 	UAD 	WT 	Rui Costa 	1986 	16 	1130 	751
62. 	AUS 	BMC 	WT 	Richie Porte 	1985 	16 	890 	747
63. 	SUI 	BMC 	WT 	Silvan Dillier 	1990 	2 	44 	745
64. 	CZE 	QST 	WT 	Zdeněk Štybar 	1985 	14 	880 	735
65. 	BEL 	TFS 	WT 	Edward Theuns 	1991 	10 	735 	731
66. 	ITA 	TBM 	WT 	Giovanni Visconti 	1983 	10 	835 	730
67. 	ESP 	MOV 	WT 	Jonathan Castroviejo 	1987 	12 	958 	717
68. 	RSA 	UAD 	WT 	Louis Meintjes 	1992 	8 	560 	710
69. 	ITA 	UAD 	WT 	Sacha Modolo 	1987 	6 	415 	705
70. 	AUS 	ORS 	WT 	Luke Durbridge 	1991 	2 	155 	695
71. 	SUI 	BMC 	WT 	Stefan Küng 	1993 	4 	170 	694
72. 	AUS 	BMC 	WT 	Rohan Dennis 	1990 	14 	1169 	682
73. 	NED 	QST 	WT 	Niki Terpstra 	1984 	14 	877 	678
74. 	AUS 	ORS 	WT 	Caleb Ewan 	1994 	8 	485 	677
75. 	USA 	BMC 	WT 	Tejay van Garderen 	1988 	8 	394 	672
76. 	CAN 	CDT 	WT 	Michael Woods 	1986 	4 	250 	660
77. 	BEL 	QST 	WT 	Yves Lampaert 	1991 	8 	474 	644
78. 	FRA 	ALM 	WT 	Rudy Barbier 	1992 	6 	255 	625
79. 	ITA 	NIP 	PROF 	Marco Canola 	1988 	1 	0 	611
80. 	NED 	TLJ 	WT 	Jos van Emden 	1985 	8 	502 	610
81. 	NED 	TLJ 	WT 	Lars Boom 	1985 	4 	230 	609
82. 	FRA 	DEN 	PROF 	Lilian Calmejane 	1992 	2 	110 	602
83. 	ITA 	AND 	PROF 	Francesco Gavazzi 	1984 	6 	615 	600
84. 	ITA 	TFS 	WT 	Fabio Felline 	1990 	10 	500 	584
85. 	SLO 	KAT 	WT 	Simon Spilak 	1986 	8 	270 	567
86. 	NED 	SUN 	WT 	Sam Oomen 	1995 	4 	300 	566
87. 	BEL 	TLJ 	WT 	Victor Campenaerts 	1991 	6 	355 	565
88. 	SLO 	UAD 	WT 	Jan Polanc 	1992 	1 	15 	560
89. 	BEL 	WGG 	PROF 	Kenny Dehaes 	1984 	6 	440 	555
90. 	NZL 	TLJ 	WT 	George Bennett 	1990 	6 	350 	551
91. 	NED 	TLJ 	WT 	Steven Kruijswijk 	1987 	10 	635 	550
92. 	ITA 	BMC 	WT 	Damiano Caruso 	1987 	2 	170 	538
93. 	GER 	KAT 	WT 	Tony Martin 	1985 	18 	805 	525
94. 	SLO 	ORS 	WT 	Luka Mezgec 	1988 	2 	165 	520
95. 	DEN 	TFS 	WT 	Mads Pedersen 	1995 	1 	85 	502
96. 	ESP 	MOV 	WT 	Gorka Izagirre 	1987 	2 	155 	500
97. 	DEN 	SUN 	WT 	Søren Kragh Andersen 	1994 	2 	115 	496
98. 	FRA 	COF 	PROF 	Julien Simon 	1985 	4 	265 	495
99. 	DEN 	AST 	WT 	Michael Valgren 	1992 	6 	465 	485
100. 	FRA 	FDJ 	WT 	David Gaudu 	1996 	1 	60 	485
101. 	ITA 	AND 	PROF 	Mattia Cattaneo 	1990 	1 	20 	485
102. 	KAZ 	AST 	WT 	Alexey Lutsenko 	1992 	6 	355 	483
103. 	BEL 	ORS 	WT 	Jens Keukeleire 	1988 	10 	726 	480
104. 	BEL 	ALM 	WT 	Jan Bakelants 	1986 	12 	505 	480
105. 	ESP 	MOV 	WT 	Marc Soler 	1993 	4 	165 	472
106. 	COL 	AND 	PROF 	Egan Bernal 	1997 	1 	90 	470
107. 	DEN 	AST 	WT 	Jakob Fuglsang 	1985 	10 	713 	465
108. 	NOR 	TCO 	CONT 	August Jensen 	1991 	1 	30 	465
109. 	IRL 	CDT 	WT 	Ryan Mullen 	1994 	4 	260 	458
110. 	BLR 	SKY 	WT 	Vasil Kiryienka 	1981 	6 	480 	455
111. 	FRA 	ALM 	WT 	Pierre Latour 	1993 	10 	671 	445
112. 	ESP 	CJR 	PROF 	Jaime Roson 	1993 	1 	105 	445
113. 	ESP 	QST 	WT 	David De La Cruz 	1989 	6 	444 	440
114. 	ESP 	MOV 	WT 	Jesus Herrada 	1990 	2 	110 	440
115. 	BEL 	LTS 	WT 	Sander Armee 	1985 	2 	120 	435
116. 	AUT 	BOH 	WT 	Lukas Pöstlberger 	1992 	1 	0 	435
117. 	GBR 	UAD 	WT 	Ben Swift 	1987 	10 	720 	430
118. 	ITA 	CDT 	WT 	David Villella 	1991 	8 	535 	430
119. 	FRA 	ALM 	WT 	Alexandre Geniez 	1988 	6 	342 	430
120. 	ITA 	WGG 	PROF 	Andrea Pasqualon 	1988 	4 	250 	430
121. 	GER 	BOH 	WT 	Emanuel Buchmann 	1992 	2 	110 	430
122. 	NED 	CDT 	WT 	Dylan van Baarle 	1992 	6 	400 	425
123. 	ARG 	QST 	WT 	Maximiliano Richeze 	1983 	6 	420 	420
124. 	ESP 	SKY 	WT 	Mikel Nieve 	1984 	8 	340 	419
125. 	BEL 	VWC 	PROF 	Timothy Dupont 	1987 	10 	775 	410
126. 	FRA 	FDJ 	WT 	Arthur Vichot 	1988 	4 	220 	410
127. 	BEL 	WGG 	PROF 	Tom Devriendt 	1991 	1 	80 	410
128. 	AUT 	TFS 	WT 	Matthias Brändle 	1989 	4 	250 	401
129. 	NED 	LTS 	WT 	Moreno Hofland 	1991 	4 	225 	400
130. 	FRA 	FVC 	PROF 	Laurent Pichon 	1986 	1 	70 	400
131. 	DEN 	ORS 	WT 	Magnus Cort Nielsen 	1993 	10 	581 	382
132. 	USA 	BMC 	WT 	Brent Bookwalter 	1984 	4 	270 	375
133. 	NED 	CDT 	WT 	Tom Jelte Slagter 	1989 	6 	345 	370
134. 	FRA 	ADT 	CONT 	Benjamin Thomas 	1995 	1 	0 	370
135. 	CZE 	QST 	WT 	Petr Vakoc 	1992 	14 	935 	365
136. 	GER 	SUN 	WT 	Phil Bauhaus 	1994 	2 	160 	360
137. 	ITA 	CDT 	WT 	Alberto Bettiol 	1993 	10 	770 	355
138. 	AUS 	ORS 	WT 	Jack Haig 	1993 	2 	151 	352
139. 	GBR 	ABS 	PROF 	Adam Blythe 	1989 	2 	200 	350
140. 	NED 	RNL 	PROF 	Coen Vermeltfoort 	1988 	1 	0 	350
141. 	POL 	BOH 	WT 	Maciej Bodnar 	1985 	6 	620 	345
142. 	FRA 	DEN 	PROF 	Adrien Petit 	1990 	6 	320 	345
143. 	FRA 	DEN 	PROF 	Jonathan Hivert 	1985 	4 	200 	345
144. 	BEL 	SVB 	PROF 	Bert Van Lerberghe 	1992 	2 	160 	345
145. 	FRA 	FDJ 	WT 	Marc Sarreau 	1993 	1 	45 	345
146. 	DEN 	ABB 	CONT 	Martin Toft Madsen 	1985 	4 	230 	340
147. 	FRA 	DEN 	PROF 	Sylvain Chavanel 	1979 	4 	320 	335
148. 	NED 	CDT 	WT 	Wouter Wippert 	1990 	4 	190 	335
149. 	AUT 	BOH 	WT 	Gregor Mühlberger 	1994 	1 	0 	330
150. 	ESP 	DDD 	WT 	Omar Fraile 	1990 	4 	220 	325
151. 	LTU 	FDJ 	WT 	Ignatas Konovalovas 	1985 	1 	100 	325
152. 	BEL 	LTS 	WT 	Jens Debusschere 	1989 	10 	745 	320
153. 	CZE 	CCC 	PROF 	Jan Hirt 	1991 	2 	125 	320
154. 	GBR 	SKY 	WT 	Luke Rowe 	1990 	6 	445 	315
155. 	FRA 	WGG 	PROF 	Guillaume Martin 	1993 	2 	140 	315
156. 	BEL 	QST 	WT 	Iljo Keisse 	1982 	1 	5 	315
157. 	ESP 	MOV 	WT 	Jose Joaquin Rojas 	1985 	2 	123 	312
158. 	FRA 	CDT 	WT 	Pierre Rolland 	1986 	2 	160 	310
159. 	GER 	BOH 	WT 	Pascal Ackermann 	1994 	2 	140 	310
160. 	AUT 	BOH 	WT 	Patrick Konrad 	1991 	2 	130 	310
161. 	NED 	TLJ 	WT 	Timo Roosen 	1993 	1 	47 	310
162. 	ESP 	AST 	WT 	Luis Leon Sanchez 	1983 	6 	376 	305
163. 	USA 	RLY 	CONT 	Evan Huffman 	1990 	2 	164 	305
164. 	POR 	MOV 	WT 	Nelson Oliveira 	1989 	8 	620 	302
165. 	BEL 	WGG 	PROF 	Xandro Meurisse 	1992 	6 	430 	300
166. 	FRA 	COF 	PROF 	Clement Venturini 	1993 	1 	95 	290
167. 	ECU 	MOV 	WT 	Richard Carapaz 	1993 	1 	0 	290
168. 	BEL 	BMC 	WT 	Ben Hermans 	1986 	6 	484 	286
169. 	BEL 	QST 	WT 	Tom Boonen 	1980 	14 	1175 	285
170. 	FRA 	WVA 	PROF 	Justin Jules 	1986 	1 	0 	280
171. 	SLO 	UAD 	WT 	Matej Mohoric 	1994 	1 	0 	280
172. 	NED 	CDT 	WT 	Sebastian Langeveld 	1985 	1 	90 	275
173. 	BEL 	CIB 	CONT 	Joeri Stallaert 	1991 	1 	20 	275
174. 	USA 	CDT 	WT 	Alex Howes 	1988 	1 	10 	275
175. 	BEL 	KAT 	WT 	Baptiste Planckaert 	1988 	10 	730 	270
176. 	ESP 	TLJ 	WT 	Juan Jose Lobato 	1988 	4 	300 	270
177. 	FRA 	COF 	PROF 	Florian Senechal 	1993 	4 	265 	270
178. 	NED 	ABS 	PROF 	Michel Kreder 	1987 	1 	50 	270
179. 	AUT 	ABS 	PROF 	Stefan Denifl 	1987 	1 	40 	270
180. 	COL 	WIL 	PROF 	Daniel Martinez 	1996 	1 	40 	270
181. 	UAE 	UAD 	WT 	Yousef Mohamed Mirza 	1988 	1 	0 	270
182. 	BEL 	WVA 	PROF 	Maxime Vantomme 	1986 	1 	0 	270
183. 	RUS 	AST 	WT 	Sergey Chernetskiy 	1990 	4 	345 	268
184. 	GER 	KAT 	WT 	Rick Zabel 	1993 	1 	40 	265
185. 	BEL 	WGG 	PROF 	Frederik Backaert 	1990 	1 	25 	265
186. 	POR 	TFS 	WT 	Ruben Guerreiro 	1994 	1 	60 	262
187. 	FRA 	QST 	WT 	Remi Cavagna 	1995 	1 	0 	261
188. 	CZE 	BOH 	WT 	Jan Barta 	1984 	2 	150 	260
189. 	ITA 	CDT 	WT 	Davide Formolo 	1992 	6 	440 	255
190. 	ESP 	QST 	WT 	Enric Mas Nicolau 	1995 	1 	0 	253
191. 	BEL 	LTS 	WT 	Thomas De Gendt 	1986 	6 	380 	250
192. 	ITA 	DMP 	PROF 	Mauro Finetto 	1985 	4 	327 	250
193. 	POR 	KAT 	WT 	José Gonçalves 	1989 	4 	190 	250
194. 	ITA 	UAD 	WT 	Simone Consonni 	1994 	2 	140 	250
195. 	BEL 	LTS 	WT 	Jürgen Roelandts 	1985 	10 	666 	245
196. 	FRA 	FDJ 	WT 	Johan Le Bon 	1990 	1 	67 	245
197. 	NOR 	TJI 	CONT 	Kristoffer Halvorsen 	1996 	4 	235 	244
198. 	USA 	CDT 	WT 	Andrew Talansky 	1988 	10 	775 	240
199. 	GBR 	DDD 	WT 	Stephen Cummings 	1981 	8 	553 	240
200. 	BEL 	DDD 	WT 	Serge Pauwels 	1983 	1 	70 	240
201. 	SLO 	UAD 	WT 	Marko Kump 	1988 	1 	0 	240
202. 	USA 	SKY 	WT 	Ian Boswell 	1991 	1 	24 	236
203. 	GBR 	SKY 	WT 	Tao Geoghegan Hart 	1995 	4 	140 	230
204. 	COL 	ORS 	WT 	Esteban Chaves 	1990 	24 	1591 	222
205. 	BEL 	WVA 	PROF 	Roy Jans 	1990 	6 	395 	220
206. 	AUS 	DDD 	WT 	Nathan Haas 	1989 	6 	330 	220
207. 	FRA 	ADT 	CONT 	Julien Loubet 	1985 	1 	0 	220
208. 	ITA 	BMC 	WT 	Manuel Senni 	1992 	1 	0 	220
209. 	ITA 	AST 	WT 	Oscar Gatto 	1985 	4 	290 	218
210. 	GER 	SUN 	WT 	Maximilian Walscheid 	1993 	1 	0 	217
211. 	LUX 	WVA 	PROF 	Alex Kirsch 	1992 	1 	110 	215
212. 	ROU 	JBC 	CONT 	Serghei Tvetcov 	1988 	1 	100 	215
213. 	NED 	SUN 	WT 	Ramon Sinkeldam 	1989 	2 	95 	213
214. 	ESP 	ORS 	WT 	Carlos Verona Quintanilla 	1992 	1 	0 	212
215. 	COL 	TFS 	WT 	Jarlinson Pantano 	1988 	8 	510 	211
216. 	BEL 	WGG 	PROF 	Guillaume Van Keirsbulck 	1991 	1 	2 	210
217. 	NOR 	TLJ 	WT 	Amund Groendahl Jansen 	1994 	1 	0 	210
218. 	GBR 	SKY 	WT 	Owain Doull 	1993 	1 	0 	209
219. 	ESP 	MOV 	WT 	Carlos Barbero Questa 	1991 	4 	240 	205
220. 	FRA 	FVC 	PROF 	Brice Feillu 	1985 	1 	10 	205
221. 	FRA 	ALM 	WT 	Alexis Gougeard 	1993 	2 	158 	200
222. 	GER 	BOH 	WT 	Rüdiger Selig 	1989 	1 	60 	200
223. 	POL 	LTS 	WT 	Tomasz Marczynski 	1984 	1 	0 	200
224. 	GBR 	DDD 	WT 	Mark Cavendish 	1985 	20 	1456 	197
