Rider ID,Country,UCI Team 2010,Rider Name,Price 2010,Score 2010,Gender,UCI Cat 2010,Born,Age 2010,UCI Team 2011,Price 2011,Score 2011,UCI Cat 2011,Age 2011,UCI Team 2012,Price 2012,Score 2012,UCI Cat 2012,Age 2012,UCI Team 2013,Price 2013,Score 2013,UCI Cat 2013,Age 2013,UCI Team 2014,Price 2014,Score 2014,UCI Cat 2014,Age 2014,UCI Team 2015,Price 2015,Score 2015,UCI Cat 2015,Age 2015,UCI Team 2016,Price 2016,Score 2016,UCI Cat 2016,Age 2016,UCI Team 2017,Price 2017,Score 2017,UCI Cat 2017,Age 2017,UCI Team 2018,Price 2018,Score 2018,UCI Cat 2018,Age 2018,UCI Team 2019,Price 2019,Score 2019,UCI Cat 2019,Age 2019,UCI Team 2020,Price 2020,Score 2020,UCI Cat 2020,Age 2020
37,LUX,SAX,Fränk Schleck,14.0,1224.0,Men,WT,1980.0,30.0,LEO,16.0,1344.0,WT,31.0,RNT,16.0,340.0,WT,32.0,RLT,14.0,0.0,WT,33.0,TFR,10.0,365.0,WT,34.0,TFR,6.0,180.0,WT,35.0,TFS,2.0,20.0,WT,36.0,,,,,,,,,,,,,,,,,,,,
45,ESP,GCE,Luis Leon Sanchez,12.0,1130.0,Men,WT,1983.0,27.0,RAB,16.0,215.0,WT,28.0,RAB,6.0,821.0,WT,29.0,BLA,14.0,260.0,WT,30.0,CJR,6.0,190.0,PROF,31.0,AST,4.0,95.0,WT,32.0,AST,2.0,376.0,WT,33.0,AST,6.0,305.0,WT,34.0,AST,2.0,279.0,WT,35.0,AST,2.0,305.0,WT,36.0,AST,2.0,0.0,WT,37.0
11,BEL,QST,Tom Boonen,22.0,1065.0,Men,WT,1980.0,30.0,QST,20.0,580.0,WT,31.0,OPQ,12.0,2007.0,WT,32.0,OPQ,26.0,130.0,WT,33.0,OPQ,18.0,942.0,WT,34.0,EQS,20.0,1129.0,WT,35.0,EQS,22.0,1175.0,WT,36.0,QST,14.0,285.0,WT,37.0,,,,,,,,,,,,,,,
50,ESP,RAB,Oscar Freire,10.0,1046.0,Men,WT,1976.0,34.0,RAB,12.0,458.0,WT,35.0,KAT,6.0,1150.0,WT,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,ITA,LAM,Alessandro Petacchi,14.0,1042.0,Men,WT,1974.0,36.0,LAM,16.0,710.0,WT,37.0,LAM,10.0,200.0,WT,38.0,LAM,4.0,55.0,WT,39.0,OPQ,2.0,195.0,WT,40.0,YEL,2.0,10.0,PROF,41.0,,,,,,,,,,,,,,,,,,,,,,,,,
178,ESP,EUS,Igor Anton,2.0,1025.0,Men,WT,1983.0,27.0,EUS,12.0,575.0,WT,28.0,EUS,8.0,400.0,WT,29.0,EUS,8.0,360.0,WT,30.0,MOV,6.0,0.0,WT,31.0,MOV,2.0,52.0,WT,32.0,DDD,2.0,170.0,WT,33.0,DDD,2.0,50.0,WT,34.0,DDD,1.0,110.0,WT,35.0,,,,,,,,,,
815,AUS,SAX,Richie Porte,1.0,1010.0,Men,WT,1985.0,25.0,SBS,16.0,325.0,WT,26.0,SKY,4.0,317.0,WT,27.0,SKY,6.0,1279.0,WT,28.0,SKY,22.0,20.0,WT,29.0,SKY,18.0,971.0,WT,30.0,BMC,18.0,890.0,WT,31.0,BMC,16.0,747.0,WT,32.0,BMC,18.0,518.0,WT,33.0,TFS,12.0,360.0,WT,34.0,TFS,10.0,0.0,WT,35.0
21,ITA,KAT,Filippo Pozzato,18.0,994.0,Men,WT,1981.0,29.0,KAT,14.0,275.0,WT,30.0,FAR,8.0,700.0,PROF,31.0,LAM,12.0,610.0,WT,32.0,LAM,10.0,235.0,WT,33.0,LAM,4.0,80.0,WT,34.0,STH,2.0,690.0,PROF,35.0,WIL,6.0,180.0,PROF,36.0,WIL,2.0,0.0,PROF,37.0,,,,,,,,,,
64,CAN,GRM,Ryder Hesjedal,8.0,990.0,Men,WT,1980.0,30.0,GRM,14.0,396.0,WT,31.0,GRS,6.0,1231.0,WT,32.0,GRS,18.0,365.0,WT,33.0,GRS,8.0,380.0,WT,34.0,TCG,6.0,435.0,WT,35.0,TFS,6.0,0.0,WT,36.0,,,,,,,,,,,,,,,,,,,,
24,ITA,LIQ,Ivan Basso,16.0,956.0,Men,WT,1977.0,33.0,LIQ,16.0,800.0,WT,34.0,LIQ,10.0,360.0,WT,35.0,CAN,6.0,230.0,WT,36.0,CAN,4.0,90.0,WT,37.0,TCS,2.0,14.0,WT,38.0,,,,,,,,,,,,,,,,,,,,,,,,,
28,GER,THR,Tony Martin,16.0,903.0,Men,WT,1985.0,25.0,THR,16.0,1104.0,WT,26.0,OPQ,18.0,1515.0,WT,27.0,OPQ,24.0,1175.0,WT,28.0,OPQ,18.0,1255.0,WT,29.0,EQS,22.0,735.0,WT,30.0,EQS,20.0,805.0,WT,31.0,KAT,18.0,525.0,WT,32.0,TKA,6.0,355.0,WT,33.0,TJV,2.0,284.0,WT,34.0,TJV,2.0,0.0,WT,35.0
130,USA,RSH,Chris Horner,4.0,895.0,Men,WT,1971.0,39.0,RSH,10.0,535.0,WT,40.0,RNT,6.0,393.0,WT,41.0,RLT,4.0,1440.0,WT,42.0,LAM,14.0,195.0,WT,43.0,AIR,2.0,60.0,CONT,44.0,LRT,1.0,0.0,CONT,45.0,XYZ,1.0,0.0,,46.0,,,,,,,,,,,,,,,
67,ESP,XAC,Ezequiel Mosquera,8.0,845.0,Men,PROF,1975.0,35.0,VCD,14.0,0.0,WT,36.0,XYZ,1.0,0.0,,37.0,XYZ,1.0,0.0,,38.0,XYZ,1.0,0.0,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
