	Country 	Trade Team 	Rider 	Born 	Price 	Prev 	Score ↓ 	
75. 	NZL 	TIB 	Joanne Kiesanowski 	1979 	1 	45 	283 	[+]
76. 	RUS 	SEF 	Natalia Boyarskaya 	1983 	4 	470 	280 	[+]
77. 	SUI 	BPK 	Doris Schweizer 	1989 	1 	108 	275 	[+]
78. 	RUS 	RVL 	Olga Zabelinskaya 	1980 	6 	365 	265 	[+]
79. 	AUS 	BCT 	Taryn Heather 	1982 	2 	215 	265 	[+]
80. 	UKR 	XYZ 	Tetyana Riabchenko 	1989 	4 	350 	260 	[+]
81. 	DEN 	HPU 	Julie Leth 	1992 	1 	64 	250 	[+]
82. 	NED 	RBW 	Iris Slappendel 	1985 	6 	502 	245 	[+]
83. 	NED 	DLT 	Janneke Ensing 	1986 	1 	0 	245 	[+]
84. 	BEL 	DLT 	Jessie Daams 	1990 	1 	295 	240 	[+]
85. 	CAN 	TIB 	Jasmin Duehring 	1992 	1 	37 	235 	[+]
86. 	SLO 	BTC 	Polona Batagelj 	1989 	1 	50 	232 	[+]
87. 	GER 	DLT 	Romy Kasper 	1988 	1 	60 	230 	[+]
88. 	NED 	DLT 	Nina Kessler 	1988 	1 	70 	210 	[+]
89. 	USA 	FFT 	Flavia Oliveira 	1981 	1 	0 	210 	[+]
90. 	AUT 	BTC 	Martina Ritter 	1982 	2 	255 	187 	[+]
91. 	GER 	BCT 	Elke Gebhardt 	1983 	2 	133 	180 	[+]
92. 	AUT 	BCT 	Jacqueline Hahn 	1991 	1 	0 	180 	[+]
93. 	RUS 	RVL 	Oxana Kozonchuk 	1988 	6 	757 	170 	[+]
94. 	ITA 	SEF 	Annalisa Cucinotta 	1986 	1 	10 	165 	[+]
95. 	AUS 	GEW 	Shara Marche (Gillow) 	1987 	14 	1395 	160 	[+]
96. 	FRA 	MIC 	Edwige Pitel 	1967 	2 	156 	160 	[+]
97. 	GER 	XYZ 	Kathrin Hammes 	1989 	1 	0 	160 	[+]
98. 	NED 	GEW 	Loes Gunnewijk 	1980 	12 	980 	155 	[+]
99. 	ITA 	ALE 	Marta Tagliaferro 	1989 	4 	405 	155 	[+]
100. 	ITA 	EMF 	Fabiana Luperini 	1974 	4 	246 	155 	[+]
101. 	USA 	SLU 	Carmen Small 	1980 	14 	1276 	153 	[+]
102. 	CAN 	OPW 	Joelle Numainville 	1987 	10 	815 	150 	[+]
103. 	USA 	OPW 	Jade Wilcoxson 	1978 	4 	220 	150 	[+]
104. 	AUS 	GEW 	Gracie Elvin 	1988 	4 	90 	150 	[+]
105. 	CAN 	OPW 	Denise Ramsden 	1990 	1 	60 	150 	[+]
106. 	ITA 	EMF 	Anna Trevisi 	1992 	1 	30 	150 	[+]
107. 	ITA 	EMF 	Maria Confalonieri 	1993 	1 	26 	150 	[+]
108. 	CAN 	EXG 	Lex Albrecht 	1987 	1 	25 	150 	[+]
109. 	FRA 	FUT 	Amelie Rivat 	1989 	1 	20 	150 	[+]
110. 	POL 	DLT 	Katarzyna Pawlowska 	1989 	12 	970 	145 	[+]
111. 	FRA 	SLU 	Elise Delzenne 	1989 	2 	160 	140 	[+]
112. 	NED 	FTZ 	Anouska Koster 	1993 	1 	0 	125 	[+]
113. 	RUS 	RVL 	Anastasiya Chulkova 	1985 	2 	235 	120 	[+]
114. 	POL 	XYZ 	Paulina Guz 	1991 	1 	0 	115 	[+]
115. 	RUS 	RVL 	Elena Kuchinskaya 	1984 	1 	330 	110 	[+]
116. 	NED 	PHV 	Kim de Baat 	1991 	2 	200 	110 	[+]
117. 	SWE 	WHT 	Emilia Fahlin 	1988 	2 	189 	110 	[+]
118. 	NOR 	XYZ 	Ingrid Lorvik 	1986 	1 	12 	110 	[+]
119. 	NOR 	HPU 	Cecilie Gotaas Johnsen 	1976 	2 	184 	100 	[+]
120. 	EST 	MIC 	Liisi Rist 	1991 	1 	116 	100 	[+]
121. 	IRL 	XYZ 	Caroline Ryan 	1979 	1 	100 	100 	[+]
122. 	GBR 	WHT 	Laura Trott 	1992 	2 	90 	100 	[+]
123. 	RUS 	RVL 	Aizhan Zhaparova 	1989 	1 	40 	100 	[+]
124. 	RUS 	BPD 	Yulia Ilinikh 	1985 	1 	15 	100 	[+]
125. 	GBR 	UHC 	Sharon Laws 	1974 	4 	12 	100 	[+]
126. 	NOR 	XYZ 	Camilla Sørgjerd 	1978 	1 	12 	100 	[+]
127. 	AUS 	XYZ 	Rachel Neylan 	1982 	2 	0 	100 	[+]
128. 	USA 	VDK 	Amy Charity 	1976 	1 	0 	100 	[+]
