	Country 	UCI Team 	UCI Cat 	Rider 	Born 	Price 	Prev 	Score ↓ 	
1. 	ESP 	MOV 	WT 	Alejandro Valverde 	1980 	38 	3956 	3214 	[+]
2. 	NOR 	KAT 	WT 	Alexander Kristoff 	1987 	30 	2305 	3175 	[+]
3. 	SVK 	TCS 	WT 	Peter Sagan 	1990 	36 	2200 	2699 	[+]
4. 	ITA 	AST 	WT 	Fabio Aru 	1990 	22 	1270 	2392 	[+]
5. 	ESP 	KAT 	WT 	Joaquim Rodriguez 	1979 	26 	1319 	2205 	[+]
6. 	BEL 	BMC 	WT 	Greg Van Avermaet 	1985 	26 	1700 	2057 	[+]
7. 	COL 	MOV 	WT 	Nairo Quintana 	1990 	28 	1678 	1994 	[+]
8. 	ESP 	TCS 	WT 	Alberto Contador 	1982 	32 	2648 	1899 	[+]
9. 	GBR 	SKY 	WT 	Chris Froome 	1985 	30 	1311 	1873 	[+]
10. 	FRA 	FDJ 	WT 	Thibaut Pinot 	1990 	16 	855 	1774 	[+]
11. 	AUS 	OGE 	WT 	Michael Matthews 	1990 	20 	1148 	1593 	[+]
12. 	GER 	LTS 	WT 	André Greipel 	1982 	18 	880 	1565 	[+]
13. 	NED 	TGA 	WT 	Tom Dumoulin 	1990 	26 	1646 	1508 	[+]
14. 	BEL 	BMC 	WT 	Philippe Gilbert 	1982 	28 	2010 	1455 	[+]
15. 	ITA 	AST 	WT 	Vincenzo Nibali 	1984 	28 	1815 	1423 	[+]
16. 	GER 	TGA 	WT 	John Degenkolb 	1989 	26 	2131 	1420 	[+]
17. 	ESP 	KAT 	WT 	Daniel Moreno 	1981 	14 	800 	1418 	[+]
18. 	POR 	LAM 	WT 	Rui Costa 	1986 	20 	1275 	1335 	[+]
19. 	COL 	OGE 	WT 	Esteban Chaves 	1990 	6 	247 	1283 	[+]
20. 	NED 	EQS 	WT 	Niki Terpstra 	1984 	22 	1285 	1272 	[+]
21. 	COL 	EQS 	WT 	Rigoberto Uran 	1987 	18 	775 	1249 	[+]
22. 	FRA 	COF 	PROF 	Nacer Bouhanni 	1990 	20 	1352 	1205 	[+]
23. 	POL 	EQS 	WT 	Michal Kwiatkowski 	1990 	30 	2017 	1195 	[+]
24. 	FRA 	ALM 	WT 	Romain Bardet 	1990 	24 	1415 	1180 	[+]
25. 	BEL 	EQS 	WT 	Tom Boonen 	1980 	20 	942 	1129 	[+]
26. 	CZE 	EQS 	WT 	Zdeněk Štybar 	1985 	18 	756 	1125 	[+]
27. 	BEL 	TSV 	PROF 	Edward Theuns 	1991 	2 	96 	1120 	[+]
28. 	BEL 	LTS 	WT 	Tiesj Benoot 	1994 	1 	0 	1095 	[+]
29. 	FRA 	LTS 	WT 	Tony Gallopin 	1988 	20 	1180 	1016 	[+]
30. 	ITA 	TFR 	WT 	Fabio Felline 	1990 	2 	69 	1015 	[+]
31. 	FRA 	EQS 	WT 	Julian Alaphilippe 	1992 	10 	445 	1005 	[+]
32. 	BEL 	LTS 	WT 	Jens Debusschere 	1989 	18 	775 	1000 	[+]
33. 	ESP 	AST 	WT 	Mikel Landa 	1989 	2 	70 	997 	[+]
34. 	BEL 	ALM 	WT 	Jan Bakelants 	1986 	12 	210 	995 	[+]
35. 	NOR 	MTN 	PROF 	Edvald Boasson Hagen 	1987 	14 	207 	985 	[+]
36. 	COL 	SKY 	WT 	Sergio Henao 	1987 	16 	10 	979 	[+]
37. 	NED 	TFR 	WT 	Bauke Mollema 	1986 	18 	1165 	978 	[+]
38. 	ITA 	ALM 	WT 	Domenico Pozzovivo 	1982 	18 	905 	975 	[+]
39. 	AUS 	SKY 	WT 	Richie Porte 	1985 	18 	20 	971 	[+]
40. 	GBR 	SKY 	WT 	Geraint Thomas 	1986 	16 	822 	969 	[+]
41. 	ITA 	TFR 	WT 	Giacomo Nizzolo 	1989 	14 	785 	925 	[+]
42. 	POL 	TCS 	WT 	Rafal Majka 	1989 	22 	1280 	924 	[+]
43. 	BEL 	TLJ 	WT 	Sep Vanmarcke 	1988 	26 	1405 	910 	[+]
44. 	ITA 	EQS 	WT 	Matteo Trentin 	1989 	8 	335 	870 	[+]
45. 	ITA 	MOV 	WT 	Adriano Malori 	1988 	8 	527 	854 	[+]
46. 	BEL 	LTS 	WT 	Jürgen Roelandts 	1985 	10 	230 	830 	[+]
47. 	LTU 	TCG 	WT 	Ramunas Navardauskas 	1988 	18 	1100 	821 	[+]
48. 	BEL 	EQS 	WT 	Yves Lampaert 	1991 	6 	311 	820 	[+]
49. 	BEL 	LTS 	WT 	Kris Boeckmans 	1987 	2 	95 	795 	[+]
50. 	SLO 	KAT 	WT 	Simon Spilak 	1986 	6 	477 	794 	[+]
51. 	NED 	SKY 	WT 	Wout Poels 	1987 	4 	205 	771 	[+]
52. 	NED 	TFR 	WT 	Danny van Poppel 	1993 	10 	475 	770 	[+]
53. 	BEL 	LTS 	WT 	Tim Wellens 	1991 	18 	911 	766 	[+]
54. 	RUS 	KAT 	WT 	Ilnur Zakarin 	1989 	4 	243 	749 	[+]
55. 	AUS 	BMC 	WT 	Rohan Dennis 	1990 	16 	715 	741 	[+]
56. 	GER 	EQS 	WT 	Tony Martin 	1985 	22 	1255 	735 	[+]
57. 	ITA 	SKY 	WT 	Elia Viviani 	1989 	12 	695 	724 	[+]
58. 	GBR 	OGE 	WT 	Adam Yates 	1992 	10 	412 	719 	[+]
59. 	ESP 	SKY 	WT 	Mikel Nieve 	1984 	6 	430 	704 	[+]
60. 	NED 	TLJ 	WT 	Wilco Kelderman 	1991 	18 	877 	696 	[+]
61. 	NED 	TLJ 	WT 	Robert Gesink 	1986 	10 	40 	670 	[+]
62. 	ESP 	MOV 	WT 	Ion Izagirre 	1989 	6 	450 	662 	[+]
63. 	FRA 	EUC 	PROF 	Bryan Coquard 	1992 	8 	325 	660 	[+]
64. 	GBR 	EQS 	WT 	Mark Cavendish 	1985 	22 	855 	655 	[+]
65. 	ITA 	AST 	WT 	Diego Rosa 	1989 	1 	30 	649 	[+]
66. 	ITA 	BAR 	PROF 	Sonny Colbrelli 	1990 	18 	985 	645 	[+]
67. 	NED 	TCG 	WT 	Tom Jelte Slagter 	1989 	12 	630 	630 	[+]
68. 	BLR 	SKY 	WT 	Vasil Kiryienka 	1981 	6 	460 	620 	[+]
69. 	CZE 	TCS 	WT 	Roman Kreuziger 	1986 	12 	620 	599 	[+]
70. 	ITA 	LAM 	WT 	Niccolo Bonifazio 	1993 	4 	190 	595 	[+]
71. 	BEL 	BMC 	WT 	Ben Hermans 	1986 	4 	230 	592 	[+]
72. 	BEL 	WGG 	PROF 	Roy Jans 	1990 	4 	300 	590 	[+]
73. 	GBR 	OGE 	WT 	Simon Yates 	1992 	10 	40 	590 	[+]
74. 	ITA 	YEL 	PROF 	Simone Ponzi 	1987 	2 	130 	575 	[+]
75. 	ITA 	LAM 	WT 	Diego Ulissi 	1989 	14 	480 	565 	[+]
76. 	FRA 	FDJ 	WT 	Alexandre Geniez 	1988 	2 	120 	558 	[+]
77. 	NED 	TLJ 	WT 	Steven Kruijswijk 	1987 	6 	270 	555 	[+]
78. 	ESP 	MOV 	WT 	Jonathan Castroviejo 	1987 	2 	138 	549 	[+]
79. 	DEN 	CLT 	PROF 	Rasmus Guldhammer 	1989 	1 	0 	535 	[+]
80. 	RSA 	MTN 	PROF 	Louis Meintjes 	1992 	2 	90 	527 	[+]
81. 	IRL 	TCG 	WT 	Daniel Martin 	1986 	22 	1155 	515 	[+]
82. 	NED 	AST 	WT 	Lars Boom 	1985 	8 	362 	512 	[+]
83. 	ESP 	MOV 	WT 	Beñat Intxausti 	1986 	6 	282 	504 	[+]
84. 	GBR 	MOV 	WT 	Alex Dowsett 	1988 	4 	177 	504 	[+]
85. 	ITA 	LAM 	WT 	Sacha Modolo 	1987 	8 	310 	500 	[+]
86. 	FRA 	FDJ 	WT 	Arnaud Démare 	1991 	26 	1625 	493 	[+]
87. 	LUX 	BMC 	WT 	Jempy Drucker 	1986 	12 	625 	471 	[+]
88. 	DEN 	AST 	WT 	Jakob Fuglsang 	1985 	8 	230 	467 	[+]
89. 	CRC 	MOV 	WT 	Andrey Amador 	1986 	2 	138 	452 	[+]
90. 	USA 	BMC 	WT 	Brent Bookwalter 	1984 	1 	18 	447 	[+]
91. 	ARG 	BSE 	PROF 	Eduardo Sepulveda 	1991 	1 	60 	445 	[+]
92. 	FRA 	EUC 	PROF 	Pierre Rolland 	1986 	10 	550 	441 	[+]
93. 	DEN 	TCS 	WT 	Matti Breschel 	1984 	10 	590 	440 	[+]
94. 	ITA 	CCC 	PROF 	Davide Rebellin 	1971 	12 	650 	438 	[+]
95. 	CAN 	TCG 	WT 	Ryder Hesjedal 	1980 	6 	380 	435 	[+]
