	Country 	Trade Team 	Rider 	Born 	Price 	Prev 	Score ↓ 	
1. 	SWE 	GEW 	Emma Johansson 	1983 	55 	3290 	6104 	[+]
2. 	NED 	RBW 	Marianne Vos 	1987 	82 	5432 	5081 	[+]
3. 	NED 	SLU 	Ellen van Dijk 	1987 	18 	1797 	4251 	[+]
4. 	NED 	SLT 	Anna van der Breggen 	1990 	20 	1911 	2755 	[+]
5. 	USA 	SLU 	Evelyn Stevens 	1983 	55 	2960 	2302 	[+]
6. 	ITA 	WHT 	Giorgia Bronzini 	1983 	16 	1515 	2080 	[+]
7. 	ITA 	HPU 	Elisa Longo Borghini 	1991 	20 	1815 	1759 	[+]
8. 	NED 	RBW 	Annemiek van Vleuten 	1982 	55 	1656 	1728 	[+]
9. 	NED 	SKI 	Kirsten Wild 	1982 	26 	1787 	1685 	[+]
10. 	GER 	SLU 	Lisa Brennauer 	1988 	2 	170 	1642 	[+]
11. 	BLR 	BPK 	Alena Amialyusik 	1989 	16 	1325 	1608 	[+]
12. 	RUS 	MCG 	Tatiana Antoshina 	1982 	12 	474 	1573 	[+]
13. 	ITA 	MCG 	Tatiana Guderzo 	1984 	10 	540 	1547 	[+]
14. 	NZL 	XYZ 	Linda Melanie Villumsen 	1985 	1 	2055 	1483 	[+]
15. 	ITA 	HPU 	Rossella Ratto 	1993 	6 	530 	1454 	[+]
16. 	USA 	TIB 	Shelley Olds 	1980 	14 	1335 	1437 	[+]
17. 	AUS 	GEW 	Shara Marche (Gillow) 	1987 	10 	640 	1395 	[+]
18. 	RSA 	LBL 	Ashleigh Moolman 	1985 	12 	875 	1340 	[+]
19. 	USA 	SLU 	Carmen Small 	1980 	10 	890 	1276 	[+]
20. 	NED 	RBW 	Lucinda Brand 	1989 	12 	785 	1270 	[+]
21. 	GER 	TIB 	Claudia Lichtenberg-Häusler 	1985 	6 	420 	1160 	[+]
22. 	USA 	EXG 	Mara Abbott 	1985 	8 	0 	1135 	[+]
23. 	GBR 	DLT 	Elizabeth Deignan 	1988 	20 	1615 	1126 	[+]
24. 	AUS 	GEW 	Tiffany Cromwell 	1988 	12 	815 	1110 	[+]
25. 	LUX 	SLT 	Christine Majerus 	1987 	6 	645 	1070 	[+]
26. 	AUS 	HPU 	Chloe Hosking 	1990 	12 	1090 	1051 	[+]
27. 	NED 	GEW 	Loes Gunnewijk 	1980 	10 	920 	980 	[+]
28. 	POL 	GKS 	Katarzyna Pawlowska 	1989 	1 	90 	970 	[+]
29. 	NED 	SKI 	Amy Pieters 	1991 	6 	468 	863 	[+]
30. 	GER 	SLU 	Trixi Worrack 	1981 	30 	2847 	820 	[+]
31. 	CAN 	OPW 	Joelle Numainville 	1987 	10 	910 	815 	[+]
32. 	AUS 	XYZ 	Amy Cure 	1992 	2 	286 	786 	[+]
33. 	GBR 	BCT 	Emma Pooley 	1982 	20 	1741 	768 	[+]
34. 	RUS 	RVL 	Oxana Kozonchuk 	1988 	1 	140 	757 	[+]
35. 	AUS 	GEW 	Amanda Spratt 	1987 	4 	240 	665 	[+]
36. 	NED 	RBW 	Roxane Knetemann 	1987 	1 	140 	650 	[+]
37. 	ITA 	MCG 	Valentina Scandolara 	1990 	1 	140 	625 	[+]
