	Country 	Trade Team 	Rider 	Born 	Price 	Prev 	Score ↓ 	
38. 	FRA 	RBW 	Pauline Ferrand-Prevot 	1992 	14 	1022 	600 	[+]
39. 	NED 	DLT 	Adrie Visser 	1983 	14 	1418 	580 	[+]
40. 	USA 	RBW 	Megan Guarnier 	1985 	12 	1127 	562 	[+]
41. 	ITA 	TOG 	Francesca Cauz 	1992 	1 	0 	555 	[+]
42. 	NZL 	BPK 	Georgia Williams 	1993 	1 	0 	553 	[+]
43. 	BEL 	SLT 	Maaike Polspoel 	1989 	2 	240 	525 	[+]
44. 	NED 	SLT 	Vera Koedooder 	1983 	2 	174 	520 	[+]
45. 	BEL 	LBL 	Jolien D'hoore 	1990 	1 	130 	517 	[+]
46. 	CAN 	FUT 	Karol-Ann Canuel 	1988 	6 	325 	505 	[+]
47. 	NED 	RBW 	Iris Slappendel 	1985 	10 	1060 	502 	[+]
48. 	USA 	NOW 	Alison Powers 	1979 	4 	415 	495 	[+]
49. 	NED 	TIB 	Chantal van den Broek-Blaak 	1989 	8 	375 	487 	[+]
50. 	RUS 	XYZ 	Natalia Boyarskaya 	1983 	2 	260 	470 	[+]
51. 	BEL 	RBW 	Liesbet De Vocht 	1979 	16 	1395 	457 	[+]
52. 	AUS 	WHT 	Lauren Kitchen 	1990 	2 	42 	425 	[+]
53. 	ITA 	FLF 	Marta Bastianelli 	1987 	4 	335 	416 	[+]
54. 	RUS 	TPW 	Svetlana Stolbova 	1973 	1 	85 	415 	[+]
55. 	FRA 	FUT 	Audrey Cordon-Ragot 	1989 	6 	695 	407 	[+]
56. 	ITA 	MCG 	Marta Tagliaferro 	1989 	4 	461 	405 	[+]
57. 	AUS 	GEW 	Annette Edmondson 	1991 	2 	0 	400 	[+]
58. 	RUS 	RVL 	Alexandra Burchenkova 	1988 	4 	345 	385 	[+]
59. 	BEL 	SLT 	Sofie De Vuyst 	1987 	4 	390 	380 	[+]
60. 	RUS 	RVL 	Olga Zabelinskaya 	1980 	12 	1225 	365 	[+]
61. 	UKR 	FCL 	Tetyana Riabchenko 	1989 	1 	60 	350 	[+]
62. 	GBR 	SKI 	Lucy van der Haar 	1994 	2 	0 	336 	[+]
63. 	RUS 	RVL 	Elena Kuchinskaya 	1984 	1 	0 	330 	[+]
64. 	GER 	SKI 	Charlotte Becker 	1983 	6 	546 	315 	[+]
65. 	NED 	RBW 	Thalita de Jong 	1993 	2 	125 	310 	[+]
66. 	ITA 	FLF 	Elena Cecchini 	1992 	6 	595 	300 	[+]
67. 	UKR 	XYZ 	Hanna Solovey 	1992 	1 	0 	300 	[+]
68. 	BEL 	DLT 	Jessie Daams 	1990 	4 	525 	295 	[+]
69. 	POL 	XYZ 	Paulina Brzezna 	1981 	2 	165 	292 	[+]
70. 	UKR 	XYZ 	Eivgenia Vysotska 	1975 	1 	140 	270 	[+]
71. 	USA 	OPW 	Lauren Hall 	1979 	2 	207 	260 	[+]
72. 	AUT 	XYZ 	Martina Ritter 	1982 	2 	275 	255 	[+]
73. 	NZL 	WHT 	Emily Collins 	1990 	2 	230 	250 	[+]
74. 	BEL 	VLL 	Kelly Druyts 	1989 	2 	230 	250 	[+]
75. 	ITA 	FLF 	Fabiana Luperini 	1974 	6 	370 	246 	[+]
76. 	NED 	RBW 	Sanne van Paassen 	1988 	1 	0 	245 	[+]
77. 	ITA 	BPK 	Noemi Cantele 	1981 	10 	782 	243 	[+]
78. 	RUS 	XYZ 	Anastasiya Chulkova 	1985 	1 	140 	235 	[+]
79. 	SWE 	FLF 	Sara Mustonen 	1981 	1 	40 	235 	[+]
80. 	NED 	LBL 	Marijn de Vries 	1978 	2 	50 	232 	[+]
81. 	FRA 	FUT 	Pascale Jeuland 	1987 	4 	385 	220 	[+]
82. 	USA 	OPW 	Jade Wilcoxson 	1978 	2 	210 	220 	[+]
83. 	AUS 	XYZ 	Taryn Heather 	1982 	2 	220 	215 	[+]
84. 	GER 	SQS 	Daniela Gass 	1980 	1 	15 	210 	[+]
85. 	GER 	RVL 	Hanka Kupfernagel 	1974 	10 	945 	200 	[+]
86. 	NED 	DLT 	Kim de Baat 	1991 	2 	150 	200 	[+]
87. 	CZE 	XYZ 	Martina Sablikova 	1987 	1 	125 	200 	[+]
88. 	DEN 	XYZ 	Annika Langvad 	1984 	1 	0 	200 	[+]
89. 	LTU 	PZC 	Inga Cilvinaite 	1986 	6 	325 	195 	[+]
90. 	SWE 	HPU 	Emilia Fahlin 	1988 	4 	163 	189 	[+]
91. 	USA 	OPW 	Janel Holcomb 	1978 	1 	15 	185 	[+]
92. 	NOR 	HPU 	Cecilie Gotaas Johnsen 	1976 	1 	138 	184 	[+]
93. 	USA 	PZC 	Amber Neben 	1975 	14 	1370 	180 	[+]
94. 	AUT 	BCT 	Andrea Graus 	1979 	2 	240 	180 	[+]
95. 	ESP 	BPD 	Anna Sanchis Chafer 	1987 	2 	260 	175 	[+]
96. 	POL 	XYZ 	Katarzyna Niewiadoma 	1994 	1 	0 	172 	[+]
97. 	FRA 	FLF 	Christel Ferrier-Bruneau 	1979 	4 	220 	171 	[+]
98. 	GER 	XYZ 	Esther Fennel 	1981 	1 	20 	165 	[+]
99. 	FRA 	BCF 	Elise Delzenne 	1989 	1 	0 	160 	[+]
100. 	NED 	XYZ 	Sigrid Jochems 	1987 	1 	0 	160 	[+]
101. 	FRA 	MIC 	Edwige Pitel 	1967 	4 	230 	156 	[+]
102. 	NED 	DLT 	Martine Bras 	1978 	14 	590 	155 	[+]
103. 	AUS 	LBL 	Carlee Taylor 	1989 	6 	135 	152 	[+]
104. 	GBR 	WHT 	Danielle Rowe (King) 	1990 	1 	0 	145 	[+]
105. 	AUS 	GEW 	Melissa Hoskins 	1991 	8 	756 	140 	[+]
106. 	USA 	XYZ 	Coryn Rivera 	1992 	2 	0 	140 	[+]
107. 	GER 	SKI 	Elke Gebhardt 	1983 	1 	40 	133 	[+]
108. 	SUI 	FLF 	Patricia Schwager 	1983 	2 	285 	126 	[+]
109. 	EST 	MIC 	Liisi Rist 	1991 	1 	0 	116 	[+]
110. 	USA 	EXG 	Kristin McGrath 	1982 	8 	250 	115 	[+]
111. 	ITA 	BPK 	Dalia Muccioli 	1993 	2 	20 	114 	[+]
112. 	NOR 	XYZ 	Tine Andreassen 	1979 	1 	16 	112 	[+]
113. 	NED 	SKI 	Janneke Kanis 	1985 	2 	230 	108 	[+]
114. 	SUI 	BPK 	Doris Schweizer 	1989 	1 	30 	108 	[+]
115. 	FIN 	MCG 	Sari Saarelainen 	1981 	1 	14 	102 	[+]
116. 	USA 	TIB 	Lauren Stephens 	1986 	1 	0 	102 	[+]
117. 	RUS 	FCL 	Julia Martisova 	1976 	2 	150 	100 	[+]
118. 	ITA 	FLF 	Susanna Zorzi 	1992 	2 	150 	100 	[+]
119. 	GER 	XYZ 	Martina Zwick 	1989 	1 	130 	100 	[+]
120. 	FIN 	XYZ 	Lotta Henttala (Lepistö) 	1989 	1 	114 	100 	[+]
121. 	KOR 	XYZ 	Reum Na Ah 	1990 	1 	100 	100 	[+]
122. 	NED 	CZT 	Monique van de Ree 	1988 	1 	53 	100 	[+]
123. 	GBR 	WHT 	Joanna Rowsell 	1988 	1 	0 	100 	[+]
124. 	IRL 	XYZ 	Caroline Ryan 	1979 	1 	0 	100 	[+]
125. 	ESP 	BPD 	Ane Santesteban 	1990 	1 	0 	100 	[+]
126. 	LTU 	PZC 	Agne Silinyte 	1991 	1 	0 	100 	[+]
127. 	AUS 	GEW 	Gracie Elvin 	1988 	4 	230 	90 	[+]
128. 	AUS 	SLU 	Lauren Rowney 	1988 	2 	180 	90 	[+]
129. 	FRA 	XYZ 	Roxane Fournier 	1991 	1 	65 	90 	[+]
130. 	SWE 	XYZ 	Malin Rydlund 	1977 	1 	18 	90 	[+]
131. 	GBR 	WHT 	Laura Trott 	1992 	2 	0 	90 	[+]
132. 	SUI 	RBW 	Jolanda Neff 	1993 	1 	0 	90 	[+]
133. 	USA 	SLU 	Tayler Wiles 	1989 	2 	185 	88 	[+]
134. 	AUS 	WHT 	Rochelle Gilmore 	1981 	8 	755 	80 	[+]
135. 	BEL 	LBL 	Kaat Hannes 	1991 	2 	200 	80 	[+]
136. 	ITA 	VAI 	Barbara Guarischi 	1990 	1 	65 	80 	[+]
137. 	FRA 	LKT 	Fanny Riberot 	1983 	1 	30 	80 	[+]
138. 	BEL 	VLL 	Ine Beyen 	1987 	1 	10 	80 	[+]
139. 	BEL 	CZT 	Annelies Dom 	1986 	1 	0 	80 	[+]
140. 	NED 	XYZ 	Kirsten Peetoom 	1988 	1 	0 	80 	[+]
141. 	ITA 	BPK 	Simona Frapporti 	1988 	4 	310 	78 	[+]
142. 	GBR 	SLU 	Katie Colclough 	1990 	1 	80 	78 	[+]
143. 	GER 	XYZ 	Beate Zanner 	1982 	1 	0 	75 	[+]
144. 	SWE 	AGG 	Martina Thomasson 	1985 	1 	0 	74 	[+]
145. 	NED 	DLT 	Nina Kessler 	1988 	2 	205 	70 	[+]
146. 	FRA 	TPO 	Aurore Verhoeven 	1990 	1 	0 	70 	[+]
147. 	FRA 	BRE 	Aude Biannic 	1991 	6 	615 	66 	[+]
148. 	DEN 	BCC 	Julie Leth 	1992 	1 	30 	64 	[+]
149. 	GER 	DLT 	Romy Kasper 	1988 	4 	455 	60 	[+]
150. 	CAN 	OPW 	Denise Ramsden 	1990 	1 	110 	60 	[+]
151. 	ITA 	TOG 	Irene Bitto 	1993 	1 	0 	60 	[+]
152. 	CAN 	COL 	Laura Brown 	1986 	1 	0 	60 	[+]
153. 	FRA 	XYZ 	Mélodie Lesueur 	1990 	1 	0 	60 	[+]
154. 	USA 	TIB 	Amanda Miller 	1986 	4 	192 	55 	[+]
155. 	NED 	SKI 	Esra Tromp 	1990 	1 	53 	53 	[+]
156. 	SLO 	XYZ 	Polona Batagelj 	1989 	2 	150 	50 	[+]
157. 	GUM 	XYZ 	Lenore Pipes 	1985 	1 	80 	50 	[+]
158. 	NED 	SKI 	Kelly Markus 	1993 	1 	53 	50 	[+]
159. 	CAN 	VDK 	Rhae-Christie Shaw 	1975 	1 	50 	50 	[+]
160. 	RUS 	RVL 	Kseniya Dobrynina 	1994 	1 	0 	50 	[+]
161. 	BEL 	VLL 	Jessy Druyts 	1994 	1 	0 	50 	[+]
162. 	RUS 	XYZ 	Ekaterina Malomoura 	1982 	1 	0 	50 	[+]
163. 	AUS 	XYZ 	Grace Sulzberger 	1988 	1 	0 	50 	[+]
164. 	RUS 	XYZ 	Anna Zavershinskaya 	1993 	1 	0 	50 	[+]
165. 	POL 	MCG 	Malgorzata Jasinska 	1984 	6 	657 	45 	[+]
166. 	NZL 	TIB 	Joanne Kiesanowski 	1979 	1 	120 	45 	[+]
167. 	GBR 	DLT 	Lucy Martin 	1990 	2 	220 	40 	[+]
168. 	ITA 	MCG 	Valentina Carretta 	1989 	1 	70 	40 	[+]
169. 	BEL 	CZT 	Latoya Brulee 	1988 	1 	50 	40 	[+]
170. 	CAN 	SLU 	Gillian Carleton 	1989 	2 	25 	40 	[+]
171. 	SLO 	XYZ 	Eugenia Bujak 	1989 	1 	0 	40 	[+]
172. 	NED 	END 	Natasja Nieuwenhuizen 	1994 	1 	0 	40 	[+]
173. 	RUS 	RVL 	Aizhan Zhaparova 	1989 	1 	0 	40 	[+]
174. 	CAN 	TIB 	Jasmin Duehring 	1992 	1 	70 	37 	[+]
175. 	NED 	TPO 	Mascha Pijnenborg 	1981 	4 	340 	35 	[+]
176. 	AUS 	XYZ 	Emily Roper 	1994 	1 	0 	35 	[+]
177. 	NED 	PHV 	Lisanne Soemanta 	1987 	1 	0 	35 	[+]
178. 	CAN 	OPW 	Leah Kirchman 	1990 	4 	425 	30 	[+]
179. 	ITA 	PZC 	Giada Borgato 	1989 	4 	365 	30 	[+]
180. 	FRA 	LKT 	Alexia Muffat 	1992 	1 	80 	30 	[+]
181. 	NOR 	HPU 	Thea Thorsen 	1993 	1 	55 	30 	[+]
182. 	GBR 	XYZ 	Eileen Roe 	1989 	1 	30 	30 	[+]
183. 	ITA 	VAI 	Anna Trevisi 	1992 	1 	15 	30 	[+]
184. 	USA 	COL 	Jamie Bookwalter 	1986 	1 	0 	30 	[+]
185. 	ITA 	TOG 	Jennifer Fiori 	1986 	1 	0 	30 	[+]
186. 	UKR 	XYZ 	Viktoriya Vologdnina 	1989 	1 	0 	30 	[+]
187. 	ITA 	BPK 	Silvia Valsecchi 	1982 	1 	75 	28 	[+]
188. 	ITA 	FLF 	Maria Confalonieri 	1993 	1 	100 	26 	[+]
189. 	CAN 	NOW 	Lex Albrecht 	1987 	1 	25 	25 	[+]
190. 	BEL 	CZT 	Annelies Van Doorslaer 	1989 	1 	20 	25 	[+]
191. 	ITA 	SEF 	Veronica Cornolti 	1994 	1 	0 	25 	[+]
192. 	KOR 	GEW 	Sungeun Gu 	1984 	1 	0 	25 	[+]
193. 	NED 	SLT 	Julia Soek 	1990 	1 	0 	25 	[+]
194. 	AUS 	XYZ 	Kimberley Wells 	1985 	1 	0 	25 	[+]
195. 	SWE 	AGG 	Isabelle Söderberg 	1989 	2 	180 	20 	[+]
196. 	AUS 	BPD 	Joanne Hogan 	1982 	1 	135 	20 	[+]
197. 	FRA 	FUT 	Amelie Rivat 	1989 	2 	95 	20 	[+]
198. 	LTU 	PZC 	Edita Janeliunaite 	1988 	1 	20 	20 	[+]
199. 	USA 	COL 	Lindsay Bayer 	1984 	1 	15 	20 	[+]
200. 	POL 	XYZ 	Karolina Garczynska 	1991 	1 	0 	20 	[+]
201. 	FRA 	FUT 	Manon Souyris 	1993 	1 	0 	20 	[+]
202. 	NED 	RBW 	Sabrina Stultiëns 	1993 	1 	0 	20 	[+]
203. 	AUS 	XYZ 	Rebecca Wiasak 	1984 	1 	0 	20 	[+]
204. 	POL 	XYZ 	Maja Wloszczowska 	1983 	1 	0 	20 	[+]
205. 	ITA 	VAI 	Alessandra D'Ettorre 	1978 	1 	70 	18 	[+]
206. 	POL 	BPK 	Malgorzata Wojtyra 	1989 	1 	0 	18 	[+]
207. 	THA 	MIC 	Jutatip Maneephan 	1988 	2 	160 	16 	[+]
208. 	MEX 	XYZ 	Alessandra Grassi Herrera 	1976 	1 	0 	16 	[+]
209. 	RUS 	XYZ 	Anna Evseeva 	1988 	1 	30 	15 	[+]
210. 	GER 	TPO 	Mieke Kröger 	1993 	1 	25 	15 	[+]
211. 	USA 	NOW 	Robin Farina 	1977 	1 	0 	15 	[+]
212. 	RUS 	LKT 	Yulia Ilinikh 	1985 	1 	0 	15 	[+]
213. 	USA 	OPW 	Brianna Walle 	1984 	1 	0 	15 	[+]
214. 	SWE 	AGG 	Mirella Ehrin 	1976 	1 	0 	14 	[+]
215. 	SWE 	AGG 	Hanna Helamb 	1994 	1 	0 	14 	[+]
216. 	SWE 	AGG 	Alexandra Nessmar 	1994 	1 	0 	14 	[+]
217. 	SWE 	AGG 	Madelene Olsson 	1982 	1 	0 	14 	[+]
218. 	SWE 	AGG 	Linnea Sjöblom 	1989 	1 	0 	14 	[+]
219. 	GBR 	LBL 	Sharon Laws 	1974 	12 	1030 	12 	[+]
220. 	NOR 	XYZ 	Hildegunn Hovdenak 	1985 	1 	100 	12 	[+]
221. 	BEL 	LBL 	Ann Sophie Duyck 	1987 	1 	20 	12 	[+]
222. 	NOR 	XYZ 	Camilla Sørgjerd 	1978 	1 	16 	12 	[+]
223. 	NOR 	XYZ 	Thrude Karlsen 	1973 	1 	0 	12 	[+]
224. 	NOR 	XYZ 	Ingrid Lorvik 	1986 	1 	0 	12 	[+]
225. 	NOR 	HPU 	Emilie Moberg 	1991 	4 	245 	10 	[+]
226. 	FRA 	BCF 	Lucie Pader 	1992 	1 	40 	10 	[+]
227. 	LUX 	BCT 	Nathalie Lamborelle 	1988 	1 	20 	10 	[+]
228. 	BEL 	LBL 	Celine Van Severen 	1993 	1 	20 	10 	[+]
229. 	BEL 	XYZ 	Kaat Van der Meulen 	1995 	1 	15 	10 	[+]
230. 	NED 	FLF 	Ashlynn Van Baarle 	1994 	1 	10 	10 	[+]
231. 	ITA 	SEF 	Simona Bortolotti 	1994 	1 	0 	10 	[+]
232. 	ITA 	XYZ 	Annalisa Cucinotta 	1986 	1 	0 	10 	[+]
233. 	NED 	PHV 	Ilona Hoeksma 	1991 	1 	0 	10 	[+]
234. 	ESP 	XYZ 	Belen Lopez 	1984 	1 	0 	10 	[+]
235. 	ITA 	TPW 	Emma Marcelli 	1985 	1 	0 	10 	[+]
236. 	USA 	XYZ 	Morgan Patton 	1988 	1 	0 	10 	[+]
237. 	NED 	TPO 	Janine van der Meer 	1994 	1 	0 	10 	[+]
238. 	ITA 	VAI 	Valentina Bastianelli 	1987 	1 	50 	8 	[+]
239. 	VEN 	VAI 	Serika Guluma Ortiz 	1990 	1 	0 	8 	[+]
240. 	LTU 	VAI 	Katarzyna Sosna 	1990 	1 	0 	8 	[+]
241. 	GER 	SLU 	Ina Teutenberg 	1974 	26 	1926 	0 	[+]
242. 	ITA 	MCG 	Monia Baccaille 	1984 	12 	1241 	0 	[+]
243. 	UKR 	VAI 	Alona Andruk 	1987 	10 	675 	0 	[+]
244. 	RUS 	RVL 	Larisa Pankova 	1991 	6 	664 	0 	[+]
245. 	EST 	MIC 	Grete Treier 	1977 	8 	560 	0 	[+]
246. 	GBR 	XYZ 	Wendy Houvenaghel 	1974 	4 	510 	0 	[+]
247. 	AUS 	HPU 	Rachel Neylan 	1982 	6 	435 	0 	[+]
248. 	RSA 	TPO 	Lise Olivier 	1983 	4 	325 	0 	[+]
249. 	AUS 	CZT 	Carla Ryan 	1985 	4 	320 	0 	[+]
250. 	BEL 	SLT 	Evelyn Arys 	1990 	2 	278 	0 	[+]
251. 	NOR 	HPU 	Lise Nöstvold 	1987 	2 	275 	0 	[+]
252. 	NED 	TPO 	Laura van der Kamp 	1992 	2 	265 	0 	[+]
253. 	USA 	XYZ 	Theresa Cliff-Ryan 	1978 	2 	230 	0 	[+]
254. 	ITA 	FCL 	Luisa Tamanini 	1980 	2 	200 	0 	[+]
255. 	RSA 	XYZ 	Cherise Taylor 	1989 	1 	180 	0 	[+]
256. 	GBR 	XYZ 	Julia Shaw 	1965 	2 	175 	0 	[+]
257. 	FRA 	FUT 	Sandrine Bideau 	1989 	2 	160 	0 	[+]
258. 	DEN 	XYZ 	Cathrine Grage 	1976 	1 	140 	0 	[+]
259. 	RUS 	TPW 	Irina Molicheva 	1988 	1 	135 	0 	[+]
260. 	USA 	XYZ 	Flavia Oliveira 	1981 	1 	135 	0 	[+]
261. 	NED 	XYZ 	Petra Dijkman 	1979 	1 	130 	0 	[+]
262. 	BEL 	VLL 	Else Belmans 	1983 	1 	125 	0 	[+]
263. 	FRA 	XYZ 	Coralie Demay 	1992 	1 	125 	0 	[+]
264. 	FIN 	XYZ 	Pia Sundstedt 	1975 	1 	125 	0 	[+]
265. 	LTU 	XYZ 	Rasa Leleivyte 	1988 	2 	115 	0 	[+]
266. 	CHN 	GPC 	Xin Liu 	1986 	1 	110 	0 	[+]
267. 	RUS 	RVL 	Yulia Blindyuk 	1984 	1 	100 	0 	[+]
268. 	IRL 	NOW 	Olivia Dillon 	1973 	1 	100 	0 	[+]
269. 	VEN 	XYZ 	Angie Gonzales Garcia 	1981 	1 	100 	0 	[+]
270. 	JPN 	WHT 	Mayuko Hagiwara 	1986 	1 	100 	0 	[+]
271. 	GER 	SKI 	Marlen Jöhrend 	1986 	1 	100 	0 	[+]
272. 	AUS 	GEW 	Jessie Maclean 	1985 	1 	100 	0 	[+]
273. 	FIN 	XYZ 	Anne Palm 	1969 	1 	100 	0 	[+]
274. 	FRA 	LBL 	Marion Rousse 	1991 	1 	100 	0 	[+]
275. 	SUI 	XYZ 	Pascale Schnider 	1984 	1 	100 	0 	[+]
276. 	LTU 	FCL 	Vilija Sereikaite 	1987 	1 	100 	0 	[+]
277. 	NZL 	XYZ 	Reta Trotman 	1989 	1 	100 	0 	[+]
278. 	NOR 	XYZ 	Thrude Natholmen 	1973 	1 	96 	0 	[+]
279. 	CZE 	XYZ 	Martina Ruzickova 	1980 	1 	95 	0 	[+]
280. 	RSA 	XYZ 	Joanna Van de Winkel 	1982 	1 	90 	0 	[+]
281. 	USA 	XYZ 	Laura Van Gilder 	1964 	1 	90 	0 	[+]
282. 	USA 	EXG 	Andrea Dvorak 	1980 	2 	80 	0 	[+]
283. 	AUS 	XYZ 	Miranda Griffiths 	1981 	1 	80 	0 	[+]
284. 	SUI 	XYZ 	Jutta Stienen 	1972 	1 	80 	0 	[+]
285. 	NED 	DLT 	Marieke van Wanroij 	1979 	1 	80 	0 	[+]
286. 	CAN 	XYZ 	Veronique Labonte 	1980 	1 	70 	0 	[+]
287. 	RUS 	XYZ 	Marina Likhanov 	1990 	1 	70 	0 	[+]
288. 	NED 	XYZ 	Esther Olthuis 	1978 	1 	70 	0 	[+]
289. 	BEL 	BCF 	Alexandra Tondeur 	1987 	1 	70 	0 	[+]
290. 	NZL 	VDK 	Kate Chilcott 	1991 	1 	65 	0 	[+]
291. 	GER 	XYZ 	Madeleine Sandig 	1983 	1 	65 	0 	[+]
292. 	GBR 	DLT 	Emma Trott 	1989 	1 	65 	0 	[+]
293. 	FRA 	XYZ 	Melanie Bravard 	1987 	1 	60 	0 	[+]
294. 	CAN 	PRM 	Joanie Caron 	1984 	1 	60 	0 	[+]
295. 	NED 	XYZ 	Jessica Glasbergen 	1979 	1 	60 	0 	[+]
296. 	GER 	TPO 	Sarah-Lena Hofmann 	1992 	1 	60 	0 	[+]
297. 	CZE 	BCT 	Katarina Hranaiova 	1984 	1 	60 	0 	[+]
298. 	TPE 	XYZ 	Mei Yu Hsiao 	1985 	1 	60 	0 	[+]
299. 	ITA 	XYZ 	Eva Lechner 	1985 	1 	60 	0 	[+]
300. 	FRA 	XYZ 	Jeannie Longo 	1958 	1 	60 	0 	[+]
301. 	UKR 	XYZ 	Olena Sharga 	1986 	1 	60 	0 	[+]
302. 	GBR 	BCC 	Sarah Storey 	1978 	1 	55 	0 	[+]
303. 	RUS 	XYZ 	Aleksandra Chekina 	1993 	1 	50 	0 	[+]
304. 	FRA 	XYZ 	Sophie Creux 	1981 	1 	50 	0 	[+]
305. 	NZL 	LKT 	Emma Crum 	1989 	1 	50 	0 	[+]
306. 	BEL 	KRE 	Lensy Debboudt 	1977 	1 	50 	0 	[+]
307. 	CHN 	GPC 	Huang Dong Yan 	1993 	1 	50 	0 	[+]
308. 	POL 	XYZ 	Marta Kozakiewicz 	1985 	1 	50 	0 	[+]
309. 	RUS 	RVL 	Alina Bondarenko 	1993 	1 	45 	0 	[+]
310. 	NED 	TPO 	Anouska Koster 	1993 	1 	40 	0 	[+]
311. 	AZE 	XYZ 	Olena Pavlukhina 	1989 	1 	40 	0 	[+]
312. 	FRA 	FUT 	Fiona Dutriaux 	1989 	1 	35 	0 	[+]
313. 	MEX 	XYZ 	Veronica Leal Balderas 	1977 	1 	35 	0 	[+]
314. 	NED 	DLT 	Pauliena Rooijakkers 	1993 	1 	35 	0 	[+]
315. 	SWE 	AGG 	Jessica Kihlbom 	1989 	1 	33 	0 	[+]
316. 	BEL 	XYZ 	Anne Arnouts 	1989 	1 	30 	0 	[+]
317. 	NOR 	HPU 	Miriam Bjornsrud 	1992 	1 	30 	0 	[+]
318. 	FRA 	XYZ 	Marie-Laure Cloarec 	1984 	1 	30 	0 	[+]
319. 	USA 	EXG 	Jaquelyn Crowell 	1988 	1 	30 	0 	[+]
320. 	ITA 	BPK 	Giulia Donato 	1978 	1 	30 	0 	[+]
321. 	GER 	XYZ 	Manuela Hartl 	1975 	1 	30 	0 	[+]
322. 	NOR 	HPU 	Tone Hatteland Lima 	1979 	1 	30 	0 	[+]
323. 	USA 	XYZ 	Debbie Milne 	1969 	1 	30 	0 	[+]
324. 	FRA 	XYZ 	Eva Mottet 	1994 	1 	30 	0 	[+]
325. 	NED 	DUR 	Nathalie van Gogh 	1974 	1 	30 	0 	[+]
326. 	ITA 	XYZ 	Chiara Vanni 	1989 	1 	30 	0 	[+]
327. 	SWE 	AGG 	Hanna Nilsson 	1992 	1 	28 	0 	[+]
328. 	CAN 	XYZ 	Julie Beveridge 	1988 	1 	25 	0 	[+]
329. 	AUS 	BCC 	Amy Bradley 	1984 	1 	25 	0 	[+]
330. 	NED 	XYZ 	Janneke Ensing 	1986 	1 	25 	0 	[+]
331. 	FRA 	XYZ 	Kelly Gambier 	1988 	1 	25 	0 	[+]
