	Country 	UCI Team 	UCI Cat 	Rider 	Born 	Price 	Prev 	Score ↓
1. 	SLO 	TJV 	WT 	Primož Roglič 	1989 	28 	1882 	4070
2. 	ESP 	MOV 	WT 	Alejandro Valverde 	1980 	34 	3404 	2910
3. 	COL 	SKY 	WT 	Egan Bernal 	1997 	24 	1161 	2752
4. 	FRA 	DQT 	WT 	Julian Alaphilippe 	1992 	30 	2396 	2601
5. 	GER 	BOH 	WT 	Pascal Ackermann 	1994 	20 	1645 	2462
6. 	DEN 	AST 	WT 	Jakob Fuglsang 	1985 	8 	950 	2421
7. 	NOR 	UAD 	WT 	Alexander Kristoff 	1987 	22 	1465 	2239
8. 	BEL 	CPT 	WT 	Greg Van Avermaet 	1985 	28 	2068 	2153
9. 	SVK 	BOH 	WT 	Peter Sagan 	1990 	40 	2805 	2014
10. 	ITA 	DQT 	WT 	Elia Viviani 	1989 	28 	2455 	1832
11. 	NED 	COC 	PROF 	Mathieu van der Poel 	1995 	8 	525 	1778
12. 	SLO 	UAD 	WT 	Tadej Pogacar 	1998 	1 	80 	1736
13. 	ITA 	MTS 	WT 	Matteo Trentin 	1989 	10 	848 	1713
14. 	NED 	TFS 	WT 	Bauke Mollema 	1986 	12 	1150 	1690
15. 	NED 	TJV 	WT 	Dylan Groenewegen 	1993 	14 	946 	1611
16. 	BEL 	ALM 	WT 	Oliver Naesen 	1990 	18 	1430 	1605
17. 	GBR 	MTS 	WT 	Adam Yates 	1992 	18 	739 	1603
18. 	BEL 	DQT 	WT 	Yves Lampaert 	1991 	10 	951 	1562
19. 	KAZ 	AST 	WT 	Alexey Lutsenko 	1992 	4 	430 	1525
20. 	IRL 	BOH 	WT 	Sam Bennett 	1990 	10 	985 	1517
21. 	NED 	TJV 	WT 	Mike Teunissen 	1992 	2 	310 	1507
22. 	BEL 	LTS 	WT 	Tim Wellens 	1991 	18 	1558 	1471
23. 	AUS 	LTS 	WT 	Caleb Ewan 	1994 	8 	635 	1470
24. 	GER 	BOH 	WT 	Maximilian Schachmann 	1994 	16 	1261 	1464
25. 	COL 	AST 	WT 	Miguel Angel Lopez 	1994 	26 	1980 	1453
26. 	GER 	BOH 	WT 	Emanuel Buchmann 	1992 	6 	690 	1401
27. 	ITA 	UAD 	WT 	Diego Ulissi 	1989 	12 	560 	1400
28. 	CAN 	EF1 	WT 	Michael Woods 	1986 	12 	1155 	1385
29. 	BEL 	LTS 	WT 	Tiesj Benoot 	1994 	16 	1112 	1380
30. 	COL 	MOV 	WT 	Nairo Quintana 	1990 	20 	1190 	1370
31. 	FRA 	GFC 	WT 	David Gaudu 	1996 	2 	255 	1285
32. 	BEL 	DQT 	WT 	Remco Evenepoel 	2000 	10 	0 	1276
33. 	BEL 	TJV 	WT 	Wout Van Aert 	1994 	12 	770 	1175
34. 	SUI 	GFC 	WT 	Stefan Küng 	1993 	6 	630 	1160
35. 	ITA 	TBM 	WT 	Vincenzo Nibali 	1984 	20 	830 	1152
36. 	ITA 	TBM 	WT 	Sonny Colbrelli 	1990 	16 	1548 	1135
37. 	ESP 	MOV 	WT 	Mikel Landa 	1989 	6 	655 	1135
38. 	COL 	EF1 	WT 	Sergio Andres Higuita 	1997 	1 	0 	1114
