"Rank","Country","UCI Team","Rider ID","Rider Name","Price","Score 2012","Score 2013"
1,"SVK","CAN",857,"Peter Sagan",32,2556,3580
2,"ITA","AST",29,"Vincenzo Nibali",24,1530,3003
3,"ESP","MOV",2,"Alejandro Valverde",30,1931,2808
4,"GBR","SKY",245,"Chris Froome",24,1612,2541
5,"ESP","KAT",36,"Joaquim Rodriguez",34,3837,2520
6,"SUI","RLT",3,"Fabian Cancellara",26,1305,2155
7,"GBR","OPQ",4,"Mark Cavendish",26,1330,1906
8,"POR","MOV",76,"Rui Costa",22,1332,1760
9,"COL","MOV",1105,"Nairo Quintana",14,586,1650
10,"FRA","OPQ",31,"Sylvain Chavanel",16,1055,1585
11,"ESP","KAT",90,"Daniel Moreno",14,900,1450
12,"USA","RLT",130,"Chris Horner",4,393,1440
13,"BEL","BMC",96,"Greg Van Avermaet",18,1200,1390
14,"IRL","GRS",43,"Daniel Martin",12,610,1363
15,"NED","BLA",301,"Bauke Mollema",14,877,1290
16,"GER","LTB",16,"André Greipel",20,1175,1284
17,"AUS","SKY",815,"Richie Porte",6,317,1279
18,"GER","ARG",1207,"John Degenkolb",26,1930,1235
19,"NOR","KAT",682,"Alexander Kristoff",12,587,1210
20,"COL","ALM",1073,"Carlos Betancur",10,415,1180
21,"GER","OPQ",28,"Tony Martin",24,1515,1175
22,"GER","ARG",1186,"Marcel Kittel",12,606,1150
23,"POL","OPQ",1179,"Michal Kwiatkowski",8,359,1084
24,"POL","TST",1271,"Rafal Majka",2,55,1053
25,"ITA","LAM",923,"Diego Ulissi",8,440,1016
26,"ITA","LAM",71,"Michele Scarponi",8,765,1002
27,"BEL","BMC",6,"Philippe Gilbert",32,1084,995
28,"CZE","TST",19,"Roman Kreuziger",14,791,974
29,"IRL","TST",153,"Nicholas Roche",6,310,969
30,"FRA","FDJ",1322,"Arnaud Démare",14,700,922
31,"COL","SKY",1298,"Sergio Henao",18,1177,908
32,"ESP","TST",1,"Alberto Contador",32,1560,904
33,"USA","BMC",929,"Tejay van Garderen",26,1365,875
34,"NED","OPQ",94,"Niki Terpstra",20,1260,818
35,"ITA","ALM",334,"Domenico Pozzovivo",14,842,790
35,"AUS","IAM",17,"Heinrich Haussler",10,580,790
37,"ITA","KAT",53,"Luca Paolini",14,985,779
38,"GBR","SKY",30,"Bradley Wiggins",30,2630,764
39,"USA","GRS",1147,"Andrew Talansky",12,712,752
40,"ITA","CAN",951,"Elia Viviani",10,270,711
41,"SLO","KAT",890,"Simon Spilak",4,207,695
42,"ITA","AST",250,"Enrico Gasparotto",10,592,690
43,"COL","SKY",373,"Rigoberto Uran",22,1332,685
44,"BEL","RLT",181,"Jan Bakelants",1,45,680
45,"CZE","OPQ",1174,"Zdeněk Štybar",8,295,670
46,"ESP","MOV",639,"Beñat Intxausti",6,251,660
