	Country 	Trade Team 	Rider 	Born 	Price  ↓ 	Prev 	Score 	
76. 	GER 	WNT 	Kathrin Hammes 	1989 	4 	419 	0 	[+]
77. 	ESP 	MOV 	Lourdes Oyarbide 	1994 	4 	384 	0 	[+]
78. 	ESP 	MOV 	Eider Merino 	1994 	4 	365 	0 	[+]
79. 	JPN 	ALE 	Eri Yonamine 	1991 	4 	336 	0 	[+]
80. 	ITA 	HPU 	Marta Tagliaferro 	1989 	4 	335 	0 	[+]
81. 	ISR 	CSR 	Omer Shapira 	1994 	4 	326 	0 	[+]
82. 	GER 	SUN 	Franziska Koch 	2000 	4 	320 	0 	[+]
83. 	ITA 	VAL 	Chiara Consonni 	1999 	4 	310 	0 	[+]
84. 	NED 	CCC 	Riejanne Markus 	1994 	4 	305 	0 	[+]
85. 	FRA 	CDO 	Roxane Fournier 	1991 	4 	304 	0 	[+]
86. 	FRA 	FDJ 	Eugénie Duval 	1993 	4 	290 	0 	[+]
87. 	GER 	XYZ 	Daniela Gass 	1980 	4 	290 	0 	[+]
88. 	ITA 	CCC 	Sofia Bertizzolo 	1997 	4 	280 	0 	[+]
89. 	LTU 	VAI 	Rasa Leleivyte 	1988 	4 	270 	0 	[+]
90. 	CAN 	DLT 	Karol-Ann Canuel 	1988 	4 	264 	0 	[+]
91. 	AUT 	CTL 	Kathrin Schweinberger 	1996 	4 	260 	0 	[+]
92. 	NED 	XYZ 	Monique van de Ree 	1988 	4 	260 	0 	[+]
93. 	ITA 	ALE 	Tatiana Guderzo 	1984 	4 	241 	0 	[+]
94. 	NED 	TIB 	Nina Kessler 	1988 	4 	230 	0 	[+]
95. 	ITA 	VAL 	Ilaria Sanguineti 	1994 	4 	230 	0 	[+]
96. 	NED 	PHV 	Anouska Koster 	1993 	4 	203 	0 	[+]
97. 	AUS 	FDJ 	Shara Marche (Gillow) 	1987 	4 	202 	0 	[+]
98. 	GBR 	CSR 	Hannah Barnes 	1993 	4 	186 	0 	[+]
99. 	NED 	CCC 	Jeanne Korevaar 	1996 	4 	185 	0 	[+]
100. 	SWE 	PHV 	Hanna Nilsson 	1992 	4 	180 	0 	[+]
101. 	DEN 	LSL 	Christina Siggaard 	1994 	4 	168 	0 	[+]
102. 	NED 	DLT 	Lonneke Uneken 	2000 	4 	165 	0 	[+]
103. 	RUS 	CGS 	Olga Zabelinskaya 	1980 	4 	70 	0 	[+]
104. 	NZL 	MTS 	Georgia Williams 	1993 	4 	24 	0 	[+]
105. 	NED 	CCC 	Pauliena Rooijakkers 	1993 	2 	262 	0 	[+]
106. 	AUS 	CDO 	Rachel Neylan 	1982 	2 	255 	0 	[+]
107. 	ITA 	MOV 	Barbara Guarischi 	1990 	2 	251 	0 	[+]
108. 	THA 	ALE 	Jutatip Maneephan 	1988 	2 	250 	0 	[+]
109. 	POL 	TFS 	Anna Plichta 	1992 	2 	240 	0 	[+]
110. 	GER 	PHV 	Romy Kasper 	1988 	2 	216 	0 	[+]
111. 	SLO 	ALE 	Ursa Pintar 	1985 	2 	215 	0 	[+]
112. 	USA 	RLW 	Kristabel Doebel-Hickok 	1989 	2 	210 	0 	[+]
113. 	POR 	CTL 	Daniela Reis 	1993 	2 	210 	0 	[+]
114. 	POL 	CCC 	Marta Lach 	1997 	2 	200 	0 	[+]
115. 	DEN 	WNT 	Julie Leth 	1992 	2 	200 	0 	[+]
116. 	UKR 	CTL 	Valeriya Kononenko 	1990 	2 	195 	0 	[+]
117. 	NOR 	MOV 	Katrine Aalerud 	1994 	2 	180 	0 	[+]
118. 	GER 	CSR 	Tanja Erath 	1989 	2 	180 	0 	[+]
119. 	FRA 	MOV 	Aude Biannic 	1991 	2 	177 	0 	[+]
120. 	GBR 	HPU 	Lucy van der Haar 	1994 	2 	165 	0 	[+]
121. 	NOR 	HPU 	Ingrid Lorvik 	1986 	2 	160 	0 	[+]
122. 	GER 	CSR 	Christa Riffel 	1998 	2 	160 	0 	[+]
123. 	BEL 	LSL 	Jesse Vandenbulcke 	1996 	2 	160 	0 	[+]
124. 	USA 	XYZ 	Flavia Oliveira 	1981 	2 	150 	0 	[+]
125. 	NED 	CCT 	Nathalie van Gogh 	1974 	2 	150 	0 	[+]
126. 	GER 	XYZ 	Beate Zanner 	1982 	2 	150 	0 	[+]
127. 	FRA 	CMW 	Severine Eraud 	1995 	2 	148 	0 	[+]
128. 	AUT 	XYZ 	Anna Kiesenhofer 	1991 	2 	145 	0 	[+]
129. 	ITA 	BDU 	Alice Arzuffi 	1994 	2 	140 	0 	[+]
130. 	BEL 	CCT 	Kelly Druyts 	1989 	2 	140 	0 	[+]
131. 	GBR 	CTL 	Hayley Simmonds 	1988 	2 	140 	0 	[+]
132. 	ITA 	VAI 	Letizia Borghesi 	1998 	2 	130 	0 	[+]
133. 	USA 	TIB 	Lauren Stephens 	1986 	2 	130 	0 	[+]
134. 	NED 	DRP 	Marjolein van 't Geloof 	1996 	2 	130 	0 	[+]
135. 	DEN 	ILB 	Louise Norman Hansen 	1995 	2 	128 	0 	[+]
136. 	VIE 	LSL 	Thi That Nguyen 	1993 	2 	125 	0 	[+]
137. 	ITA 	TOP 	Laura Tomasi 	1999 	2 	125 	0 	[+]
138. 	NED 	ALE 	Maaike Boogaard 	1998 	2 	120 	0 	[+]
139. 	RUS 	CGS 	Maria Novolodskaya 	1999 	2 	120 	0 	[+]
140. 	GER 	TFS 	Trixi Worrack 	1981 	2 	50 	0 	[+]
141. 	AUS 	MTS 	Grace Brown 	1992 	2 	28 	0 	[+]
142. 	FRA 	CSR 	Pauline Ferrand-Prevot 	1992 	2 	0 	0 	[+]
143. 	AUS 	TIB 	Sarah Gigante 	2000 	2 	0 	0 	[+]
144. 	CAN 	RLW 	Sara Poidevin 	1996 	2 	0 	0 	[+]
145. 	NED 	CCC 	Sabrina Stultiëns 	1993 	2 	0 	0 	[+]
146. 	FRA 	CGS 	Edwige Pitel 	1967 	1 	115 	0 	[+]
147. 	GBR 	CAT 	Rebecca Durrell 	1988 	1 	110 	0 	[+]
148. 	USA 	RLW 	Leigh Ann Ganzar 	1989 	1 	110 	0 	[+]
149. 	FRA 	FDJ 	Evita Muzic 	1999 	1 	110 	0 	[+]
150. 	ITA 	ALE 	Anna Trevisi 	1992 	1 	110 	0 	[+]
151. 	BLR 	XYZ 	Hanna Tserah 	1998 	1 	110 	0 	[+]
152. 	FRA 	FDJ 	Jade Wiel 	2000 	1 	110 	0 	[+]
153. 	ITA 	XYZ 	Vittoria Bussi 	1987 	1 	105 	0 	[+]
154. 	AUS 	TIB 	Shannon Malseed 	1994 	1 	101 	0 	[+]
155. 	ITA 	VAI 	Michela Balducci 	1995 	1 	100 	0 	[+]
156. 	ROU 	XYZ 	Ana Maria Covrig 	1994 	1 	100 	0 	[+]
157. 	NED 	CCT 	Demi De Jong 	1995 	1 	100 	0 	[+]
158. 	ISR 	CSR 	Roten Gafinovitz 	1992 	1 	100 	0 	[+]
159. 	HUN 	XYZ 	Veronika Kormos 	1992 	1 	100 	0 	[+]
160. 	LAT 	EIC 	Lija Laizane 	1993 	1 	100 	0 	[+]
161. 	KAZ 	ASA 	Svetlana Pachshenko 	2000 	1 	100 	0 	[+]
162. 	ITA 	VAL 	Elena Pirrone 	1999 	1 	100 	0 	[+]
163. 	RUS 	EIC 	Anastasiia Pliaskina 	1996 	1 	100 	0 	[+]
164. 	EST 	XYZ 	Liisi Rist 	1991 	1 	100 	0 	[+]
165. 	BLR 	XYZ 	Tatsiana Sharakova 	1984 	1 	100 	0 	[+]
166. 	UKR 	XYZ 	Olga Shekel 	1994 	1 	100 	0 	[+]
167. 	KAZ 	ASA 	Makhabbat Umutzhanova 	1994 	1 	100 	0 	[+]
168. 	HKG 	XYZ 	Qian Yu Yang 	1993 	1 	100 	0 	[+]
169. 	GBR 	MTS 	Jessica Roberts 	1999 	1 	95 	0 	[+]
170. 	SUI 	BIG 	Elise Chabbey 	1993 	1 	90 	0 	[+]
171. 	UKR 	XYZ 	Eivgenia Vysotska 	1975 	1 	90 	0 	[+]
172. 	AUS 	CSR 	Tiffany Cromwell 	1988 	1 	86 	0 	[+]
173. 	FRA 	FDJ 	Clara Copponi 	1999 	1 	80 	0 	[+]
174. 	AUS 	XYZ 	Annette Edmondson 	1991 	1 	80 	0 	[+]
175. 	GBR 	T20 	Emma Grant 	1991 	1 	80 	0 	[+]
176. 	NZL 	TFS 	Lauretta Hanson 	1994 	1 	80 	0 	[+]
177. 	GBR 	SUN 	Anna Henderson 	1998 	1 	80 	0 	[+]
178. 	NOR 	DRP 	Emilie Moberg 	1991 	1 	80 	0 	[+]
179. 	NED 	CTL 	Kirstie van Haaften 	1999 	1 	80 	0 	[+]
180. 	SWE 	XYZ 	Lisa Norden 	1984 	1 	75 	0 	[+]
181. 	GER 	ARK 	Charlotte Becker 	1983 	1 	72 	0 	[+]
182. 	CAN 	RLW 	Allison Beveridge 	1993 	1 	70 	0 	[+]
183. 	FRA 	XYZ 	Pascale Jeuland 	1987 	1 	70 	0 	[+]
184. 	NED 	NXG 	Charlotte Kool 	1999 	1 	70 	0 	[+]
185. 	ESP 	CDO 	Cristina Martinez 	1996 	1 	70 	0 	[+]
186. 	IRL 	XYZ 	Kelly Murphy 	1989 	1 	70 	0 	[+]
187. 	POL 	CCC 	Aurela Nerlo 	1998 	1 	70 	0 	[+]
188. 	CAN 	RLW 	Sara Bergen 	1988 	1 	65 	0 	[+]
189. 	COL 	MOV 	Paula Andrea Patino Bedoya 	1997 	1 	65 	0 	[+]
190. 	NED 	DLT 	Eva Buurman 	1994 	1 	62 	0 	[+]
191. 	BEL 	DVE 	Kaat Hannes 	1991 	1 	60 	0 	[+]
192. 	AUS 	CSR 	Ella Harris 	1998 	1 	60 	0 	[+]
193. 	COL 	ASA 	Blanca Liliana Moreno Canchon 	1992 	1 	60 	0 	[+]
194. 	UKR 	XYZ 	Tetyana Riabchenko 	1989 	1 	60 	0 	[+]
195. 	BEL 	CCT 	Kelly Van Den Steen 	1995 	1 	60 	0 	[+]
196. 	FRA 	MUL 	Aurore Verhoeven 	1990 	1 	60 	0 	[+]
197. 	NED 	PHV 	Femke Markus 	1996 	1 	58 	0 	[+]
198. 	NED 	MTS 	Moniek Tenniglo 	1988 	1 	58 	0 	[+]
199. 	NED 	PHV 	Karlijn Swinkels 	1998 	1 	56 	0 	[+]
200. 	MEX 	AGO 	Andrea Ramirez 	1999 	1 	55 	0 	[+]
201. 	POL 	XYZ 	Katarzyna Wilkos 	1993 	1 	55 	0 	[+]
202. 	NED 	JVA 	Loes Adegeest 	1996 	1 	50 	0 	[+]
203. 	GBR 	XYZ 	Rhona Callander 	1999 	1 	50 	0 	[+]
204. 	CAN 	T20 	Jasmin Duehring 	1992 	1 	50 	0 	[+]
205. 	NOR 	HPU 	Ingvild Gaaskjenn 	1998 	1 	50 	0 	[+]
206. 	GER 	CSR 	Hannah Ludwig 	2000 	1 	50 	0 	[+]
207. 	USA 	T20 	Jennifer Luebke 	1986 	1 	50 	0 	[+]
208. 	SWE 	CCT 	Sara Mustonen 	1981 	1 	50 	0 	[+]
209. 	DEN 	BIG 	Emma Norsgaard Jørgensen 	1999 	1 	50 	0 	[+]
210. 	UKR 	XYZ 	Elizaveta Oshurkova 	1991 	1 	50 	0 	[+]
211. 	ITA 	CDO 	Nadia Quagliotto 	1997 	1 	50 	0 	[+]
212. 	IRL 	XYZ 	Anna Turvey 	1980 	1 	50 	0 	[+]
213. 	CHN 	XYZ 	Xisha Zhao 	1992 	1 	50 	0 	[+]
214. 	ITA 	SBT 	Elena Franchi 	1996 	1 	45 	0 	[+]
215. 	USA 	TIB 	Emily Newsom 	1983 	1 	45 	0 	[+]
216. 	ITA 	VAL 	Vittoria Guazzini 	2000 	1 	40 	0 	[+]
217. 	KOR 	XYZ 	Reum Na Ah 	1990 	1 	40 	0 	[+]
218. 	NED 	XYZ 	Arianna Pruisscher 	1998 	1 	40 	0 	[+]
219. 	UKR 	XYZ 	Hanna Solovey 	1992 	1 	40 	0 	[+]
220. 	NED 	CTL 	Bryony van Velzen 	1996 	1 	40 	0 	[+]
221. 	SLO 	ALE 	Urska Zigart 	1996 	1 	40 	0 	[+]
222. 	NZL 	BIG 	Mikayla Harvey 	1998 	1 	37 	0 	[+]
223. 	ITA 	BPK 	Chiara Perini 	1997 	1 	35 	0 	[+]
224. 	CAN 	XYZ 	Ariane Bonhomme 	1995 	1 	30 	0 	[+]
225. 	NED 	LSL 	Danique Braam 	1995 	1 	30 	0 	[+]
226. 	BEL 	MUL 	Jessy Druyts 	1994 	1 	30 	0 	[+]
227. 	USA 	XYZ 	Julie Emmerman 	1969 	1 	30 	0 	[+]
228. 	NED 	CCC 	Evy Kuijpers 	1995 	1 	30 	0 	[+]
229. 	AUS 	XYZ 	Emily Roper 	1994 	1 	30 	0 	[+]
230. 	NED 	XYZ 	Meike Uiterwijk Winkel 	1999 	1 	30 	0 	[+]
231. 	NED 	PHV 	Amber van der Hulst 	1999 	1 	30 	0 	[+]
232. 	NED 	XYZ 	Janine van der Meer 	1994 	1 	30 	0 	[+]
233. 	ITA 	WNT 	Lara Vieceli 	1993 	1 	30 	0 	[+]
234. 	ITA 	CDO 	Alessia Vigilia 	1999 	1 	30 	0 	[+]
235. 	USA 	RLW 	Emma White 	1997 	1 	30 	0 	[+]
236. 	POL 	XYZ 	Katarzyna Pawlowska 	1989 	1 	28 	0 	[+]
237. 	USA 	RLW 	Heidi Franz 	1995 	1 	25 	0 	[+]
238. 	RUS 	XYZ 	Margarita Syradoeva 	1995 	1 	25 	0 	[+]
239. 	AUS 	MTS 	Jessica Allen 	1993 	1 	24 	0 	[+]
240. 	NED 	BKP 	Marissa Baks 	1998 	1 	20 	0 	[+]
241. 	BEL 	LSL 	Annelies Dom 	1986 	1 	20 	0 	[+]
242. 	SRB 	MOV 	Jelena Eric 	1996 	1 	20 	0 	[+]
243. 	GBR 	XYZ 	Anna Kay 	1999 	1 	20 	0 	[+]
244. 	NED 	WNT 	Claudia Koster 	1992 	1 	20 	0 	[+]
245. 	CZE 	XYZ 	Jarmila Machacova 	1986 	1 	20 	0 	[+]
246. 	POL 	XYZ 	Nikol Plosaj 	1996 	1 	20 	0 	[+]
247. 	AUT 	XYZ 	Martina Ritter 	1982 	1 	20 	0 	[+]
248. 	BEL 	CCC 	Valérie Demey 	1994 	1 	18 	0 	[+]
249. 	POL 	CCC 	Agnieszka Skalniak 	1997 	1 	18 	0 	[+]
250. 	COL 	TIB 	Diana Carolina Penuela Martinez 	1986 	1 	16 	0 	[+]
251. 	BEL 	DVE 	Mieke Docx 	1996 	1 	15 	0 	[+]
252. 	CAN 	INS 	Gillian Ellsay 	1997 	1 	15 	0 	[+]
253. 	GBR 	CAT 	Jessica Finney 	1995 	1 	15 	0 	[+]
254. 	SUI 	XYZ 	Noemi Rüegg 	2001 	1 	15 	0 	[+]
255. 	ESP 	MOV 	Gloria Rodriguez 	1992 	1 	14 	0 	[+]
256. 	FRA 	FDJ 	Maelle Grossetete 	1998 	1 	12 	0 	[+]
257. 	AUS 	FDJ 	Lauren Kitchen 	1990 	1 	12 	0 	[+]
258. 	FRA 	HPU 	Greta Richioud 	1996 	1 	12 	0 	[+]
259. 	ESP 	CDO 	Sandra Alonso 	1998 	1 	10 	0 	[+]
260. 	GBR 	DRP 	Anna Christian 	1995 	1 	10 	0 	[+]
261. 	GBR 	BDU 	Lauren Dolan 	1999 	1 	10 	0 	[+]
262. 	ITA 	LSL 	Arianna Fidanza 	1995 	1 	10 	0 	[+]
263. 	ESP 	MOV 	Alicia Gonzalez Blanco 	1995 	1 	10 	0 	[+]
264. 	GER 	CGS 	Katharina Hechler 	2000 	1 	10 	0 	[+]
265. 	NED 	NXG 	Cathalijne Hoolwerf 	2000 	1 	10 	0 	[+]
266. 	GBR 	DRP 	Joscelin Lowden 	1987 	1 	10 	0 	[+]
267. 	ITA 	VAL 	Silvia Magri 	2000 	1 	10 	0 	[+]
268. 	DEN 	XYZ 	Michelle Quaade 	1991 	1 	10 	0 	[+]
269. 	ITA 	ASA 	Katia Ragusa 	1997 	1 	10 	0 	[+]
270. 	GER 	XYZ 	Lisa Robb 	1991 	1 	10 	0 	[+]
271. 	NED 	PHV 	Nina Buysman 	1997 	1 	8 	0 	[+]
272. 	NED 	ZZZ 	Roxane Knetemann 	1987 	1 	8 	0 	[+]
273. 	NED 	PHV 	Marit Raaijmakers 	1999 	1 	8 	0 	[+]
274. 	GBR 	TIB 	Leah Dixon 	1991 	1 	6 	0 	[+]
275. 	NZL 	TIB 	Sharlotte Lucas 	1992 	1 	6 	0 	[+]
276. 	FRA 	CMW 	Coralie Demay 	1992 	1 	3 	0 	[+]
277. 	NAM 	XYZ 	Vera Adrian 	1993 	1 	0 	0 	[+]
278. 	CAN 	MTG 	Lex Albrecht 	1987 	1 	0 	0 	[+]
279. 	ITA 	BPK 	Camilla Alessio 	2001 	1 	0 	0 	[+]
280. 	USA 	XYZ 	Erica Allar 	1985 	1 	0 	0 	[+]
281. 	ITA 	BIG 	Martina Alzini 	1997 	1 	0 	0 	[+]
282. 	NZL 	XYZ 	Grace Anderson 	1997 	1 	0 	0 	[+]
283. 	GBR 	XYZ 	Kate Archibald 	1994 	1 	0 	0 	[+]
