	Country 	Trade Team 	Rider 	Born 	Price  ↓ 	Prev 	Score 	
332. 	ITA 	XYZ 	Elisa Dalla Valle 	1998 	1 	0 	0 	[+]
333. 	NED 	CTL 	Kim de Baat 	1991 	1 	0 	0 	[+]
334. 	NED 	PHV 	Sofie de Boer 	1990 	1 	0 	0 	[+]
335. 	NED 	PHV 	Belle De Gast 	1991 	1 	0 	0 	[+]
336. 	NED 	CCT 	Thalita de Jong 	1993 	1 	0 	0 	[+]
337. 	BEL 	XYZ 	Emke De Keyser 	2003 	1 	0 	0 	[+]
338. 	ITA 	XYZ 	Lisa De Ranieri 	1997 	1 	0 	0 	[+]
339. 	NED 	XYZ 	Anne De Ruiter 	1999 	1 	0 	0 	[+]
340. 	NED 	XYZ 	Mylene de Zoete 	1999 	1 	0 	0 	[+]
341. 	BEL 	KRE 	Evelien Debboudt 	1984 	1 	0 	0 	[+]
342. 	BEL 	KRE 	Lensy Debboudt 	1977 	1 	0 	0 	[+]
343. 	BEL 	XYZ 	Sylvia Debboudt 	1979 	1 	0 	0 	[+]
344. 	RUS 	XYZ 	Olga Deiko 	1995 	1 	0 	0 	[+]
345. 	BEL 	MUL 	Fien Delbaere 	1996 	1 	0 	0 	[+]
346. 	BEL 	XYZ 	Marie Dessert 	1981 	1 	0 	0 	[+]
347. 	RUS 	SER 	Kseniya Dobrynina 	1994 	1 	0 	0 	[+]
348. 	USA 	XYZ 	Allie Dragoo 	1989 	1 	0 	0 	[+]
349. 	MEX 	XYZ 	Ingrid Drexel Clouthier 	1993 	1 	0 	0 	[+]
350. 	BEL 	CCT 	Demmy Druyts 	1995 	1 	0 	0 	[+]
351. 	BEL 	CCT 	Lenny Druyts 	1997 	1 	0 	0 	[+]
352. 	BEL 	PHV 	Ann Sophie Duyck 	1987 	1 	0 	0 	[+]
353. 	SUI 	MUL 	Désirée Ehrler 	1991 	1 	0 	0 	[+]
354. 	SUI 	XYZ 	Marcia Eicher 	1970 	1 	0 	0 	[+]
355. 	USA 	TIB 	Kristen Faulkner 	1992 	1 	0 	0 	[+]
356. 	BRA 	XYZ 	Clemilda Fernandes Silva 	1979 	1 	0 	0 	[+]
357. 	ITA 	SBT 	Martina Fidanza 	1999 	1 	0 	0 	[+]
358. 	USA 	DNA 	Heather Fischer 	1988 	1 	0 	0 	[+]
359. 	GBR 	CGS 	Anabel Fisher 	1989 	1 	0 	0 	[+]
360. 	NZL 	BIG 	Niahm Fisher-Black 	2000 	1 	0 	0 	[+]
361. 	ISR 	WCC 	Roni Fishman 	1999 	1 	0 	0 	[+]
362. 	ESP 	XYZ 	Andrea Fraile 	1993 	1 	0 	0 	[+]
363. 	ITA 	BPK 	Simona Frapporti 	1988 	1 	0 	0 	[+]
364. 	SUI 	XYZ 	Sina Frei 	1997 	1 	0 	0 	[+]
365. 	RUS 	CGS 	Iuliia Galimullina 	2001 	1 	0 	0 	[+]
366. 	GBR 	CAT 	Illi Gardner 	1999 	1 	0 	0 	[+]
367. 	GBR 	CAT 	Grace Garner 	1997 	1 	0 	0 	[+]
368. 	RUS 	CGS 	Aigul Garva 	2001 	1 	0 	0 	[+]
369. 	ITA 	SBT 	Alice Gasparini 	1997 	1 	0 	0 	[+]
370. 	ETH 	WCC 	Eyeru Gebru 	1996 	1 	0 	0 	[+]
371. 	LTU 	WCC 	Akvile Gedraityte 	2001 	1 	0 	0 	[+]
372. 	NED 	EQU 	Femke Geeris 	1996 	1 	0 	0 	[+]
373. 	IRL 	SPM 	Michelle Geoghegan 	1982 	1 	0 	0 	[+]
374. 	GBR 	SUN 	Pfeiffer Georgi 	2000 	1 	0 	0 	[+]
375. 	FRA 	XYZ 	Lena Gerault 	1995 	1 	0 	0 	[+]
376. 	ESP 	BDU 	Ariana Gilabert Vilaplana 	2000 	1 	0 	0 	[+]
377. 	ESP 	BDU 	Lucia Gonzalez Blanco 	1990 	1 	0 	0 	[+]
378. 	ESP 	BDU 	Aroa Nicole Gorostiza Ulloa 	1999 	1 	0 	0 	[+]
379. 	USA 	ZZZ 	Megan Guarnier 	1985 	1 	0 	0 	[+]
380. 	FRA 	FDJ 	Victorie Guilman 	1995 	1 	0 	0 	[+]
381. 	NOR 	ASC 	Line Marie Gulliksen 	1990 	1 	0 	0 	[+]
382. 	JPN 	EIC 	Mayuko Hagiwara 	1986 	1 	0 	0 	[+]
383. 	CZE 	BPK 	Markera Hajkova 	2000 	1 	0 	0 	[+]
384. 	USA 	XYZ 	Lauren Hall 	1979 	1 	0 	0 	[+]
385. 	SUI 	DVE 	Nicole Hanselmann 	1991 	1 	0 	0 	[+]
386. 	NED 	XYZ 	Ilona Hoeksma 	1991 	1 	0 	0 	[+]
387. 	LUX 	XYZ 	Chantal Hoffmann 	1987 	1 	0 	0 	[+]
388. 	GBR 	BDU 	Elizabeth Holden 	1997 	1 	0 	0 	[+]
389. 	NED 	BKP 	Roos Hoogeboom 	1982 	1 	0 	0 	[+]
390. 	SUI 	XYZ 	Linda Indergand 	1993 	1 	0 	0 	[+]
391. 	BEL 	CMW 	Sarah Ingelbrecht 	1992 	1 	0 	0 	[+]
392. 	BEL 	CMW 	Sarah Inghelbrecht 	1992 	1 	0 	0 	[+]
393. 	ESP 	EIC 	Ziortza Isasi Cristobal 	1995 	1 	0 	0 	[+]
394. 	KAZ 	XYZ 	Amiliya Ishakova 	1995 	1 	0 	0 	[+]
395. 	UKR 	ASA 	Maryna Ivaniuk 	1990 	1 	0 	0 	[+]
396. 	NZL 	XYZ 	Amanda Jamieson 	1997 	1 	0 	0 	[+]
397. 	CZE 	WCC 	Veronika Jandova 	2001 	1 	0 	0 	[+]
398. 	POL 	CCC 	Marta Jaskulska 	2000 	1 	0 	0 	[+]
399. 	USA 	RLW 	Megan Jastrab 	2002 	1 	0 	0 	[+]
400. 	NED 	SPM 	Claudia Jongerius 	1998 	1 	0 	0 	[+]
401. 	BAR 	WCC 	Amber Joseph 	1999 	1 	0 	0 	[+]
402. 	RUS 	XYZ 	Karina Kasenova 	1998 	1 	0 	0 	[+]
403. 	NED 	XYZ 	Yara Kastelijn 	1997 	1 	0 	0 	[+]
404. 	SLO 	LCW 	Spela Kern 	1990 	1 	0 	0 	[+]
405. 	UZB 	XYZ 	Alina Khakimova 	1997 	1 	0 	0 	[+]
406. 	HUN 	SER 	Monika Kiraly 	1983 	1 	0 	0 	[+]
407. 	NED 	BKP 	Melanie Klement 	1994 	1 	0 	0 	[+]
408. 	RUS 	CGS 	Diana Klimova 	1996 	1 	0 	0 	[+]
409. 	UZB 	XYZ 	Ekaterina Knebeleva 	1996 	1 	0 	0 	[+]
410. 	SWE 	ASC 	Frida Knutsson 	1997 	1 	0 	0 	[+]
411. 	BLR 	WCC 	Anastasiya Kolesava 	2000 	1 	0 	0 	[+]
412. 	SUI 	CGS 	Lara Krähemann 	1999 	1 	0 	0 	[+]
413. 	DEN 	XYZ 	Birgitte Krogsgaard 	1991 	1 	0 	0 	[+]
414. 	KAZ 	XYZ 	Marina Kurnossova 	2000 	1 	0 	0 	[+]
415. 	NOR 	HPU 	Pernille Feldmann 	2000 	1 	0 	0 	[+]
416. 	ESP 	BDU 	Amaia Lartitegi Ormazabal 	2001 	1 	0 	0 	[+]
417. 	UKR 	VAI 	Silvija Latozaite 	1993 	1 	0 	0 	[+]
418. 	CAN 	XYZ 	Kirsti Lay 	1988 	1 	0 	0 	[+]
419. 	FRA 	FDJ 	Marie Le Net 	2000 	1 	0 	0 	[+]
420. 	GER 	XYZ 	Corinna Lechner 	1994 	1 	0 	0 	[+]
421. 	CAN 	XYZ 	Raphaele Lemieux 	1982 	1 	0 	0 	[+]
422. 	BEL 	DVE 	Jade Lenaers 	2001 	1 	0 	0 	[+]
423. 	ITA 	TOP 	Elena Leonardi 	1995 	1 	0 	0 	[+]
424. 	CHN 	XYZ 	Hongyu Liang 	1990 	1 	0 	0 	[+]
425. 	CHN 	XYZ 	Dexiang Liu 	1993 	1 	0 	0 	[+]
426. 	ESP 	XYZ 	Lorena Llamas Garcia 	1987 	1 	0 	0 	[+]
427. 	GBR 	DRP 	Manon Lloyd 	1996 	1 	0 	0 	[+]
428. 	ESP 	BDU 	Irene Loizate Sarrionandia 	1995 	1 	0 	0 	[+]
429. 	SLO 	XYZ 	Anja Longyka 	1993 	1 	0 	0 	[+]
430. 	DEN 	XYZ 	Rikke Lønne 	1988 	1 	0 	0 	[+]
431. 	ESP 	EQU 	Margarita Lopez Llull 	1997 	1 	0 	0 	[+]
432. 	COL 	XYZ 	Laura Camila Lozano Ramirez 	1986 	1 	0 	0 	[+]
433. 	ITA 	VAI 	Elena Lucchinelli 	2001 	1 	0 	0 	[+]
434. 	NOR 	HPU 	Amalie Lutro 	2000 	1 	0 	0 	[+]
435. 	LUX 	TOR 	Elise Maes 	1992 	1 	0 	0 	[+]
436. 	CAN 	XYZ 	Katherine Maine 	1997 	1 	0 	0 	[+]
437. 	ITA 	VAL 	Barbara Malcotti 	2000 	1 	0 	0 	[+]
438. 	RUS 	CGS 	Daria Malkova 	2000 	1 	0 	0 	[+]
439. 	AUS 	XYZ 	Alexandra Manly 	1996 	1 	0 	0 	[+]
440. 	ITA 	VAI 	Giulia Marchesini 	1998 	1 	0 	0 	[+]
441. 	NED 	DVE 	Kelly Markus 	1993 	1 	0 	0 	[+]
442. 	POR 	DRP 	Maria Martins 	1999 	1 	0 	0 	[+]
443. 	ITA 	XYZ 	Greta Marturano 	1998 	1 	0 	0 	[+]
444. 	ITA 	TOP 	Gaia Masetti 	2001 	1 	0 	0 	[+]
445. 	NOR 	HPU 	Silje Mathisen 	2001 	1 	0 	0 	[+]
446. 	ITA 	VAI 	Emilia Matteoli 	1999 	1 	0 	0 	[+]
447. 	GBR 	DRP 	Emily Meakin 	1988 	1 	0 	0 	[+]
448. 	SVK 	WCC 	Tereza Medvedova 	1996 	1 	0 	0 	[+]
449. 	BEL 	LSL 	Lone Meertens 	1998 	1 	0 	0 	[+]
450. 	ISR 	XYZ 	Esther Meisels 	1995 	1 	0 	0 	[+]
451. 	HKG 	XYZ 	Zhao Juan Meng 	1989 	1 	0 	0 	[+]
452. 	NZL 	DVE 	Merrick 	2000 	1 	0 	0 	[+]
453. 	NOR 	HPU 	Julie Meyer 	1989 	1 	0 	0 	[+]
454. 	BEL 	XYZ 	Githa Michiels 	1983 	1 	0 	0 	[+]
455. 	USA 	ZZZ 	Abigail Mickey 	1990 	1 	0 	0 	[+]
456. 	NOR 	HPU 	Natalie Midtsveen 	2001 	1 	0 	0 	[+]
457. 	GRE 	XYZ 	Argiro Milaki 	1992 	1 	0 	0 	[+]
458. 	RUS 	CGS 	Mariia Miliaeva 	2001 	1 	0 	0 	[+]
459. 	USA 	XYZ 	Summer Moak 	1999 	1 	0 	0 	[+]
460. 	GBR 	BDU 	Amy Monkhouse 	2001 	1 	0 	0 	[+]
461. 	ITA 	TOP 	Iris Monticolo 	2000 	1 	0 	0 	[+]
462. 	NED 	CCT 	Puck Moonen 	1996 	1 	0 	0 	[+]
463. 	ITA 	XYZ 	Lisa Morzenti 	1998 	1 	0 	0 	[+]
464. 	ITA 	XYZ 	Dalia Muccioli 	1993 	1 	0 	0 	[+]
465. 	AUS 	XYZ 	Peta Mullens 	1988 	1 	0 	0 	[+]
466. 	NED 	PHV 	Fleur Nagengast 	1998 	1 	0 	0 	[+]
467. 	UKR 	XYZ 	Anna Nahirna 	1988 	1 	0 	0 	[+]
468. 	SUI 	XYZ 	Jolanda Neff 	1993 	1 	0 	0 	[+]
469. 	ITA 	XYZ 	Nicole Nesti 	1997 	1 	0 	0 	[+]
470. 	RSA 	BDU 	Carla Oberholzer 	1987 	1 	0 	0 	[+]
471. 	SWE 	SUN 	Wilma Olausson 	2001 	1 	0 	0 	[+]
472. 	SWE 	XYZ 	Sara Olsson 	1990 	1 	0 	0 	[+]
473. 	GBR 	XYZ 	Harriet Owen 	1993 	1 	0 	0 	[+]
474. 	ITA 	CDO 	Asja Paladin 	1994 	1 	0 	0 	[+]
475. 	GBR 	LSL 	Abby-Mae Parkinson 	1997 	1 	0 	0 	[+]
476. 	ITA 	ASA 	Francesca Pattaro 	1995 	1 	0 	0 	[+]
477. 	AZE 	XYZ 	Olena Pavlukhina 	1989 	1 	0 	0 	[+]
478. 	NED 	XYZ 	Kirsten Peetoom 	1988 	1 	0 	0 	[+]
479. 	SWE 	DRP 	Sara Penton 	1988 	1 	0 	0 	[+]
480. 	AUT 	XYZ 	Christina Perchtold 	1993 	1 	0 	0 	[+]
481. 	ITA 	VAL 	Silvia Persico 	1997 	1 	0 	0 	[+]
482. 	ITA 	VAL 	Federica Piergiovanni 	2001 	1 	0 	0 	[+]
483. 	CAN 	MAT 	Gabrielle Pilote-Fortin 	1993 	1 	0 	0 	[+]
484. 	ITA 	SBT 	Francesca Pisciali 	1998 	1 	0 	0 	[+]
485. 	ITA 	VAL 	Silvia Pollicini 	1998 	1 	0 	0 	[+]
486. 	KAZ 	XYZ 	Faina Potapova 	1996 	1 	0 	0 	[+]
487. 	RUS 	SER 	Anna Potokina 	1987 	1 	0 	0 	[+]
488. 	CUB 	XYZ 	Jeydy Pradera Bernal 	1998 	1 	0 	0 	[+]
489. 	AUS 	CSR 	Jessica Pratt 	1997 	1 	0 	0 	[+]
490. 	MEX 	AGO 	Marcela Elizabeth Prieto Castaneda 	1992 	1 	0 	0 	[+]
491. 	ESP 	BDU 	Irati Puigdefabregas Ariz 	2001 	1 	0 	0 	[+]
492. 	USA 	DNA 	Liza Rachetto 	1974 	1 	0 	0 	[+]
493. 	CRO 	CGS 	Mia Radotic 	1984 	1 	0 	0 	[+]
494. 	LTU 	XYZ 	Daiva Ragazinskiene (Tuslaite) 	1986 	1 	0 	0 	[+]
495. 	ITA 	XYZ 	Jessica Raimondi 	1999 	1 	0 	0 	[+]
496. 	ITA 	CCT 	Rossella Ratto 	1993 	1 	0 	0 	[+]
497. 	AUT 	WNT 	Sarah Rijkes 	1991 	1 	0 	0 	[+]
498. 	GER 	XYZ 	Wiebke Rodieck 	1996 	1 	0 	0 	[+]
499. 	MEX 	XYZ 	Carolina Rodriguez Gutierrez 	1993 	1 	0 	0 	[+]
500. 	GBR 	XYZ 	Eileen Roe 	1989 	1 	0 	0 	[+]
501. 	AUS 	XYZ 	Ruby Roseman-Gannon 	1998 	1 	0 	0 	[+]
502. 	ITA 	SBT 	Beatrice Rossato 	1996 	1 	0 	0 	[+]
503. 	RUS 	SBT 	Maria Rostovtseva 	1999 	1 	0 	0 	[+]
504. 	BEL 	XYZ 	Lotte Rotman 	1999 	1 	0 	0 	[+]
505. 	USA 	TIB 	Kendall Ryan 	1992 	1 	0 	0 	[+]
506. 	RUS 	CGS 	Alena Rytseva 	2000 	1 	0 	0 	[+]
507. 	FIN 	CGS 	Sari Saarelainen 	1981 	1 	0 	0 	[+]
508. 	FRA 	XYZ 	Iris Sachet 	1994 	1 	0 	0 	[+]
509. 	KAZ 	ASA 	Natalya Saifutdinova 	1989 	1 	0 	0 	[+]
510. 	MEX 	ASA 	Lizbeth Salazar 	1996 	1 	0 	0 	[+]
511. 	COL 	XYZ 	Ana Sanabria 	1990 	1 	0 	0 	[+]
512. 	ESP 	BDU 	Paula Sanmartin Rodriguez 	1997 	1 	0 	0 	[+]
513. 	BLR 	XYZ 	Karalina Savenka 	1998 	1 	0 	0 	[+]
514. 	SRB 	XYZ 	Maja Savic 	1994 	1 	0 	0 	[+]
515. 	ITA 	XYZ 	Gloria Scarsi 	2000 	1 	0 	0 	[+]
516. 	BEL 	DVE 	Dina Scavone 	2001 	1 	0 	0 	[+]
517. 	DEN 	ILB 	Trine Schmidt 	1988 	1 	0 	0 	[+]
518. 	SUI 	CGS 	Jessica Schneeberger 	1989 	1 	0 	0 	[+]
519. 	USA 	DLT 	Skylar Schneider 	1998 	1 	0 	0 	[+]
520. 	BEL 	CCT 	Febe Schokkaert 	1999 	1 	0 	0 	[+]
521. 	AUT 	DVE 	Christina Schweinberger 	1996 	1 	0 	0 	[+]
522. 	SUI 	XYZ 	Doris Schweizer 	1989 	1 	0 	0 	[+]
523. 	ITA 	VAI 	Gemma Sernissi 	2000 	1 	0 	0 	[+]
524. 	ITA 	SBT 	Arianna Sessi 	1999 	1 	0 	0 	[+]
525. 	UKR 	XYZ 	Olena Sharga 	1986 	1 	0 	0 	[+]
526. 	IRL 	CTL 	Alice Sharpe 	1994 	1 	0 	0 	[+]
527. 	GBR 	CAT 	Gaby Shaw 	1992 	1 	0 	0 	[+]
528. 	GBR 	XYZ 	Lucy Shaw 	1997 	1 	0 	0 	[+]
529. 	FRA 	XYZ 	Marion Sicot 	1992 	1 	0 	0 	[+]
530. 	ITA 	TOP 	Debora Silvestri 	1998 	1 	0 	0 	[+]
531. 	GBR 	XYZ 	Annabel Simpson 	1990 	1 	0 	0 	[+]
532. 	NED 	XYZ 	Rozanne Slik 	1991 	1 	0 	0 	[+]
533. 	GER 	DRP 	Finja Smekal 	2001 	1 	0 	0 	[+]
534. 	NED 	SUN 	Julia Soek 	1990 	1 	0 	0 	[+]
535. 	NED 	WNT 	Aafke Soet 	1997 	1 	0 	0 	[+]
536. 	CHI 	WCC 	Catalina Soto Campos 	2001 	1 	0 	0 	[+]
537. 	ITA 	BIG 	Maria Vittoria Sperotto 	1996 	1 	0 	0 	[+]
538. 	ITA 	XYZ 	Martina Stefani 	1998 	1 	0 	0 	[+]
539. 	NED 	DVE 	Nicole Steigenga 	1998 	1 	0 	0 	[+]
540. 	SUI 	BIG 	Kathrin Stirnemann 	1989 	1 	0 	0 	[+]
541. 	NED 	ZZZ 	Chanella Stougje 	1996 	1 	0 	0 	[+]
542. 	GER 	MUL 	Laura Süssemilch 	1997 	1 	0 	0 	[+]
543. 	NED 	PHV 	Sylvie Swinkels 	2000 	1 	0 	0 	[+]
544. 	HUN 	DVE 	Zsofia Szabo 	1997 	1 	0 	0 	[+]
545. 	AUS 	CDO 	Josie Talbot 	1996 	1 	0 	0 	[+]
546. 	USA 	XYZ 	Starla Teddergreen 	1979 	1 	0 	0 	[+]
547. 	ESP 	MOV 	Alba Teruel Ribes 	1996 	1 	0 	0 	[+]
548. 	GER 	WNT 	Lea Lin Teutenberg 	1999 	1 	0 	0 	[+]
549. 	USA 	XYZ 	Leah Thorvilson 	1979 	1 	0 	0 	[+]
550. 	GBR 	CAT 	Jo Tindley 	1987 	1 	0 	0 	[+]
551. 	ITA 	XYZ 	Martina Toffanin 	2000 	1 	0 	0 	[+]
552. 	CUB 	ASA 	Yeima Torres Beltran 	1987 	1 	0 	0 	[+]
553. 	ITA 	EQU 	Gaia Tortolina 	1997 	1 	0 	0 	[+]
554. 	FRA 	MAT 	Chloe Turblin 	1995 	1 	0 	0 	[+]
555. 	RUS 	CGS 	Marina Uvarova 	2000 	1 	0 	0 	[+]
556. 	USA 	T20 	Jennifer Valente 	1994 	1 	0 	0 	[+]
557. 	CAN 	WCC 	Magdeleine Vallieres-Mill 	2001 	1 	0 	0 	[+]
558. 	ITA 	BPK 	Silvia Valsecchi 	1982 	1 	0 	0 	[+]
559. 	NED 	PHV 	Nancy van der Burg 	1992 	1 	0 	0 	[+]
560. 	NED 	CCC 	Inge van der Heijden 	1999 	1 	0 	0 	[+]
561. 	CZE 	BPK 	Melissa Van Neck 	1991 	1 	0 	0 	[+]
562. 	GBR 	TFS 	Abigail Van Twisk 	1997 	1 	0 	0 	[+]
563. 	NED 	PHV 	Esther van Veen 	1990 	1 	0 	0 	[+]
564. 	NED 	DVE 	Marieke van Witzenburg 	1985 	1 	0 	0 	[+]
565. 	BEL 	LSL 	Cameron Vandenbroucke 	1999 	1 	0 	0 	[+]
566. 	BEL 	XYZ 	Saartje Vandenbroucke 	1996 	1 	0 	0 	[+]
567. 	BEL 	XYZ 	Fenna Vanhoutte 	1997 	1 	0 	0 	[+]
568. 	HUN 	DVE 	Kata Blanka Vas 	2001 	1 	0 	0 	[+]
569. 	ITA 	VAL 	Miriam Vece 	1997 	1 	0 	0 	[+]
570. 	BEL 	XYZ 	Anisha Vekemans 	1991 	1 	0 	0 	[+]
571. 	BEL 	XYZ 	Suzanne Verhoeven 	1996 	1 	0 	0 	[+]
572. 	FRA 	ARK 	Gladys Verhulst 	1997 	1 	0 	0 	[+]
573. 	BEL 	LCW 	Femke Verstichelen 	1984 	1 	0 	0 	[+]
574. 	NZL 	XYZ 	Linda Melanie Villumsen 	1985 	1 	0 	0 	[+]
575. 	BEL 	DVE 	Justine Vromanne 	2001 	1 	0 	0 	[+]
576. 	NED 	MUL 	Kylie Waterreus 	1998 	1 	0 	0 	[+]
577. 	SUI 	ASC 	Sandra Weiss 	1991 	1 	0 	0 	[+]
578. 	USA 	RLW 	Lily Williams 	1994 	1 	0 	0 	[+]
579. 	GBR 	XYZ 	Sophie Wright 	1999 	1 	0 	0 	[+]
580. 	ARG 	XYZ 	Fernanda Yapura 	1998 	1 	0 	0 	[+]
581. 	ITA 	BPK 	Silvia Zanardi 	2000 	1 	0 	0 	[+]
582. 	ITA 	SBT 	Emanuela Zanetti 	2000 	1 	0 	0 	[+]
583. 	SUI 	XYZ 	Meret Zimmermann 	1996 	1 	0 	0 	[+]
