Year,Rider ID,Rider Name,Country,UCI Team,UCI Cat,Age,Price,Score
2011,10.0,Andy Schleck,LUX,LEO,WT,26.0,24.0,1109.0
2012,10.0,Andy Schleck,LUX,RNT,WT,27.0,16.0,0.0
2013,10.0,Andy Schleck,LUX,RLT,WT,28.0,16.0,15.0
2014,10.0,Andy Schleck,LUX,TFR,WT,29.0,8.0,0.0
2010,11.0,Tom Boonen,BEL,QST,WT,30.0,22.0,1065.0
2011,11.0,Tom Boonen,BEL,QST,WT,31.0,20.0,580.0
2012,11.0,Tom Boonen,BEL,OPQ,WT,32.0,12.0,2007.0
2013,11.0,Tom Boonen,BEL,OPQ,WT,33.0,26.0,130.0
2014,11.0,Tom Boonen,BEL,OPQ,WT,34.0,18.0,942.0
2015,11.0,Tom Boonen,BEL,EQS,WT,35.0,20.0,1129.0
2016,11.0,Tom Boonen,BEL,EQS,WT,36.0,22.0,1175.0
2017,11.0,Tom Boonen,BEL,QST,WT,37.0,14.0,285.0
2010,12.0,Denis Menchov,RUS,RAB,WT,32.0,22.0,810.0
2011,12.0,Denis Menchov,RUS,GEO,PROF,33.0,12.0,760.0
2012,12.0,Denis Menchov,RUS,KAT,WT,34.0,8.0,300.0
2013,12.0,Denis Menchov,RUS,KAT,WT,35.0,6.0,25.0
2010,13.0,Damiano Cunego,ITA,LAM,WT,29.0,20.0,550.0
2011,13.0,Damiano Cunego,ITA,LAM,WT,30.0,10.0,996.0
2012,13.0,Damiano Cunego,ITA,LAM,WT,31.0,14.0,925.0
2013,13.0,Damiano Cunego,ITA,LAM,WT,32.0,16.0,155.0
2014,13.0,Damiano Cunego,ITA,LAM,WT,33.0,2.0,325.0
2015,13.0,Damiano Cunego,ITA,NIP,PROF,34.0,6.0,330.0
2016,13.0,Damiano Cunego,ITA,NIP,PROF,35.0,4.0,240.0
2017,13.0,Damiano Cunego,ITA,NIP,PROF,36.0,4.0,6.0
2018,13.0,Damiano Cunego,ITA,NIP,PROF,37.0,1.0,0.0
2010,14.0,Tyler Farrar,USA,GRM,WT,26.0,20.0,1900.0
2011,14.0,Tyler Farrar,USA,GRM,WT,27.0,26.0,1024.0
2012,14.0,Tyler Farrar,USA,GRS,WT,28.0,14.0,383.0
2013,14.0,Tyler Farrar,USA,GRS,WT,29.0,12.0,595.0
2014,14.0,Tyler Farrar,USA,GRS,WT,30.0,10.0,865.0
2015,14.0,Tyler Farrar,USA,MTN,PROF,31.0,14.0,40.0
2016,14.0,Tyler Farrar,USA,DDD,WT,32.0,2.0,0.0
2017,14.0,Tyler Farrar,USA,DDD,WT,33.0,1.0,0.0
2010,15.0,Robert Gesink,NED,RAB,WT,24.0,20.0,1273.0
2011,15.0,Robert Gesink,NED,RAB,WT,25.0,18.0,839.0
2012,15.0,Robert Gesink,NED,RAB,WT,26.0,16.0,692.0
2013,15.0,Robert Gesink,NED,BLA,WT,27.0,12.0,630.0
2014,15.0,Robert Gesink,NED,BEL,WT,28.0,12.0,40.0
2015,15.0,Robert Gesink,NED,TLJ,WT,29.0,10.0,670.0
2016,15.0,Robert Gesink,NED,TLJ,WT,30.0,10.0,390.0
2017,15.0,Robert Gesink,NED,TLJ,WT,31.0,6.0,95.0
2018,15.0,Robert Gesink,NED,TLJ,WT,32.0,2.0,170.0
2019,15.0,Robert Gesink,NED,TJV,WT,33.0,1.0,95.0
2020,15.0,Robert Gesink,NED,TJV,WT,34.0,1.0,0.0
2010,16.0,André Greipel,GER,THR,WT,28.0,18.0,747.0
2011,16.0,André Greipel,GER,OLO,WT,29.0,16.0,1120.0
2012,16.0,André Greipel,GER,LTB,WT,30.0,14.0,1175.0
2013,16.0,André Greipel,GER,LTB,WT,31.0,20.0,1284.0
2014,16.0,André Greipel,GER,LTB,WT,32.0,20.0,880.0
2015,16.0,André Greipel,GER,LTS,WT,33.0,18.0,1565.0
2016,16.0,André Greipel,GER,LTS,WT,34.0,24.0,1246.0
2017,16.0,André Greipel,GER,LTS,WT,35.0,18.0,1601.0
2018,16.0,André Greipel,GER,LTS,WT,36.0,26.0,651.0
2019,16.0,André Greipel,GER,PCB,PROF,37.0,6.0,150.0
2020,16.0,André Greipel,GER,ISN,WT,38.0,1.0,0.0
2010,17.0,Heinrich Haussler,AUS,CTT,PROF,26.0,18.0,290.0
2011,17.0,Heinrich Haussler,AUS,GRM,WT,27.0,12.0,250.0
2012,17.0,Heinrich Haussler,AUS,GRS,WT,28.0,8.0,580.0
2013,17.0,Heinrich Haussler,AUS,IAM,PROF,29.0,10.0,790.0
2014,17.0,Heinrich Haussler,AUS,IAM,PROF,30.0,14.0,330.0
2015,17.0,Heinrich Haussler,AUS,IAM,WT,31.0,8.0,180.0
2016,17.0,Heinrich Haussler,AUS,IAM,WT,32.0,2.0,435.0
2017,17.0,Heinrich Haussler,AUS,TBM,WT,33.0,6.0,15.0
2018,17.0,Heinrich Haussler,AUS,TBM,WT,34.0,1.0,5.0
2019,17.0,Heinrich Haussler,AUS,TBM,WT,35.0,1.0,142.0
2020,17.0,Heinrich Haussler,AUS,TBM,WT,36.0,1.0,0.0
2010,18.0,Alexandr Kolobnev,RUS,KAT,WT,29.0,18.0,815.0
2011,18.0,Alexandr Kolobnev,RUS,KAT,WT,30.0,10.0,355.0
2012,18.0,Alexandr Kolobnev,RUS,KAT,WT,31.0,4.0,380.0
2013,18.0,Alexandr Kolobnev,RUS,KAT,WT,32.0,8.0,160.0
2014,18.0,Alexandr Kolobnev,RUS,KAT,WT,33.0,2.0,160.0
2015,18.0,Alexandr Kolobnev,RUS,KAT,WT,34.0,2.0,0.0
2016,18.0,Alexandr Kolobnev,RUS,ZZZ,,35.0,1.0,10.0
2017,18.0,Alexandr Kolobnev,RUS,XYZ,,36.0,1.0,0.0
2010,19.0,Roman Kreuziger,CZE,LIQ,WT,24.0,18.0,650.0
2011,19.0,Roman Kreuziger,CZE,AST,WT,25.0,14.0,775.0
2012,19.0,Roman Kreuziger,CZE,AST,WT,26.0,10.0,791.0
2013,19.0,Roman Kreuziger,CZE,TST,WT,27.0,14.0,974.0
2014,19.0,Roman Kreuziger,CZE,TCS,WT,28.0,16.0,620.0
2015,19.0,Roman Kreuziger,CZE,TCS,WT,29.0,12.0,599.0
2016,19.0,Roman Kreuziger,CZE,TNK,WT,30.0,8.0,640.0
2017,19.0,Roman Kreuziger,CZE,ORS,WT,31.0,8.0,160.0
2018,19.0,Roman Kreuziger,CZE,MTS,WT,32.0,1.0,740.0
2019,19.0,Roman Kreuziger,CZE,TDD,WT,33.0,6.0,75.0
2020,19.0,Roman Kreuziger,CZE,NTT,WT,34.0,1.0,0.0
2010,20.0,Franco Pellizotti,ITA,LIQ,WT,32.0,18.0,0.0
2011,20.0,Franco Pellizotti,ITA,XYZ,,33.0,10.0,0.0
2012,20.0,Franco Pellizotti,ITA,AND,PROF,34.0,2.0,440.0
2013,20.0,Franco Pellizotti,ITA,AND,PROF,35.0,8.0,550.0
2014,20.0,Franco Pellizotti,ITA,AND,PROF,36.0,10.0,435.0
2015,20.0,Franco Pellizotti,ITA,AND,PROF,37.0,6.0,165.0
2016,20.0,Franco Pellizotti,ITA,AND,PROF,38.0,2.0,125.0
2017,20.0,Franco Pellizotti,ITA,TBM,WT,39.0,2.0,10.0
2018,20.0,Franco Pellizotti,ITA,TBM,WT,40.0,1.0,80.0
