Year,Rider ID,Rider Name,Country,UCI Team,UCI Cat,Age,Price,Score
2019,251.0,Oscar Gatto,ITA,BOH,WT,34.0,1.0,63.0
2020,251.0,Oscar Gatto,ITA,BOH,WT,35.0,1.0,0.0
2010,252.0,Arnaud Gerard,FRA,FDJ,WT,26.0,2.0,0.0
2011,252.0,Arnaud Gerard,FRA,FDJ,PROF,27.0,1.0,190.0
2012,252.0,Arnaud Gerard,FRA,FDJ,WT,28.0,2.0,0.0
2013,252.0,Arnaud Gerard,FRA,BSE,PROF,29.0,1.0,60.0
2014,252.0,Arnaud Gerard,FRA,BSE,PROF,30.0,1.0,80.0
2015,252.0,Arnaud Gerard,FRA,BSE,PROF,31.0,1.0,60.0
2016,252.0,Arnaud Gerard,FRA,FVC,PROF,32.0,1.0,0.0
2017,252.0,Arnaud Gerard,FRA,FVC,PROF,33.0,1.0,0.0
2018,252.0,Arnaud Gerard,FRA,FST,PROF,34.0,1.0,0.0
2010,253.0,Simon Geschke,GER,SKS,PROF,24.0,2.0,40.0
2011,253.0,Simon Geschke,GER,SKS,PROF,25.0,2.0,140.0
2012,253.0,Simon Geschke,GER,ARG,PROF,26.0,2.0,150.0
2013,253.0,Simon Geschke,GER,ARG,WT,27.0,4.0,350.0
2014,253.0,Simon Geschke,GER,GIA,WT,28.0,6.0,595.0
2015,253.0,Simon Geschke,GER,TGA,WT,29.0,8.0,265.0
2016,253.0,Simon Geschke,GER,TGA,WT,30.0,6.0,140.0
2017,253.0,Simon Geschke,GER,SUN,WT,31.0,2.0,5.0
2018,253.0,Simon Geschke,GER,SUN,WT,32.0,1.0,89.0
2019,253.0,Simon Geschke,GER,CPT,WT,33.0,1.0,158.0
2020,253.0,Simon Geschke,GER,CCC,WT,34.0,1.0,0.0
2010,254.0,Kristof Goddaert,BEL,ALM,WT,24.0,2.0,15.0
2011,254.0,Kristof Goddaert,BEL,ALM,WT,25.0,1.0,150.0
2012,254.0,Kristof Goddaert,BEL,ALM,WT,26.0,2.0,65.0
2013,254.0,Kristof Goddaert,BEL,IAM,PROF,27.0,1.0,0.0
2014,254.0,Kristof Goddaert,BEL,ZZZ,,28.0,1.0,0.0
2010,255.0,Jose Angel Gomez,ESP,ACA,PROF,,2.0,0.0
2010,256.0,Alexander Gottfried,GER,APP,CONT,25.0,2.0,0.0
2011,256.0,Alexander Gottfried,GER,APP,PROF,26.0,1.0,0.0
2012,256.0,Alexander Gottfried,GER,TSP,CONT,27.0,1.0,0.0
2013,256.0,Alexander Gottfried,GER,TSP,CONT,28.0,1.0,0.0
2014,256.0,Alexander Gottfried,GER,XYZ,,29.0,1.0,0.0
2010,257.0,Dmytro Grabovskyy,UKR,ISD,PROF,25.0,1.0,60.0
2011,257.0,Dmytro Grabovskyy,UKR,ISE,CONT,26.0,2.0,0.0
2012,257.0,Dmytro Grabovskyy,UKR,XYZ,,27.0,1.0,0.0
2010,258.0,Patrick Gretsch,GER,THR,WT,23.0,2.0,20.0
2011,258.0,Patrick Gretsch,GER,THR,WT,24.0,2.0,75.0
2012,258.0,Patrick Gretsch,GER,ARG,PROF,25.0,1.0,4.0
2013,258.0,Patrick Gretsch,GER,ARG,WT,26.0,1.0,12.0
2014,258.0,Patrick Gretsch,GER,ALM,WT,27.0,1.0,1.0
2015,258.0,Patrick Gretsch,GER,ALM,WT,28.0,1.0,32.0
2016,258.0,Patrick Gretsch,GER,ALM,WT,29.0,1.0,38.0
2017,258.0,Patrick Gretsch,GER,XYZ,,30.0,1.0,0.0
2010,259.0,Andriy Grivko,UKR,AST,WT,27.0,2.0,177.0
2011,259.0,Andriy Grivko,UKR,AST,WT,28.0,4.0,50.0
2012,259.0,Andriy Grivko,UKR,AST,WT,29.0,1.0,408.0
2013,259.0,Andriy Grivko,UKR,AST,WT,30.0,8.0,431.0
2014,259.0,Andriy Grivko,UKR,AST,WT,31.0,4.0,141.0
2015,259.0,Andriy Grivko,UKR,AST,WT,32.0,4.0,172.0
2016,259.0,Andriy Grivko,UKR,AST,WT,33.0,2.0,70.0
2017,259.0,Andriy Grivko,UKR,AST,WT,34.0,1.0,73.0
2018,259.0,Andriy Grivko,UKR,AST,WT,35.0,1.0,230.0
2019,259.0,Andriy Grivko,UKR,XYZ,,36.0,2.0,0.0
2010,260.0,Jacopo Guarnieri,ITA,LIQ,WT,23.0,2.0,175.0
2011,260.0,Jacopo Guarnieri,ITA,LIQ,WT,24.0,4.0,40.0
2012,260.0,Jacopo Guarnieri,ITA,AST,WT,25.0,2.0,60.0
2013,260.0,Jacopo Guarnieri,ITA,AST,WT,26.0,1.0,0.0
2014,260.0,Jacopo Guarnieri,ITA,AST,WT,27.0,1.0,96.0
2015,260.0,Jacopo Guarnieri,ITA,KAT,WT,28.0,1.0,25.0
2016,260.0,Jacopo Guarnieri,ITA,KAT,WT,29.0,1.0,315.0
2017,260.0,Jacopo Guarnieri,ITA,FDJ,WT,30.0,4.0,0.0
2018,260.0,Jacopo Guarnieri,ITA,FDJ,WT,31.0,1.0,0.0
2019,260.0,Jacopo Guarnieri,ITA,GFC,WT,32.0,1.0,0.0
2020,260.0,Jacopo Guarnieri,ITA,GFC,WT,33.0,1.0,0.0
2010,261.0,Juan Jose Haedo,ARG,SAX,WT,29.0,2.0,355.0
2011,261.0,Juan Jose Haedo,ARG,SBS,WT,30.0,6.0,210.0
2012,261.0,Juan Jose Haedo,ARG,STB,WT,31.0,2.0,115.0
2013,261.0,Juan Jose Haedo,ARG,JSH,CONT,32.0,2.0,0.0
2014,261.0,Juan Jose Haedo,ARG,JSH,CONT,33.0,1.0,0.0
2010,262.0,Adam Hansen,AUS,THR,WT,29.0,2.0,190.0
2011,262.0,Adam Hansen,AUS,OLO,WT,30.0,4.0,0.0
2012,262.0,Adam Hansen,AUS,LTB,WT,31.0,1.0,6.0
2013,262.0,Adam Hansen,AUS,LTB,WT,32.0,1.0,96.0
2014,262.0,Adam Hansen,AUS,LTB,WT,33.0,2.0,100.0
2015,262.0,Adam Hansen,AUS,LTS,WT,34.0,2.0,20.0
2016,262.0,Adam Hansen,AUS,LTS,WT,35.0,1.0,60.0
2017,262.0,Adam Hansen,AUS,LTS,WT,36.0,1.0,0.0
2018,262.0,Adam Hansen,AUS,LTS,WT,37.0,1.0,28.0
2019,262.0,Adam Hansen,AUS,LTS,WT,38.0,1.0,0.0
2020,262.0,Adam Hansen,AUS,LTS,WT,39.0,1.0,0.0
2010,263.0,Ben Hermans,BEL,RSH,WT,24.0,2.0,40.0
2011,263.0,Ben Hermans,BEL,RSH,WT,25.0,2.0,190.0
2012,263.0,Ben Hermans,BEL,RNT,WT,26.0,2.0,40.0
2013,263.0,Ben Hermans,BEL,RLT,WT,27.0,2.0,70.0
2014,263.0,Ben Hermans,BEL,BMC,WT,28.0,2.0,230.0
2015,263.0,Ben Hermans,BEL,BMC,WT,29.0,4.0,592.0
2016,263.0,Ben Hermans,BEL,BMC,WT,30.0,8.0,484.0
2017,263.0,Ben Hermans,BEL,BMC,WT,31.0,6.0,286.0
2018,263.0,Ben Hermans,BEL,ICA,PROF,32.0,4.0,375.0
2019,263.0,Ben Hermans,BEL,ICA,PROF,33.0,2.0,448.0
2020,263.0,Ben Hermans,BEL,ISN,WT,34.0,4.0,0.0
2010,264.0,Jesus Hernandez,ESP,AST,WT,29.0,2.0,0.0
2011,264.0,Jesus Hernandez,ESP,SBS,WT,30.0,1.0,0.0
2012,264.0,Jesus Hernandez,ESP,STB,WT,31.0,1.0,0.0
2013,264.0,Jesus Hernandez,ESP,TST,WT,32.0,1.0,4.0
2014,264.0,Jesus Hernandez,ESP,TCS,WT,33.0,1.0,0.0
2015,264.0,Jesus Hernandez,ESP,TCS,WT,34.0,1.0,0.0
2016,264.0,Jesus Hernandez,ESP,TNK,WT,35.0,1.0,0.0
2017,264.0,Jesus Hernandez,ESP,TFS,WT,36.0,1.0,0.0
2010,265.0,Aitor Hernandez,ESP,EUS,WT,28.0,2.0,0.0
2010,266.0,Jose Herrada,ESP,CAJ,CONT,25.0,2.0,10.0
2011,266.0,Jose Herrada,ESP,CJR,PROF,26.0,1.0,0.0
2012,266.0,Jose Herrada,ESP,MOV,WT,27.0,1.0,30.0
2013,266.0,Jose Herrada,ESP,MOV,WT,28.0,1.0,247.0
2014,266.0,Jose Herrada,ESP,MOV,WT,29.0,6.0,0.0
2015,266.0,Jose Herrada,ESP,MOV,WT,30.0,2.0,149.0
2016,266.0,Jose Herrada,ESP,MOV,WT,31.0,2.0,63.0
2017,266.0,Jose Herrada,ESP,MOV,WT,32.0,1.0,80.0
2018,266.0,Jose Herrada,ESP,COF,PROF,33.0,1.0,30.0
2019,266.0,Jose Herrada,ESP,COF,PROF,34.0,1.0,30.0
2020,266.0,Jose Herrada,ESP,COF,WT,35.0,1.0,0.0
2012,267.0,David Herrero,ESP,XYZ,,33.0,1.0,0.0
2010,268.0,Sebastien Hinault,FRA,ALM,WT,36.0,2.0,225.0
2011,268.0,Sebastien Hinault,FRA,ALM,WT,37.0,4.0,150.0
2012,268.0,Sebastien Hinault,FRA,ALM,WT,38.0,2.0,70.0
2013,268.0,Sebastien Hinault,FRA,IAM,PROF,39.0,2.0,40.0
2014,268.0,Sebastien Hinault,FRA,IAM,PROF,40.0,1.0,0.0
2010,269.0,Robbie Hunter,RSA,GRM,WT,33.0,2.0,100.0
2011,269.0,Robbie Hunter,RSA,RSH,WT,34.0,2.0,50.0
2012,269.0,Robbie Hunter,RSA,GRS,WT,35.0,1.0,156.0
2013,269.0,Robbie Hunter,RSA,GRS,WT,36.0,2.0,0.0
2010,270.0,Bartosz Huzarski,POL,ISD,PROF,30.0,2.0,25.0
2011,270.0,Bartosz Huzarski,POL,APP,PROF,31.0,2.0,60.0
2012,270.0,Bartosz Huzarski,POL,APP,PROF,32.0,1.0,215.0
2013,270.0,Bartosz Huzarski,POL,TNE,PROF,33.0,2.0,115.0
2014,270.0,Bartosz Huzarski,POL,TNE,PROF,34.0,2.0,44.0
2015,270.0,Bartosz Huzarski,POL,BOA,PROF,35.0,1.0,8.0
2016,270.0,Bartosz Huzarski,POL,BOA,PROF,36.0,1.0,0.0
2010,271.0,Mikhail Ignatiev,RUS,KAT,WT,25.0,2.0,40.0
2011,271.0,Mikhail Ignatiev,RUS,KAT,WT,26.0,2.0,110.0
2012,271.0,Mikhail Ignatiev,RUS,KAT,WT,27.0,2.0,50.0
2013,271.0,Mikhail Ignatiev,RUS,KAT,WT,28.0,1.0,68.0
2014,271.0,Mikhail Ignatiev,RUS,KAT,WT,29.0,2.0,0.0
2015,271.0,Mikhail Ignatiev,RUS,XYZ,,30.0,1.0,0.0
2010,272.0,Iñaki Isasi,ESP,EUS,WT,,2.0,0.0
2011,272.0,Iñaki Isasi,ESP,EUS,WT,,1.0,0.0
2010,273.0,Sébastien Joly,FRA,SAU,PROF,,2.0,0.0
2011,273.0,Sébastien Joly,FRA,SAU,PROF,,1.0,0.0
2010,274.0,Iljo Keisse,BEL,QST,WT,28.0,2.0,0.0
2011,274.0,Iljo Keisse,BEL,QST,WT,29.0,1.0,0.0
2012,274.0,Iljo Keisse,BEL,OPQ,WT,30.0,1.0,25.0
2013,274.0,Iljo Keisse,BEL,OPQ,WT,31.0,1.0,50.0
2014,274.0,Iljo Keisse,BEL,OPQ,WT,32.0,1.0,100.0
2015,274.0,Iljo Keisse,BEL,EQS,WT,33.0,2.0,186.0
2016,274.0,Iljo Keisse,BEL,EQS,WT,34.0,2.0,5.0
2017,274.0,Iljo Keisse,BEL,QST,WT,35.0,1.0,315.0
2018,274.0,Iljo Keisse,BEL,QST,WT,36.0,2.0,7.0
2019,274.0,Iljo Keisse,BEL,DQT,WT,37.0,1.0,0.0
2020,274.0,Iljo Keisse,BEL,DQT,WT,38.0,1.0,0.0
2010,275.0,Christophe Kern,FRA,COF,PROF,29.0,2.0,0.0
2011,275.0,Christophe Kern,FRA,EUC,PROF,30.0,1.0,220.0
2012,275.0,Christophe Kern,FRA,EUC,PROF,31.0,2.0,0.0
2013,275.0,Christophe Kern,FRA,EUC,PROF,32.0,1.0,0.0
2014,275.0,Christophe Kern,FRA,EUC,WT,33.0,1.0,2.0
2015,275.0,Christophe Kern,FRA,XYZ,,34.0,1.0,0.0
2010,276.0,Vasil Kiryienka,BLR,GCE,WT,29.0,2.0,50.0
2011,276.0,Vasil Kiryienka,BLR,MOV,WT,30.0,2.0,285.0
2012,276.0,Vasil Kiryienka,BLR,MOV,WT,31.0,4.0,475.0
2013,276.0,Vasil Kiryienka,BLR,SKY,WT,32.0,8.0,396.0
2014,276.0,Vasil Kiryienka,BLR,SKY,WT,33.0,8.0,460.0
2015,276.0,Vasil Kiryienka,BLR,SKY,WT,34.0,6.0,620.0
2016,276.0,Vasil Kiryienka,BLR,SKY,WT,35.0,10.0,480.0
2017,276.0,Vasil Kiryienka,BLR,SKY,WT,36.0,6.0,455.0
2018,276.0,Vasil Kiryienka,BLR,SKY,WT,37.0,4.0,287.0
2019,276.0,Vasil Kiryienka,BLR,SKY,WT,38.0,2.0,137.0
2020,276.0,Vasil Kiryienka,BLR,ZZZ,,39.0,1.0,0.0
2010,277.0,Matthieu Ladagnous,FRA,FDJ,WT,26.0,2.0,60.0
2011,277.0,Matthieu Ladagnous,FRA,FDJ,PROF,27.0,2.0,240.0
2012,277.0,Matthieu Ladagnous,FRA,FDJ,WT,28.0,4.0,310.0
2013,277.0,Matthieu Ladagnous,FRA,FDJ,WT,29.0,6.0,420.0
2014,277.0,Matthieu Ladagnous,FRA,FDJ,WT,30.0,8.0,48.0
2015,277.0,Matthieu Ladagnous,FRA,FDJ,WT,31.0,1.0,18.0
2016,277.0,Matthieu Ladagnous,FRA,FDJ,WT,32.0,1.0,122.0
2017,277.0,Matthieu Ladagnous,FRA,FDJ,WT,33.0,2.0,2.0
2018,277.0,Matthieu Ladagnous,FRA,FDJ,WT,34.0,1.0,90.0
2019,277.0,Matthieu Ladagnous,FRA,GFC,WT,35.0,1.0,0.0
2020,277.0,Matthieu Ladagnous,FRA,GFC,WT,36.0,1.0,0.0
2010,278.0,Sergey Lagutin,RUS,VAC,PROF,29.0,2.0,130.0
2011,278.0,Sergey Lagutin,RUS,VCD,WT,30.0,2.0,200.0
2012,278.0,Sergey Lagutin,RUS,VCD,WT,31.0,2.0,425.0
2013,278.0,Sergey Lagutin,RUS,VCD,WT,32.0,8.0,138.0
2014,278.0,Sergey Lagutin,RUS,RVL,PROF,33.0,2.0,138.0
2015,278.0,Sergey Lagutin,RUS,KAT,WT,34.0,2.0,206.0
2016,278.0,Sergey Lagutin,RUS,KAT,WT,35.0,4.0,165.0
2017,278.0,Sergey Lagutin,RUS,GAZ,PROF,36.0,2.0,0.0
2018,278.0,Sergey Lagutin,RUS,GAZ,PROF,37.0,1.0,0.0
2019,278.0,Sergey Lagutin,RUS,XYZ,,38.0,1.0,0.0
2010,279.0,Sebastian Lang,GER,OLO,WT,,2.0,10.0
2011,279.0,Sebastian Lang,GER,OLO,WT,,1.0,14.0
2010,280.0,Pablo Lastras,ESP,GCE,WT,34.0,2.0,305.0
2011,280.0,Pablo Lastras,ESP,MOV,WT,35.0,6.0,282.0
2012,280.0,Pablo Lastras,ESP,MOV,WT,36.0,4.0,10.0
2013,280.0,Pablo Lastras,ESP,MOV,WT,37.0,1.0,0.0
2014,280.0,Pablo Lastras,ESP,MOV,WT,38.0,1.0,0.0
2015,280.0,Pablo Lastras,ESP,MOV,WT,39.0,1.0,0.0
2010,281.0,Laurent Lefevre,FRA,BBO,PROF,,2.0,0.0
2010,282.0,Geoffroy Lequatre,FRA,RSH,WT,29.0,2.0,60.0
2011,282.0,Geoffroy Lequatre,FRA,RSH,WT,30.0,2.0,120.0
2012,282.0,Geoffroy Lequatre,FRA,BSC,PROF,31.0,2.0,0.0
2013,282.0,Geoffroy Lequatre,FRA,BSE,PROF,32.0,1.0,0.0
2014,282.0,Geoffroy Lequatre,FRA,XYZ,,33.0,1.0,0.0
2010,283.0,Craig Lewis,USA,THR,WT,25.0,2.0,7.0
2011,283.0,Craig Lewis,USA,THR,WT,26.0,1.0,16.0
2012,283.0,Craig Lewis,USA,CSS,PROF,27.0,1.0,0.0
2013,283.0,Craig Lewis,USA,CSS,PROF,28.0,1.0,0.0
2014,283.0,Craig Lewis,USA,XYZ,,29.0,1.0,0.0
2010,284.0,Daniel Lloyd,GBR,CTT,PROF,30.0,2.0,0.0
2011,284.0,Daniel Lloyd,GBR,GRM,WT,31.0,1.0,10.0
2012,284.0,Daniel Lloyd,GBR,IGS,CONT,32.0,1.0,0.0
2010,285.0,Matthew Lloyd,AUS,OLO,WT,27.0,2.0,280.0
2011,285.0,Matthew Lloyd,AUS,OLO,WT,28.0,6.0,0.0
2012,285.0,Matthew Lloyd,AUS,LAM,WT,29.0,2.0,0.0
2013,285.0,Matthew Lloyd,AUS,LAM,WT,30.0,1.0,0.0
2014,285.0,Matthew Lloyd,AUS,JBC,CONT,31.0,1.0,0.0
2012,286.0,Jose Antonio Lopez,ESP,XYZ,,36.0,1.0,0.0
2010,287.0,Mirco Lorenzetto,ITA,LAM,WT,,2.0,65.0
2011,287.0,Mirco Lorenzetto,ITA,AST,WT,,2.0,0.0
2010,288.0,Alberto Losada,ESP,GCE,WT,28.0,2.0,0.0
2011,288.0,Alberto Losada,ESP,KAT,WT,29.0,1.0,0.0
2012,288.0,Alberto Losada,ESP,KAT,WT,30.0,1.0,35.0
2013,288.0,Alberto Losada,ESP,KAT,WT,31.0,1.0,30.0
2014,288.0,Alberto Losada,ESP,KAT,WT,32.0,1.0,0.0
2015,288.0,Alberto Losada,ESP,KAT,WT,33.0,1.0,0.0
2016,288.0,Alberto Losada,ESP,KAT,WT,34.0,1.0,0.0
2017,288.0,Alberto Losada,ESP,KAT,WT,35.0,1.0,0.0
2010,289.0,Gerben Löwik,NED,OLO,WT,,2.0,0.0
2010,290.0,Tiago Machado,POR,RSH,WT,25.0,2.0,140.0
2011,290.0,Tiago Machado,POR,RSH,WT,26.0,6.0,215.0
2012,290.0,Tiago Machado,POR,RNT,WT,27.0,2.0,120.0
2013,290.0,Tiago Machado,POR,RLT,WT,28.0,2.0,30.0
2014,290.0,Tiago Machado,POR,TNE,PROF,29.0,1.0,644.0
2015,290.0,Tiago Machado,POR,KAT,WT,30.0,10.0,235.0
2016,290.0,Tiago Machado,POR,KAT,WT,31.0,4.0,30.0
2017,290.0,Tiago Machado,POR,KAT,WT,32.0,1.0,85.0
2018,290.0,Tiago Machado,POR,TKA,WT,33.0,1.0,0.0
2019,290.0,Tiago Machado,POR,STA,CONT,34.0,1.0,0.0
2020,290.0,Tiago Machado,POR,EFP,CONT,35.0,1.0,0.0
2010,291.0,Davide Malacarne,ITA,QST,WT,23.0,2.0,40.0
2011,291.0,Davide Malacarne,ITA,QST,WT,24.0,2.0,60.0
2012,291.0,Davide Malacarne,ITA,EUC,PROF,25.0,1.0,0.0
2013,291.0,Davide Malacarne,ITA,EUC,PROF,26.0,1.0,125.0
2014,291.0,Davide Malacarne,ITA,EUC,WT,27.0,2.0,50.0
2015,291.0,Davide Malacarne,ITA,AST,WT,28.0,1.0,17.0
2016,291.0,Davide Malacarne,ITA,AST,WT,29.0,1.0,18.0
2010,292.0,Marco Marcato,ITA,VAC,PROF,26.0,2.0,680.0
2011,292.0,Marco Marcato,ITA,VCD,WT,27.0,10.0,940.0
2012,292.0,Marco Marcato,ITA,VCD,WT,28.0,12.0,595.0
2013,292.0,Marco Marcato,ITA,VCD,WT,29.0,10.0,0.0
2014,292.0,Marco Marcato,ITA,CAN,WT,30.0,6.0,10.0
2015,292.0,Marco Marcato,ITA,WGG,PROF,31.0,1.0,115.0
2016,292.0,Marco Marcato,ITA,WGG,PROF,32.0,2.0,125.0
2017,292.0,Marco Marcato,ITA,UAD,WT,33.0,2.0,0.0
2018,292.0,Marco Marcato,ITA,UAD,WT,34.0,1.0,30.0
2019,292.0,Marco Marcato,ITA,UAD,WT,35.0,1.0,0.0
2020,292.0,Marco Marcato,ITA,UAD,WT,36.0,1.0,0.0
2010,293.0,Serafin Martinez,ESP,XAC,PROF,26.0,2.0,160.0
2011,293.0,Serafin Martinez,ESP,XYZ,,27.0,4.0,0.0
2012,293.0,Serafin Martinez,ESP,XYZ,,28.0,1.0,0.0
2010,294.0,Marco Marzano,ITA,LAM,WT,30.0,2.0,0.0
2011,294.0,Marco Marzano,ITA,LAM,WT,31.0,1.0,0.0
2012,294.0,Marco Marzano,ITA,LAM,WT,32.0,1.0,0.0
2010,295.0,Luca Mazzanti,ITA,KAT,WT,36.0,2.0,80.0
2011,295.0,Luca Mazzanti,ITA,FAR,PROF,37.0,2.0,0.0
2012,295.0,Luca Mazzanti,ITA,FAR,PROF,38.0,1.0,0.0
2013,295.0,Luca Mazzanti,ITA,VIN,PROF,39.0,1.0,0.0
2010,296.0,David McCann,IRL,GNT,CONT,37.0,2.0,100.0
2011,296.0,David McCann,IRL,GKT,CONT,38.0,2.0,0.0
2012,296.0,David McCann,IRL,RTS,CONT,39.0,1.0,0.0
2013,296.0,David McCann,IRL,BCP,CONT,40.0,1.0,0.0
2010,297.0,Jason McCartney,USA,RSH,WT,37.0,2.0,0.0
2011,297.0,Jason McCartney,USA,RSH,WT,38.0,1.0,0.0
2012,297.0,Jason McCartney,USA,UHC,PROF,39.0,1.0,0.0
2013,297.0,Jason McCartney,USA,BPC,CONT,40.0,1.0,0.0
2014,297.0,Jason McCartney,USA,XYZ,,41.0,1.0,0.0
2010,298.0,Sébastian Minard,FRA,COF,PROF,28.0,2.0,100.0
2011,298.0,Sébastian Minard,FRA,ALM,WT,29.0,2.0,0.0
2012,298.0,Sébastian Minard,FRA,ALM,WT,30.0,1.0,0.0
2013,298.0,Sébastian Minard,FRA,ALM,WT,31.0,1.0,30.0
2014,298.0,Sébastian Minard,FRA,ALM,WT,32.0,1.0,5.0
2015,298.0,Sébastian Minard,FRA,ALM,WT,33.0,1.0,0.0
2016,298.0,Sébastian Minard,FRA,ZZZ,,34.0,1.0,0.0
2017,298.0,Sébastian Minard,FRA,XYZ,,35.0,1.0,0.0
2010,299.0,Andrey Mizourov,KAZ,TPT,CONT,37.0,2.0,100.0
2011,299.0,Andrey Mizourov,KAZ,XYZ,,38.0,2.0,110.0
2012,299.0,Andrey Mizourov,KAZ,TPT,CONT,39.0,2.0,0.0
2013,299.0,Andrey Mizourov,KAZ,KTS,CONT,40.0,1.0,100.0
2014,299.0,Andrey Mizourov,KAZ,TRK,CONT,41.0,1.0,0.0
2015,299.0,Andrey Mizourov,KAZ,XYZ,,42.0,1.0,0.0
2010,300.0,Amaël Moinard,FRA,COF,PROF,28.0,2.0,100.0
2011,300.0,Amaël Moinard,FRA,BMC,WT,29.0,2.0,70.0
2012,300.0,Amaël Moinard,FRA,BMC,WT,30.0,1.0,4.0
2013,300.0,Amaël Moinard,FRA,BMC,WT,31.0,1.0,0.0
2014,300.0,Amaël Moinard,FRA,BMC,WT,32.0,1.0,20.0
2015,300.0,Amaël Moinard,FRA,BMC,WT,33.0,1.0,148.0
2016,300.0,Amaël Moinard,FRA,BMC,WT,34.0,2.0,145.0
2017,300.0,Amaël Moinard,FRA,BMC,WT,35.0,2.0,0.0
2018,300.0,Amaël Moinard,FRA,FST,PROF,36.0,1.0,0.0
2019,300.0,Amaël Moinard,FRA,PCB,PROF,37.0,1.0,0.0
2010,301.0,Bauke Mollema,NED,RAB,WT,24.0,2.0,375.0
2011,301.0,Bauke Mollema,NED,RAB,WT,25.0,6.0,1250.0
2012,301.0,Bauke Mollema,NED,RAB,WT,26.0,16.0,877.0
2013,301.0,Bauke Mollema,NED,BLA,WT,27.0,14.0,1290.0
2014,301.0,Bauke Mollema,NED,BEL,WT,28.0,20.0,1165.0
2015,301.0,Bauke Mollema,NED,TFR,WT,29.0,18.0,978.0
2016,301.0,Bauke Mollema,NED,TFS,WT,30.0,18.0,940.0
2017,301.0,Bauke Mollema,NED,TFS,WT,31.0,12.0,1225.0
2018,301.0,Bauke Mollema,NED,TFS,WT,32.0,16.0,1150.0
2019,301.0,Bauke Mollema,NED,TFS,WT,33.0,12.0,1690.0
2020,301.0,Bauke Mollema,NED,TFS,WT,34.0,16.0,0.0
2010,302.0,Lloyd Mondory,FRA,ALM,WT,28.0,2.0,170.0
2011,302.0,Lloyd Mondory,FRA,ALM,WT,29.0,4.0,240.0
2012,302.0,Lloyd Mondory,FRA,ALM,WT,30.0,4.0,250.0
2013,302.0,Lloyd Mondory,FRA,ALM,WT,31.0,6.0,30.0
2014,302.0,Lloyd Mondory,FRA,ALM,WT,32.0,1.0,100.0
2015,302.0,Lloyd Mondory,FRA,ALM,WT,33.0,1.0,0.0
2010,303.0,Damien Monier,FRA,COF,PROF,28.0,2.0,80.0
2011,303.0,Damien Monier,FRA,COF,PROF,29.0,2.0,0.0
2012,303.0,Damien Monier,FRA,COF,PROF,30.0,1.0,0.0
2013,303.0,Damien Monier,FRA,BGT,CONT,31.0,1.0,0.0
2014,303.0,Damien Monier,FRA,BGT,CONT,32.0,1.0,0.0
2015,303.0,Damien Monier,FRA,BGT,CONT,33.0,1.0,0.0
2016,303.0,Damien Monier,FRA,BGT,CONT,34.0,1.0,0.0
2017,303.0,Damien Monier,FRA,BGT,CONT,35.0,1.0,0.0
2018,303.0,Damien Monier,FRA,AIS,CONT,36.0,1.0,0.0
2019,303.0,Damien Monier,FRA,XYZ,,37.0,1.0,0.0
2020,303.0,Damien Monier,FRA,AIS,CONT,38.0,1.0,0.0
2010,304.0,Christophe Moreau,FRA,GCE,WT,,2.0,75.0
2010,305.0,Javier Moreno,ESP,ACA,PROF,26.0,2.0,150.0
2011,305.0,Javier Moreno,ESP,CJR,PROF,27.0,4.0,60.0
2012,305.0,Javier Moreno,ESP,MOV,WT,28.0,1.0,201.0
2013,305.0,Javier Moreno,ESP,MOV,WT,29.0,4.0,2.0
2014,305.0,Javier Moreno,ESP,MOV,WT,30.0,1.0,231.0
2015,305.0,Javier Moreno,ESP,MOV,WT,31.0,4.0,2.0
2016,305.0,Javier Moreno,ESP,MOV,WT,32.0,1.0,85.0
2017,305.0,Javier Moreno,ESP,TBM,WT,33.0,1.0,0.0
2018,305.0,Javier Moreno,ESP,DMP,PROF,34.0,1.0,140.0
2019,305.0,Javier Moreno,ESP,DMP,PROF,35.0,1.0,0.0
2010,306.0,Manuele Mori,ITA,LAM,WT,30.0,2.0,22.0
2011,306.0,Manuele Mori,ITA,LAM,WT,31.0,2.0,0.0
2012,306.0,Manuele Mori,ITA,LAM,WT,32.0,1.0,40.0
2013,306.0,Manuele Mori,ITA,LAM,WT,33.0,1.0,20.0
2014,306.0,Manuele Mori,ITA,LAM,WT,34.0,1.0,50.0
2015,306.0,Manuele Mori,ITA,LAM,WT,35.0,1.0,40.0
2016,306.0,Manuele Mori,ITA,LAM,WT,36.0,1.0,160.0
2017,306.0,Manuele Mori,ITA,UAD,WT,37.0,2.0,0.0
2018,306.0,Manuele Mori,ITA,UAD,WT,38.0,1.0,4.0
2019,306.0,Manuele Mori,ITA,UAD,WT,39.0,1.0,22.0
2010,307.0,Jens Mouris,NED,VAC,PROF,30.0,2.0,160.0
2011,307.0,Jens Mouris,NED,VCD,WT,31.0,4.0,0.0
2012,307.0,Jens Mouris,NED,OGE,WT,32.0,1.0,8.0
2013,307.0,Jens Mouris,NED,OGE,WT,33.0,1.0,60.0
2014,307.0,Jens Mouris,NED,OGE,WT,34.0,2.0,60.0
2015,307.0,Jens Mouris,NED,OGE,WT,35.0,1.0,54.0
2016,307.0,Jens Mouris,NED,DPC,PROF,36.0,1.0,0.0
2017,307.0,Jens Mouris,NED,RNL,PROF,37.0,1.0,0.0
