	Country 	UCI Team 	UCI Cat 	Rider 	Born 	Price 	Prev 	Score ↓
78. 	DEN 	SUN 	WT 	Søren Kragh Andersen 	1994 	4 	496 	644
79. 	AUS 	MTS 	WT 	Caleb Ewan 	1994 	8 	677 	635
80. 	SUI 	BMC 	WT 	Stefan Küng 	1993 	6 	694 	630
81. 	COL 	QST 	WT 	Fernando Gaviria 	1994 	34 	1942 	629
82. 	NED 	TLJ 	WT 	Danny van Poppel 	1993 	4 	152 	627
83. 	DEN 	TFS 	WT 	Mads Pedersen 	1995 	6 	502 	615
84. 	BEL 	LTS 	WT 	Jens Debusschere 	1989 	4 	320 	605
85. 	FRA 	WGG 	PROF 	Guillaume Martin 	1993 	2 	315 	600
86. 	FRA 	COF 	PROF 	Hugo Hofstetter 	1994 	1 	85 	600
87. 	NZL 	BMC 	WT 	Patrick Bevin 	1991 	1 	85 	593
88. 	BEL 	WGG 	PROF 	Timothy Dupont 	1987 	4 	410 	590
89. 	ITA 	TBM 	WT 	Enrico Gasparotto 	1982 	1 	0 	590
90. 	BEL 	LTS 	WT 	Jelle Vanendert 	1985 	1 	145 	587
91. 	ESP 	EUS 	PROF 	Eduard Prades 	1987 	1 	110 	585
92. 	ITA 	UAD 	WT 	Diego Ulissi 	1989 	18 	1155 	560
93. 	ITA 	NIP 	PROF 	Marco Canola 	1988 	6 	611 	545
94. 	FRA 	FDJ 	WT 	Arthur Vichot 	1988 	4 	410 	540
95. 	NED 	COC 	CONT 	Mathieu van der Poel 	1995 	2 	190 	525
96. 	ESP 	AST 	WT 	Pello Bilbao 	1990 	1 	105 	525
97. 	ESP 	NIP 	PROF 	Juan Jose Lobato 	1988 	2 	270 	520
98. 	AUS 	BMC 	WT 	Richie Porte 	1985 	18 	747 	518
99. 	AUT 	BOH 	WT 	Felix Großschartner 	1993 	1 	160 	511
100. 	POR 	UAD 	WT 	Rui Costa 	1986 	8 	751 	510
101. 	COL 	EFD 	WT 	Daniel Martinez 	1996 	2 	270 	510
102. 	LUX 	BMC 	WT 	Jempy Drucker 	1986 	12 	1025 	505
103. 	FRA 	QST 	WT 	Florian Senechal 	1993 	2 	270 	500
104. 	ITA 	ANS 	PROF 	Manuel Belletti 	1985 	1 	20 	500
105. 	NED 	TLJ 	WT 	Timo Roosen 	1993 	2 	310 	498
106. 	BEL 	VWC 	PROF 	Sean De Bie 	1991 	1 	10 	495
107. 	ITA 	TFS 	WT 	Giacomo Nizzolo 	1989 	10 	80 	492
108. 	SUI 	ALM 	WT 	Silvan Dillier 	1990 	8 	745 	490
109. 	ITA 	WGG 	PROF 	Andrea Pasqualon 	1988 	4 	430 	490
110. 	FRA 	FDJ 	WT 	Valentin Madouas 	1996 	1 	0 	490
111. 	FRA 	COF 	PROF 	Julien Simon 	1985 	4 	495 	480
112. 	FRA 	FDJ 	WT 	Anthony Roux 	1987 	1 	152 	465
113. 	NED 	SKY 	WT 	Dylan van Baarle 	1992 	6 	425 	460
114. 	NED 	SKY 	WT 	Wout Poels 	1987 	14 	834 	443
115. 	ESP 	SKY 	WT 	David De La Cruz 	1989 	4 	440 	440
116. 	KAZ 	AST 	WT 	Alexey Lutsenko 	1992 	4 	483 	430
117. 	BEL 	WGG 	PROF 	Xandro Meurisse 	1992 	2 	300 	430
118. 	SLO 	CCC 	PROF 	Jan Tratnik 	1990 	1 	188 	429
119. 	GER 	SUN 	WT 	Maximilian Walscheid 	1993 	2 	217 	428
120. 	USA 	BMC 	WT 	Tejay van Garderen 	1988 	6 	672 	427
121. 	RSA 	MTS 	WT 	Daryl Impey 	1984 	4 	115 	422
122. 	FRA 	TDE 	PROF 	Lilian Calmejane 	1992 	6 	602 	420
123. 	COL 	ANS 	PROF 	Ivan Ramiro Sosa 	1997 	1 	0 	420
124. 	NED 	TLJ 	WT 	Antwan Tolhoek 	1994 	1 	120 	416
125. 	DEN 	AST 	WT 	Magnus Cort Nielsen 	1993 	4 	382 	415
126. 	RUS 	AST 	WT 	Sergey Chernetskiy 	1990 	2 	268 	415
127. 	DEN 	ABB 	CONT 	Martin Toft Madsen 	1985 	2 	340 	410
128. 	BEL 	LTS 	WT 	Thomas De Gendt 	1986 	2 	250 	408
129. 	GBR 	BOH 	WT 	Peter Kennaugh 	1989 	2 	55 	406
130. 	ITA 	EFD 	WT 	Sacha Modolo 	1987 	6 	705 	405
131. 	ESP 	TBM 	WT 	Gorka Izagirre 	1987 	4 	500 	405
132. 	AUS 	MTS 	WT 	Cameron Meyer 	1988 	1 	0 	400
133. 	BEL 	BMC 	WT 	Jürgen Roelandts 	1985 	4 	245 	392
134. 	EST 	ICA 	PROF 	Mihkel Raim 	1993 	1 	70 	391
135. 	ITA 	BMC 	WT 	Alessandro De Marchi 	1986 	1 	40 	390
136. 	BEL 	VCC 	PROF 	Jonas Van Genechten 	1986 	1 	80 	385
137. 	ITA 	AST 	WT 	Riccardo Minali 	1995 	1 	80 	380
138. 	BEL 	ICA 	PROF 	Ben Hermans 	1986 	4 	286 	375
139. 	SUI 	MTS 	WT 	Michael Albasini 	1980 	18 	1325 	374
140. 	AUS 	TKA 	WT 	Nathan Haas 	1989 	2 	220 	373
141. 	FRA 	ALM 	WT 	Alexis Vuillermoz 	1988 	14 	985 	370
142. 	AUS 	MTS 	WT 	Robert Power 	1995 	1 	95 	370
143. 	FRA 	FDJ 	WT 	Rudy Molard 	1989 	1 	120 	365
144. 	ITA 	ANS 	PROF 	Francesco Gavazzi 	1984 	4 	600 	360
145. 	NED 	RNL 	PROF 	Taco van der Hoorn 	1993 	1 	125 	360
146. 	ITA 	TFS 	WT 	Gianluca Brambilla 	1987 	4 	36 	360
147. 	BEL 	HBA 	PROF 	Jasper Philipsen 	1998 	1 	0 	360
148. 	COL 	SKY 	WT 	Sergio Henao 	1987 	12 	921 	355
149. 	FRA 	FST 	PROF 	Warren Barguil 	1991 	10 	871 	355
150. 	GER 	TKA 	WT 	Tony Martin 	1985 	6 	525 	355
151. 	SUI 	FDJ 	WT 	Sebastien Reichenbach 	1989 	2 	92 	350
152. 	ECU 	QST 	WT 	Jhonatan Narvaez 	1997 	1 	0 	346
153. 	FRA 	QST 	WT 	Remi Cavagna 	1995 	2 	261 	345
154. 	FRA 	COF 	PROF 	Nicolas Edet 	1987 	1 	90 	340
155. 	RUS 	TKA 	WT 	Ilnur Zakarin 	1989 	22 	1485 	335
156. 	EST 	TDE 	PROF 	Rein Taaramäe 	1987 	1 	130 	335
157. 	LTU 	ALM 	WT 	Gediminas Bagdonas 	1985 	1 	30 	335
158. 	AUS 	MTS 	WT 	Jack Haig 	1993 	4 	352 	330
159. 	ESP 	MTS 	WT 	Carlos Verona Quintanilla 	1992 	2 	212 	325
160. 	GBR 	EFD 	WT 	Hugh Carthy 	1994 	1 	15 	322
161. 	FRA 	WVA 	PROF 	Justin Jules 	1986 	2 	280 	320
162. 	SUI 	ALM 	WT 	Mathias Frank 	1986 	1 	140 	320
163. 	ITA 	UAD 	WT 	Fabio Aru 	1990 	24 	1485 	315
164. 	FRA 	TDE 	PROF 	Jonathan Hivert 	1985 	2 	345 	315
165. 	GBR 	SKY 	WT 	Christopher Lawless 	1995 	1 	0 	314
166. 	ITA 	ANS 	PROF 	Mattia Cattaneo 	1990 	4 	485 	310
167. 	NED 	SUN 	WT 	Mike Teunissen 	1992 	1 	130 	310
168. 	BEL 	COF 	PROF 	Dimitri Claeys 	1987 	1 	60 	310
169. 	POR 	TFS 	WT 	Ruben Guerreiro 	1994 	2 	262 	308
170. 	ITA 	UAD 	WT 	Simone Consonni 	1994 	2 	250 	308
171. 	ITA 	BRD 	PROF 	Giulio Ciccone 	1994 	1 	185 	305
172. 	BEL 	LTS 	WT 	Jens Keukeleire 	1988 	6 	480 	302
173. 	ROU 	NIP 	PROF 	Eduard Michael Grosu 	1992 	1 	120 	300
174. 	BEL 	QST 	WT 	Pieter Serry 	1988 	1 	40 	300
175. 	ESP 	MTS 	WT 	Mikel Nieve 	1984 	4 	419 	294
176. 	USA 	TLJ 	WT 	Sepp Kuss 	1994 	1 	120 	294
177. 	GBR 	SKY 	WT 	Tao Geoghegan Hart 	1995 	2 	230 	290
178. 	FRA 	ALM 	WT 	Samuel Dumoulin 	1980 	2 	195 	290
179. 	LAT 	ICA 	PROF 	Krists Neilands 	1994 	1 	100 	290
180. 	POL 	SKY 	WT 	Lukasz Wisniowski 	1991 	2 	0 	290
181. 	BLR 	SKY 	WT 	Vasil Kiryienka 	1981 	4 	455 	287
182. 	POR 	MOV 	WT 	Nelson Oliveira 	1989 	2 	302 	285
183. 	CZE 	ELA 	CONT 	Josef Cerny 	1993 	1 	130 	281
184. 	FRA 	ALM 	WT 	Alexandre Geniez 	1988 	4 	430 	280
185. 	NED 	RNL 	PROF 	Pim Ligthart 	1988 	2 	190 	280
186. 	AUT 	FDJ 	WT 	Georg Preidler 	1990 	1 	100 	280
187. 	ESP 	AST 	WT 	Luis Leon Sanchez 	1983 	2 	305 	279
188. 	ESP 	AST 	WT 	Omar Fraile 	1990 	2 	325 	275
189. 	AUT 	TBM 	WT 	Hermann Pernsteiner 	1990 	1 	50 	275
190. 	IRL 	TFS 	WT 	Ryan Mullen 	1994 	4 	458 	273
191. 	FRA 	COF 	PROF 	Nacer Bouhanni 	1990 	18 	1335 	270
192. 	GER 	TKA 	WT 	Marcel Kittel 	1988 	22 	1166 	270
193. 	ESP 	COF 	PROF 	Daniel Navarro 	1983 	1 	30 	270
194. 	ITA 	SKY 	WT 	Diego Rosa 	1989 	4 	99 	264
195. 	AUT 	BOH 	WT 	Gregor Mühlberger 	1994 	2 	330 	260
196. 	USA 	UHC 	PROF 	Gavin Mannion 	1991 	1 	70 	260
197. 	GER 	ALM 	WT 	Nico Denz 	1994 	1 	0 	260
198. 	FRA 	FDJ 	WT 	David Gaudu 	1996 	6 	485 	255
199. 	EST 	AST 	WT 	Tanel Kangert 	1987 	4 	20 	255
200. 	NZL 	WGG 	PROF 	Dion Smith 	1993 	1 	0 	255
201. 	FRA 	ALM 	WT 	Tony Gallopin 	1988 	10 	805 	250
