	Country 	Trade Team 	Rider 	Born 	Price 	Prev 	Score ↓
86. 	CAN 	DLT 	Karol-Ann Canuel 	1988 	8 	697 	264
87. 	NED 	CCC 	Pauliena Rooijakkers 	1993 	2 	204 	262
88. 	NED 	BTC 	Monique van de Ree 	1988 	6 	435 	260
89. 	AUT 	HMT 	Kathrin Schweinberger 	1996 	2 	135 	260
90. 	AUS 	TVC 	Rachel Neylan 	1982 	1 	16 	255
91. 	ITA 	TVC 	Barbara Guarischi 	1990 	4 	388 	251
92. 	THA 	XYZ 	Jutatip Maneephan 	1988 	1 	0 	250
93. 	USA 	CSR 	Alexis Ryan 	1994 	16 	1032 	246
94. 	ITA 	BPK 	Tatiana Guderzo 	1984 	6 	565 	241
95. 	POL 	TFS 	Anna Plichta 	1992 	1 	7 	240
96. 	NED 	TIB 	Nina Kessler 	1988 	4 	400 	230
97. 	ITA 	VAL 	Ilaria Sanguineti 	1994 	4 	286 	230
98. 	TTO 	WCC 	Teniel Campbell 	1997 	1 	50 	225
99. 	AUS 	MTS 	Sarah Roy 	1986 	10 	612 	218
100. 	GER 	ALE 	Romy Kasper 	1988 	1 	0 	216
101. 	SLO 	BTC 	Ursa Pintar 	1985 	2 	120 	215
102. 	POR 	DVE 	Daniela Reis 	1993 	2 	200 	210
103. 	USA 	RLW 	Kristabel Doebel-Hickok 	1989 	1 	0 	210
104. 	NED 	TVC 	Anouska Koster 	1993 	4 	194 	203
105. 	AUS 	FDJ 	Shara Marche (Gillow) 	1987 	8 	528 	202
106. 	DEN 	BIG 	Julie Leth 	1992 	1 	60 	200
107. 	POL 	CCC 	Marta Lach 	1997 	1 	0 	200
108. 	POL 	MOV 	Malgorzata Jasinska 	1984 	12 	1321 	195
109. 	UKR 	LCW 	Valeriya Kononenko 	1990 	1 	100 	195
110. 	GBR 	CSR 	Hannah Barnes 	1993 	10 	642 	186
111. 	NED 	CCC 	Jeanne Korevaar 	1996 	4 	404 	185
112. 	SWE 	BTC 	Hanna Nilsson 	1992 	8 	225 	180
113. 	NOR 	TVC 	Katrine Aalerud 	1994 	1 	65 	180
114. 	GER 	CSR 	Tanja Erath 	1989 	1 	34 	180
115. 	FRA 	MOV 	Aude Biannic 	1991 	6 	471 	177
116. 	DEN 	TVC 	Christina Siggaard 	1994 	8 	503 	168
117. 	NED 	HPU 	Lonneke Uneken 	2000 	1 	0 	165
118. 	GBR 	HPU 	Lucy van der Haar 	1994 	1 	0 	165
119. 	GER 	CSR 	Christa Riffel 	1998 	1 	2 	160
120. 	NOR 	HPU 	Ingrid Lorvik 	1986 	1 	0 	160
121. 	BEL 	DVE 	Jesse Vandenbulcke 	1996 	1 	0 	160
