"Rank","Country","UCI Team","Rider ID","Rider Name","Price","Score 2017","Score 2018"
1,"ESP","MOV",2,"Alejandro Valverde",28,1580,3404
2,"SVK","BOH",857,"Peter Sagan",48,2695,2805
3,"GBR","MTS",2766,"Simon Yates",18,1138,2751
4,"ITA","QST",951,"Elia Viviani",28,1827,2455
5,"FRA","QST",2784,"Julian Alaphilippe",28,1576,2396
6,"NED","SUN",1275,"Tom Dumoulin",36,2565,2230
7,"FRA","FDJ",808,"Thibaut Pinot",28,1852,2185
8,"FRA","ALM",1399,"Romain Bardet",22,1165,2100
9,"BEL","BMC",96,"Greg Van Avermaet",36,2916,2068
10,"COL","AST",3117,"Miguel Angel Lopez",16,865,1980
11,"BEL","TFS",2764,"Jasper Stuyven",20,1380,1905
12,"SLO","TLJ",3273,"Primož Roglič",20,1330,1882
13,"FRA","FDJ",1322,"Arnaud Démare",28,1718,1852
14,"GBR","SKY",913,"Geraint Thomas",18,875,1748
15,"AUS","SUN",972,"Michael Matthews",32,2073,1693
16,"GER","BOH",3318,"Pascal Ackermann",2,310,1645
17,"BEL","LTS",2358,"Tim Wellens",20,1223,1558
18,"ITA","TBM",1405,"Sonny Colbrelli",18,1340,1548
19,"POL","SKY",1179,"Michal Kwiatkowski",30,1875,1518
20,"GBR","SKY",245,"Chris Froome",40,3334,1485
21,"NOR","UAD",682,"Alexander Kristoff",36,2545,1465
22,"BEL","ALM",3151,"Oliver Naesen",18,1160,1430
23,"NED","QST",94,"Niki Terpstra",8,678,1426
24,"ITA","SKY",3420,"Gianni Moscon",24,1269,1423
25,"SLO","TBM",2846,"Matej Mohoric",2,280,1390
26,"DEN","AST",2880,"Michael Valgren",4,485,1375
27,"COL","EFD",373,"Rigoberto Uran",20,1380,1285
28,"ITA","TBM",334,"Domenico Pozzovivo",16,1226,1280
29,"GER","QST",3549,"Maximilian Schachmann",1,161,1261
30,"AUS","BMC",2637,"Rohan Dennis",10,682,1226
31,"BEL","QST",6,"Philippe Gilbert",26,1629,1209
32,"COL","MOV",1105,"Nairo Quintana",30,1558,1190
33,"COL","SKY",3446,"Egan Bernal",8,470,1161
34,"CAN","EFD",3237,"Michael Woods",6,660,1155
35,"NED","TFS",301,"Bauke Mollema",16,1225,1150
36,"ESP","TBM",1138,"Ion Izagirre",14,960,1135
37,"BEL","LTS",3148,"Tiesj Benoot",10,845,1112
38,"ESP","QST",3761,"Enric Mas Nicolau",2,253,1100
39,"BEL","BMC",3045,"Dylan Teuns",18,1056,1091
40,"NED","QST",3923,"Fabio Jakobsen",1,0,1074
41,"NED","TLJ",685,"Steven Kruijswijk",6,550,1065
42,"LUX","QST",2675,"Bob Jungels",18,1088,1046
43,"FRA","ALM",2774,"Pierre Latour",6,445,1010
44,"IRL","BOH",2765,"Sam Bennett",12,900,985
44,"CZE","QST",1174,"Zdeněk Štybar",10,735,985
46,"BEL","QST",2706,"Yves Lampaert",6,644,951
47,"DEN","AST",40,"Jakob Fuglsang",4,465,950
48,"NED","TLJ",2355,"Dylan Groenewegen",20,1215,946
49,"AUT","BOH",3015,"Patrick Konrad",2,310,945
50,"IRL","UAD",43,"Daniel Martin",22,1445,935
51,"NZL","TLJ",1351,"George Bennett",6,551,885
52,"NED","SUN",1274,"Wilco Kelderman",14,1006,880
52,"ECU","MOV",3722,"Richard Carapaz",2,290,880
54,"ITA","MTS",1385,"Matteo Trentin",28,1778,848
55,"POL","BOH",1271,"Rafal Majka",16,1139,835
56,"BEL","EFD",940,"Sep Vanmarcke",12,770,834
57,"ITA","TBM",29,"Vincenzo Nibali",32,2315,830
58,"ITA","BOH",2813,"Davide Formolo",4,255,800
59,"NOR","DDD",7,"Edvald Boasson Hagen",20,1520,785
60,"BEL","VWC",3005,"Wout Van Aert",2,180,770
60,"GER","TKA",3262,"Nils Politt",1,65,770
62,"GER","TFS",1207,"John Degenkolb",18,1090,765
63,"CZE","MTS",19,"Roman Kreuziger",1,160,740
64,"GBR","MTS",2889,"Adam Yates",20,1177,739
65,"BEL","LTS",2794,"Victor Campenaerts",6,565,737
66,"ESP","SKY",480,"Jonathan Castroviejo",8,717,725
66,"FRA","COF",2835,"Christophe Laporte",1,170,725
68,"LAT","TFS",3255,"Toms Skujins",1,175,705
69,"NED","SUN",3298,"Sam Oomen",6,566,701
70,"GER","BOH",3165,"Emanuel Buchmann",4,430,690
71,"ITA","BMC",477,"Damiano Caruso",4,538,678
72,"ITA","TBM",98,"Giovanni Visconti",6,730,670
72,"ITA","ANS",3713,"Davide Ballerini",1,80,670
74,"COL","QST",3922,"Alvaro Hodeg",1,0,662
75,"ESP","MOV",3131,"Marc Soler",4,472,660
76,"ESP","MOV",1139,"Mikel Landa",22,1210,655
77,"GER","LTS",16,"André Greipel",26,1601,651
78,"DEN","SUN",3388,"Søren Kragh Andersen",4,496,644
79,"AUS","MTS",2811,"Caleb Ewan",8,677,635
80,"SUI","BMC",3159,"Stefan Küng",6,694,630
81,"COL","QST",3239,"Fernando Gaviria",34,1942,629
82,"NED","TLJ",2697,"Danny van Poppel",4,152,627
83,"DEN","TFS",3209,"Mads Pedersen",6,502,615
84,"BEL","LTS",1262,"Jens Debusschere",4,320,605
85,"FRA","WGG",3603,"Guillaume Martin",2,315,600
85,"FRA","COF",3421,"Hugo Hofstetter",1,85,600
87,"NZL","BMC",3349,"Patrick Bevin",1,85,593
88,"BEL","WGG",3276,"Timothy Dupont",4,410,590
88,"ITA","TBM",250,"Enrico Gasparotto",1,0,590
90,"BEL","LTS",379,"Jelle Vanendert",1,145,587
91,"ESP","EUS",2732,"Eduard Prades",1,110,585
92,"ITA","UAD",923,"Diego Ulissi",18,1155,560
93,"ITA","NIP",1379,"Marco Canola",6,611,545
94,"FRA","FDJ",949,"Arthur Vichot",4,410,540
95,"NED","COC",3271,"Mathieu van der Poel",2,190,525
95,"ESP","AST",1310,"Pello Bilbao",1,105,525
97,"ESP","NIP",1054,"Juan Jose Lobato",2,270,520
98,"AUS","BMC",815,"Richie Porte",18,747,518
99,"AUT","BOH",3369,"Felix Großschartner",1,160,511
100,"POR","UAD",76,"Rui Costa",8,751,510
100,"COL","EFD",3126,"Daniel Martinez",2,270,510
102,"LUX","BMC",1248,"Jempy Drucker",12,1025,505
103,"FRA","QST",2867,"Florian Senechal",2,270,500
103,"ITA","ANS",420,"Manuel Belletti",1,20,500
105,"NED","TLJ",3181,"Timo Roosen",2,310,498
106,"BEL","VWC",2803,"Sean De Bie",1,10,495
107,"ITA","TFS",1161,"Giacomo Nizzolo",10,80,492
108,"SUI","ALM",2807,"Silvan Dillier",8,745,490
108,"ITA","WGG",1265,"Andrea Pasqualon",4,430,490
108,"FRA","FDJ",3758,"Valentin Madouas",1,0,490
111,"FRA","COF",884,"Julien Simon",4,495,480
112,"FRA","FDJ",157,"Anthony Roux",1,152,465
113,"NED","SKY",2771,"Dylan van Baarle",6,425,460
114,"NED","SKY",812,"Wout Poels",14,834,443
115,"ESP","SKY",1263,"David De La Cruz",4,440,440
116,"KAZ","AST",2683,"Alexey Lutsenko",4,483,430
116,"BEL","WGG",3307,"Xandro Meurisse",2,300,430
118,"SLO","CCC",3277,"Jan Tratnik",1,188,429
119,"GER","SUN",3317,"Maximilian Walscheid",2,217,428
120,"USA","BMC",929,"Tejay van Garderen",6,672,427
121,"RSA","MTS",638,"Daryl Impey",4,115,422
122,"FRA","TDE",3403,"Lilian Calmejane",6,602,420
122,"COL","ANS",3801,"Ivan Ramiro Sosa",1,0,420
124,"NED","TLJ",3428,"Antwan Tolhoek",1,120,416
125,"DEN","AST",2756,"Magnus Cort Nielsen",4,382,415
125,"RUS","AST",986,"Sergey Chernetskiy",2,268,415
127,"DEN","ABB",3611,"Martin Toft Madsen",2,340,410
128,"BEL","LTS",520,"Thomas De Gendt",2,250,408
129,"GBR","BOH",660,"Peter Kennaugh",2,55,406
130,"ITA","EFD",752,"Sacha Modolo",6,705,405
130,"ESP","TBM",642,"Gorka Izagirre",4,500,405
132,"AUS","MTS",747,"Cameron Meyer",1,0,400
133,"BEL","BMC",154,"Jürgen Roelandts",4,245,392
134,"EST","ICA",3598,"Mihkel Raim",1,70,391
135,"ITA","BMC",1057,"Alessandro De Marchi",1,40,390
136,"BEL","VCC",1272,"Jonas Van Genechten",1,80,385
137,"ITA","AST",3767,"Riccardo Minali",1,80,380
138,"BEL","ICA",263,"Ben Hermans",4,286,375
139,"SUI","MTS",73,"Michael Albasini",18,1325,374
140,"AUS","TKA",1391,"Nathan Haas",2,220,373
141,"FRA","ALM",2725,"Alexis Vuillermoz",14,985,370
141,"AUS","MTS",3417,"Robert Power",1,95,370
