	Country 	UCI Team 	UCI Cat 	Rider 	Born 	Price  ↓ 	Prev 	Score 	
70. 	ITA 	INS 	WT 	Filippo Ganna 	1996 	8 	791 	0 	[+]
71. 	ITA 	UAD 	WT 	Davide Formolo 	1992 	8 	777 	0 	[+]
72. 	ITA 	TFS 	WT 	Giulio Ciccone 	1994 	8 	735 	0 	[+]
73. 	NED 	TJV 	WT 	Steven Kruijswijk 	1987 	8 	725 	0 	[+]
74. 	FRA 	GFC 	WT 	Marc Sarreau 	1993 	8 	720 	0 	[+]
75. 	FRA 	DQT 	WT 	Florian Senechal 	1993 	8 	715 	0 	[+]
76. 	BEL 	LTS 	WT 	Jasper De Buyst 	1993 	8 	710 	0 	[+]
77. 	BEL 	EF1 	WT 	Sep Vanmarcke 	1988 	8 	710 	0 	[+]
78. 	COL 	DQT 	WT 	Alvaro Hodeg 	1996 	8 	709 	0 	[+]
79. 	ITA 	EF1 	WT 	Alberto Bettiol 	1993 	8 	705 	0 	[+]
80. 	SUI 	SUN 	WT 	Marc Hirschi 	1998 	8 	695 	0 	[+]
81. 	COL 	INS 	WT 	Ivan Ramiro Sosa 	1997 	8 	655 	0 	[+]
82. 	IRL 	ISN 	WT 	Daniel Martin 	1986 	8 	630 	0 	[+]
83. 	DEN 	NTT 	WT 	Michael Valgren 	1992 	8 	620 	0 	[+]
84. 	NED 	TBM 	WT 	Wout Poels 	1987 	8 	438 	0 	[+]
85. 	NED 	TDE 	PROF 	Niki Terpstra 	1984 	8 	435 	0 	[+]
86. 	COL 	EF1 	WT 	Rigoberto Uran 	1987 	8 	434 	0 	[+]
87. 	FRA 	COF 	WT 	Guillaume Martin 	1993 	6 	695 	0 	[+]
88. 	ITA 	ALM 	WT 	Andrea Vendrame 	1994 	6 	685 	0 	[+]
89. 	FRA 	ALM 	WT 	Benoit Cosnefroy 	1995 	6 	675 	0 	[+]
90. 	AUS 	EF1 	WT 	Simon Clarke 	1986 	6 	665 	0 	[+]
91. 	BEL 	EF1 	WT 	Jens Keukeleire 	1988 	6 	665 	0 	[+]
92. 	AUT 	BOH 	WT 	Felix Großschartner 	1993 	6 	662 	0 	[+]
93. 	ITA 	MTS 	WT 	Edoardo Affini 	1996 	6 	655 	0 	[+]
94. 	POR 	UAD 	WT 	Rui Costa 	1986 	6 	650 	0 	[+]
95. 	AUT 	BOH 	WT 	Patrick Konrad 	1991 	6 	650 	0 	[+]
96. 	GBR 	INS 	WT 	Christopher Lawless 	1995 	6 	637 	0 	[+]
97. 	FRA 	VCB 	PROF 	Bryan Coquard 	1992 	6 	635 	0 	[+]
98. 	NED 	SUN 	WT 	Cees Bol 	1995 	6 	633 	0 	[+]
99. 	FRA 	PCB 	PROF 	Warren Barguil 	1991 	6 	630 	0 	[+]
100. 	NOR 	EF1 	WT 	Kristoffer Halvorsen 	1996 	6 	630 	0 	[+]
101. 	ESP 	AST 	WT 	Ion Izagirre 	1989 	6 	620 	0 	[+]
102. 	GER 	NTT 	WT 	Maximilian Walscheid 	1993 	6 	612 	0 	[+]
103. 	GER 	LTS 	WT 	John Degenkolb 	1989 	6 	609 	0 	[+]
104. 	NED 	TJV 	WT 	Jos van Emden 	1985 	6 	607 	0 	[+]
105. 	ITA 	NTT 	WT 	Giacomo Nizzolo 	1989 	6 	605 	0 	[+]
106. 	GBR 	DQT 	WT 	James Knox 	1995 	6 	568 	0 	[+]
107. 	DEN 	DQT 	WT 	Michael Mørkøv 	1985 	6 	558 	0 	[+]
108. 	GBR 	INS 	WT 	Tao Geoghegan Hart 	1995 	6 	540 	0 	[+]
109. 	BEL 	NTT 	WT 	Victor Campenaerts 	1991 	6 	520 	0 	[+]
110. 	FRA 	ALM 	WT 	Pierre Latour 	1993 	6 	475 	0 	[+]
111. 	COL 	EF1 	WT 	Daniel Martinez 	1996 	6 	429 	0 	[+]
112. 	NZL 	TJV 	WT 	George Bennett 	1990 	6 	310 	0 	[+]
113. 	ESP 	TBM 	WT 	Ivan Garcia Cortina 	1995 	4 	495 	0 	[+]
114. 	FRA 	COF 	WT 	Christophe Laporte 	1992 	4 	495 	0 	[+]
115. 	NED 	SUN 	WT 	Wilco Kelderman 	1991 	4 	493 	0 	[+]
116. 	FRA 	ISN 	WT 	Hugo Hofstetter 	1994 	4 	485 	0 	[+]
117. 	LAT 	TFS 	WT 	Toms Skujins 	1991 	4 	485 	0 	[+]
118. 	NOR 	LTS 	WT 	Carl Fredrik Hagen 	1991 	4 	483 	0 	[+]
119. 	GBR 	ISN 	WT 	Alex Dowsett 	1988 	4 	479 	0 	[+]
120. 	FRA 	ALM 	WT 	Nans Peters 	1994 	4 	460 	0 	[+]
121. 	FRA 	TDE 	PROF 	Anthony Turgis 	1994 	4 	460 	0 	[+]
122. 	BEL 	ISN 	WT 	Tom Van Asbroeck 	1990 	4 	458 	0 	[+]
123. 	ITA 	CCC 	WT 	Fausto Masnada 	1993 	4 	455 	0 	[+]
124. 	BEL 	WVA 	PROF 	Baptiste Planckaert 	1988 	4 	455 	0 	[+]
125. 	BEL 	TJV 	WT 	Laurens De Plus 	1995 	4 	450 	0 	[+]
126. 	FRA 	GFC 	WT 	Valentin Madouas 	1996 	4 	450 	0 	[+]
127. 	BEL 	ISN 	WT 	Ben Hermans 	1986 	4 	448 	0 	[+]
128. 	ESP 	MTS 	WT 	Mikel Nieve 	1984 	4 	445 	0 	[+]
129. 	RUS 	CCC 	WT 	Ilnur Zakarin 	1989 	4 	439 	0 	[+]
130. 	BEL 	COR 	PROF 	Dries De Bondt 	1991 	4 	435 	0 	[+]
131. 	BEL 	COR 	PROF 	Tim Merlier 	1992 	4 	435 	0 	[+]
132. 	GBR 	EF1 	WT 	Hugh Carthy 	1994 	4 	434 	0 	[+]
133. 	SLO 	MTS 	WT 	Luka Mezgec 	1988 	4 	428 	0 	[+]
134. 	NOR 	NTT 	WT 	Edvald Boasson Hagen 	1987 	4 	408 	0 	[+]
135. 	FRA 	TDE 	PROF 	Lilian Calmejane 	1992 	4 	400 	0 	[+]
136. 	ESP 	AST 	WT 	Gorka Izagirre 	1987 	4 	400 	0 	[+]
137. 	BEL 	LTS 	WT 	Thomas De Gendt 	1986 	4 	393 	0 	[+]
138. 	ITA 	MOV 	WT 	David Villella 	1991 	4 	385 	0 	[+]
139. 	ITA 	COR 	PROF 	Kristian Sbaragli 	1990 	4 	375 	0 	[+]
140. 	BEL 	CWG 	PROF 	Timothy Dupont 	1987 	4 	370 	0 	[+]
141. 	BEL 	TFS 	WT 	Edward Theuns 	1991 	4 	365 	0 	[+]
142. 	FRA 	DQT 	WT 	Remi Cavagna 	1995 	4 	298 	0 	[+]
143. 	COL 	MTS 	WT 	Esteban Chaves 	1990 	4 	250 	0 	[+]
144. 	NED 	INS 	WT 	Dylan van Baarle 	1992 	4 	242 	0 	[+]
145. 	ITA 	NTT 	WT 	Domenico Pozzovivo 	1982 	4 	205 	0 	[+]
146. 	DEN 	EF1 	WT 	Magnus Cort Nielsen 	1993 	4 	200 	0 	[+]
147. 	DEN 	UAD 	WT 	Mikkel Bjerg 	1998 	4 	182 	0 	[+]
148. 	NED 	SUN 	WT 	Sam Oomen 	1995 	4 	142 	0 	[+]
149. 	DEN 	SUN 	WT 	Søren Kragh Andersen 	1994 	4 	121 	0 	[+]
150. 	LAT 	ISN 	WT 	Krists Neilands 	1994 	2 	360 	0 	[+]
151. 	USA 	EF1 	WT 	Tejay van Garderen 	1988 	2 	358 	0 	[+]
152. 	NED 	TJV 	WT 	Timo Roosen 	1993 	2 	355 	0 	[+]
153. 	ITA 	PCB 	PROF 	Diego Rosa 	1989 	2 	353 	0 	[+]
154. 	RSA 	MTS 	WT 	Daryl Impey 	1984 	2 	350 	0 	[+]
155. 	FRA 	GFC 	WT 	Rudy Molard 	1989 	2 	350 	0 	[+]
156. 	NED 	EF1 	WT 	Sebastian Langeveld 	1985 	2 	346 	0 	[+]
157. 	ITA 	ISN 	WT 	Davide Cimolai 	1989 	2 	340 	0 	[+]
158. 	IRL 	INS 	WT 	Eddie Dunbar 	1996 	2 	339 	0 	[+]
159. 	BLR 	UAD 	WT 	Aliaksandr Riabushenko 	1995 	2 	337 	0 	[+]
160. 	NED 	CWG 	PROF 	Danny van Poppel 	1993 	2 	325 	0 	[+]
161. 	ITA 	CWG 	PROF 	Andrea Pasqualon 	1988 	2 	320 	0 	[+]
162. 	RUS 	AST 	WT 	Alexander Vlasov 	1996 	2 	320 	0 	[+]
163. 	ITA 	COF 	WT 	Simone Consonni 	1994 	2 	315 	0 	[+]
164. 	AUS 	MTS 	WT 	Lucas Hamilton 	1996 	2 	313 	0 	[+]
165. 	NED 	TJV 	WT 	Antwan Tolhoek 	1994 	2 	310 	0 	[+]
166. 	DEN 	TJV 	WT 	Jonas Vingegaard Rasmussen 	1996 	2 	308 	0 	[+]
167. 	ITA 	UAD 	WT 	Valerio Conti 	1993 	2 	305 	0 	[+]
168. 	ESP 	AST 	WT 	Luis Leon Sanchez 	1983 	2 	305 	0 	[+]
