"Rank","Country","UCI Team","Rider ID","Rider Name","Price","Score 2009","Score 2010"
108,"USA","RSH",27,"Levi Leipheimer",16,583,270
108,"ESP","QST",103,"Carlos Barredo",4,250,270
108,"ITA","BMC",860,"Mauro Santambrogio",1,0,270
111,"BEL","LAN",113,"Bert De Waele",4,180,250
111,"NED","VAC",920,"Bobbie Traksel",1,0,250
113,"ESP","GCE",149,"Ruben Plaza",4,285,245
113,"ESP","EUS",119,"Koldo Fernandez",4,280,245
113,"COL","COF",230,"Leonardo Duque",2,60,245
113,"BEL","TSV",447,"Kris Boeckmans",1,0,245
117,"COL","GCE",373,"Rigoberto Uran",2,125,240
118,"NZL","THR",344,"Hayden Roulston",2,75,236
119,"FRA","QST",148,"Jérôme Pineau",4,275,235
119,"CAN","GRM",164,"Svein Tuft",4,150,235
119,"BEL","TSV",520,"Thomas De Gendt",1,0,235
122,"FRA","SAU",211,"Jérôme Coppel",2,70,230
122,"USA","GRM",214,"Tom Danielson",2,10,230
122,"NOR","BMC",682,"Alexander Kristoff",1,0,230
125,"FRA","BBO",106,"William Bonnet",4,210,225
125,"FRA","ALM",268,"Sebastien Hinault",2,30,225
127,"GER","SAX",100,"Jens! Voigt",6,279,221
128,"FRA","QST",31,"Sylvain Chavanel",14,818,220
128,"BEL","OLO",154,"Jürgen Roelandts",4,120,220
128,"NZL","GRM",218,"Julian Dean",2,20,220
128,"NED","CTT",190,"Theo Bos",2,0,220
128,"FRA","RLM",974,"Cédric Pineau",1,0,220
133,"USA","THR",929,"Tejay van Garderen",1,0,211
134,"NED","RAB",83,"Sebastian Langeveld",6,310,210
134,"ITA","CTT",398,"Davide Appollonio",1,0,210
134,"GBR","SKY",913,"Geraint Thomas",1,0,210
137,"FRA","ALM",576,"John Gadret",1,0,205
138,"ITA","LAM",246,"Angelo Furlan",2,80,202
139,"BLR","FDJ",133,"Yauheni Hutarovich",4,345,200
139,"LTU","CTT",138,"Ignatas Konovalovas",4,305,200
139,"ITA","FLM",156,"Enrico Rossi",4,160,200
139,"ITA","DER",239,"Roberto Ferrari",2,10,200
139,"ITA","CSF",420,"Manuel Belletti",1,0,200
139,"NED","UHC",1011,"Marc de Maar",1,0,200
139,"ESP","EUS",639,"Beñat Intxausti",1,0,200
139,"HUN","ARH",1003,"Peter Kusztor",1,0,200
139,"UKR","ISE",1007,"Vitaliy Popkov",1,0,200
139,"LAT","THR",865,"Aleksejs Saramotins",1,0,200
139,"GRE","SPT",1039,"Ioannis Tamouridis",1,0,200
139,"KGZ","GNT",1034,"Eugen Wacker",1,0,200
151,"ESP","RSH",175,"Haimar Zubeldia",4,271,190
151,"FRA","FDJ",109,"Sandy Casar",4,260,190
151,"AUS","THR",262,"Adam Hansen",2,10,190
154,"SWE","SKY",34,"Thomas Löfkvist",14,846,185
154,"GER","MRM",568,"Robert Förster",1,0,185
154,"NED","RAB",928,"Jos van Emden",1,0,185
157,"BEL","RSH",161,"Gert Steegmans",4,0,180
157,"NED","SKS",943,"Tom Veelers",1,0,180
159,"UKR","AST",259,"Andriy Grivko",2,122,177
160,"ITA","LAM",79,"Francesco Gavazzi",6,290,175
160,"ITA","LIQ",260,"Jacopo Guarnieri",2,110,175
160,"BEL","TSV",702,"Klaas Lodewyck",1,0,175
160,"FRA","ALM",831,"Anthony Ravard",1,0,175
164,"FRA","FDJ",140,"Christophe Le Mevel",4,235,170
164,"GER","MRM",137,"Christian Knees",4,210,170
164,"BEL","SKT",233,"Niko Eeckhout",2,125,170
164,"FRA","ALM",302,"Lloyd Mondory",2,120,170
164,"GER","ISD",1044,"Patrik Sinkewitz",1,0,170
169,"GER","MRM",60,"Gerald Ciolek",8,450,165
169,"BEL","THR",89,"Maxime Monfort",6,252,165
171,"ESP","XAC",293,"Serafin Martinez",2,20,160
171,"NED","VAC",307,"Jens Mouris",2,20,160
171,"FRA","BBO",205,"Anthony Charteau",2,5,160
171,"GBR","OLO",443,"Adam Blythe",1,0,160
175,"NED","VAC",41,"Johnny Hoogerland",12,570,155
175,"FRA","ALM",339,"Christophe Riblon",2,100,155
175,"GER","THR",357,"Marcel Sieberg",2,25,155
178,"SVK","THR",945,"Martin Velits",1,0,151
179,"BEL","OLO",131,"Leif Hoste",4,280,150
179,"DEN","SAX",92,"Chris Anker Sørensen",6,217,150
179,"SUI","AND",105,"Rubens Bertogliati",4,150,150
179,"ITA","VAC",108,"Matteo Carrara",4,120,150
179,"ESP","XAC",249,"David Garcia",2,60,150
179,"KAZ","AST",184,"Assan Bazayev",2,50,150
179,"BEL","RSH",343,"Sébastien Rosseler",2,40,150
179,"FRA","BBO",203,"Steve Chainel",2,20,150
179,"ESP","ACA",305,"Javier Moreno",2,20,150
179,"IRI","TPT",980,"Hossein Askari",1,0,150
