	Country 	UCI Team 	UCI Cat 	Rider 	Born 	Price 	Prev 	Score ↓ 	
1. 	ESP 	KAT 	WT 	Joaquim Rodriguez 	1979 	26 	2334 	3837 	[+]
2. 	GBR 	SKY 	WT 	Bradley Wiggins 	1980 	18 	1486 	2630 	[+]
3. 	SVK 	LIQ 	WT 	Peter Sagan 	1990 	20 	1382 	2556 	[+]
4. 	BEL 	OPQ 	WT 	Tom Boonen 	1980 	12 	580 	2007 	[+]
5. 	ESP 	MOV 	WT 	Alejandro Valverde 	1980 	22 	0 	1931 	[+]
6. 	GER 	ARG 	PROF 	John Degenkolb 	1989 	10 	477 	1930 	[+]
7. 	GBR 	SKY 	WT 	Chris Froome 	1985 	10 	670 	1612 	[+]
8. 	ESP 	STB 	WT 	Alberto Contador 	1982 	30 	2654 	1560 	[+]
9. 	NOR 	SKY 	WT 	Edvald Boasson Hagen 	1987 	20 	1339 	1535 	[+]
10. 	ITA 	LIQ 	WT 	Vincenzo Nibali 	1984 	18 	1342 	1530 	[+]
11. 	GER 	OPQ 	WT 	Tony Martin 	1985 	18 	1104 	1515 	[+]
12. 	FRA 	EUC 	PROF 	Thomas Voeckler 	1979 	14 	1280 	1455 	[+]
13. 	USA 	BMC 	WT 	Tejay van Garderen 	1988 	8 	222 	1365 	[+]
14. 	COL 	SKY 	WT 	Rigoberto Uran 	1987 	12 	887 	1332 	[+]
15. 	POR 	MOV 	WT 	Rui Costa 	1986 	6 	440 	1332 	[+]
16. 	GBR 	SKY 	WT 	Mark Cavendish 	1985 	22 	1588 	1330 	[+]
17. 	SUI 	RNT 	WT 	Fabian Cancellara 	1981 	26 	2091 	1305 	[+]
18. 	ESP 	EUS 	WT 	Samuel Sanchez 	1978 	18 	1495 	1291 	[+]
19. 	NED 	OPQ 	WT 	Niki Terpstra 	1984 	4 	345 	1260 	[+]
20. 	USA 	BMC 	WT 	Taylor Phinney 	1990 	6 	348 	1243 	[+]
21. 	CAN 	GRS 	WT 	Ryder Hesjedal 	1980 	6 	396 	1231 	[+]
22. 	BEL 	BMC 	WT 	Greg Van Avermaet 	1985 	14 	1230 	1200 	[+]
23. 	COL 	SKY 	WT 	Sergio Henao 	1987 	2 	120 	1177 	[+]
24. 	GER 	LTB 	WT 	André Greipel 	1982 	14 	1120 	1175 	[+]
25. 	ITA 	BMC 	WT 	Alessandro Ballan 	1979 	10 	730 	1152 	[+]
26. 	ESP 	KAT 	WT 	Oscar Freire 	1976 	6 	458 	1150 	[+]
27. 	BEL 	BMC 	WT 	Philippe Gilbert 	1982 	36 	3986 	1084 	[+]
28. 	FRA 	OPQ 	WT 	Sylvain Chavanel 	1979 	10 	645 	1055 	[+]
29. 	NED 	RAB 	WT 	Lars Boom 	1985 	10 	505 	1047 	[+]
30. 	AUS 	OGE 	WT 	Simon Gerrans 	1980 	10 	750 	1045 	[+]
31. 	ITA 	KAT 	WT 	Luca Paolini 	1977 	4 	290 	985 	[+]
32. 	ITA 	LAM 	WT 	Damiano Cunego 	1981 	14 	996 	925 	[+]
33. 	ESP 	KAT 	WT 	Daniel Moreno 	1981 	12 	965 	900 	[+]
34. 	NED 	RAB 	WT 	Bauke Mollema 	1986 	16 	1250 	877 	[+]
35. 	SWE 	AST 	WT 	Fredrik Kessiakoff 	1980 	2 	194 	875 	[+]
36. 	ITA 	COG 	PROF 	Domenico Pozzovivo 	1982 	6 	490 	842 	[+]
37. 	AUS 	SKY 	WT 	Michael Rogers 	1979 	2 	0 	840 	[+]
38. 	NED 	VCD 	WT 	Lieuwe Westra 	1982 	6 	375 	836 	[+]
39. 	AUS 	OGE 	WT 	Matthew Goss 	1986 	14 	848 	831 	[+]
40. 	AUS 	BMC 	WT 	Cadel Evans 	1977 	26 	1823 	825 	[+]
41. 	ESP 	RAB 	WT 	Luis Leon Sanchez 	1983 	6 	215 	821 	[+]
42. 	CZE 	AST 	WT 	Roman Kreuziger 	1986 	10 	775 	791 	[+]
43. 	ITA 	LAM 	WT 	Michele Scarponi 	1979 	18 	1490 	765 	[+]
44. 	BEL 	LTB 	WT 	Jürgen Roelandts 	1985 	12 	855 	731 	[+]
45. 	USA 	GRS 	WT 	Andrew Talansky 	1988 	4 	120 	712 	[+]
46. 	SUI 	OGE 	WT 	Michael Albasini 	1980 	6 	434 	706 	[+]
47. 	ITA 	FAR 	PROF 	Filippo Pozzato 	1981 	8 	275 	700 	[+]
48. 	FRA 	FDJ 	WT 	Arnaud Démare 	1991 	2 	0 	700 	[+]
49. 	ITA 	LIQ 	WT 	Moreno Moser 	1990 	1 	0 	699 	[+]
50. 	NED 	RAB 	WT 	Robert Gesink 	1986 	16 	839 	692 	[+]
51. 	BEL 	LTB 	WT 	Jurgen Van Den Broeck 	1983 	6 	450 	665 	[+]
52. 	KAZ 	AST 	WT 	Maxim Iglinskiy 	1981 	2 	0 	665 	[+]
53. 	ESP 	SKY 	WT 	Juan Antonio Flecha 	1977 	6 	422 	657 	[+]
54. 	BEL 	VCD 	WT 	Thomas De Gendt 	1986 	2 	168 	636 	[+]
55. 	ITA 	ALM 	WT 	Rinaldo Nocentini 	1977 	4 	270 	635 	[+]
56. 	DEN 	RNT 	WT 	Jakob Fuglsang 	1985 	8 	645 	630 	[+]
57. 	ITA 	RNT 	WT 	Giacomo Nizzolo 	1989 	6 	390 	630 	[+]
58. 	ITA 	RNT 	WT 	Daniele Bennati 	1980 	12 	911 	615 	[+]
59. 	IRL 	GRS 	WT 	Daniel Martin 	1986 	16 	1076 	610 	[+]
60. 	GER 	ARG 	PROF 	Marcel Kittel 	1988 	14 	923 	606 	[+]
61. 	CZE 	APP 	PROF 	Jan Barta 	1984 	2 	30 	605 	[+]
62. 	ITA 	VCD 	WT 	Marco Marcato 	1984 	12 	940 	595 	[+]
63. 	ITA 	AST 	WT 	Enrico Gasparotto 	1982 	2 	84 	592 	[+]
64. 	NOR 	KAT 	WT 	Alexander Kristoff 	1987 	4 	290 	587 	[+]
65. 	COL 	MOV 	WT 	Nairo Quintana 	1990 	1 	60 	586 	[+]
66. 	SLO 	AST 	WT 	Janez Brajkovic 	1983 	4 	350 	584 	[+]
67. 	AUS 	GRS 	WT 	Heinrich Haussler 	1984 	8 	250 	580 	[+]
68. 	BEL 	LTB 	WT 	Jelle Vanendert 	1985 	6 	475 	560 	[+]
69. 	ITA 	MOV 	WT 	Giovanni Visconti 	1983 	12 	915 	545 	[+]
70. 	FRA 	EUC 	PROF 	Sebastien Turgot 	1984 	1 	70 	530 	[+]
71. 	BEL 	GRS 	WT 	Sep Vanmarcke 	1988 	4 	185 	510 	[+]
72. 	NED 	RAB 	WT 	Theo Bos 	1983 	6 	310 	500 	[+]
73. 	NOR 	SKY 	WT 	Lars Nordhaug 	1984 	1 	50 	500 	[+]
74. 	ITA 	BMC 	WT 	Marco Pinotti 	1976 	4 	303 	483 	[+]
75. 	BLR 	MOV 	WT 	Vasil Kiryienka 	1981 	4 	285 	475 	[+]
76. 	ITA 	BMC 	WT 	Mauro Santambrogio 	1984 	2 	140 	470 	[+]
77. 	CAN 	OGE 	WT 	Svein Tuft 	1977 	4 	310 	447 	[+]
78. 	ITA 	LAM 	WT 	Diego Ulissi 	1989 	2 	175 	440 	[+]
79. 	AUS 	OGE 	WT 	Allan Davis 	1980 	2 	0 	440 	[+]
80. 	ITA 	AND 	PROF 	Franco Pellizotti 	1978 	2 	0 	440 	[+]
81. 	ITA 	FAR 	PROF 	Matteo Rabottini 	1987 	1 	25 	435 	[+]
82. 	RUS 	VCD 	WT 	Sergey Lagutin 	1981 	2 	200 	425 	[+]
83. 	COL 	AND 	PROF 	Miguel Rubiano 	1984 	1 	50 	425 	[+]
84. 	COL 	ASA 	PROF 	Carlos Betancur 	1989 	6 	395 	415 	[+]
85. 	AUS 	RAB 	WT 	Mark Renshaw 	1982 	2 	62 	410 	[+]
86. 	UKR 	AST 	WT 	Andriy Grivko 	1983 	1 	50 	408 	[+]
87. 	POL 	VCD 	WT 	Tomasz Marczynski 	1984 	2 	200 	406 	[+]
88. 	FRA 	FDJ 	WT 	Thibaut Pinot 	1990 	2 	175 	405 	[+]
89. 	ESP 	MOV 	WT 	Jonathan Castroviejo 	1987 	2 	136 	401 	[+]
90. 	ESP 	EUS 	WT 	Igor Anton 	1983 	8 	575 	400 	[+]
91. 	FRA 	FDJ 	WT 	Nacer Bouhanni 	1990 	1 	0 	400 	[+]
92. 	SLO 	AST 	WT 	Borut Bozic 	1980 	6 	465 	395 	[+]
93. 	FRA 	EUC 	PROF 	Pierre Rolland 	1986 	6 	310 	395 	[+]
