	Country 	UCI Team 	UCI Cat 	Rider 	Born 	Price 	Prev 	Score ↓ 	
69. 	GBR 	SKY 	WT 	Ben Swift 	1987 	6 	339 	720 	[+]
70. 	GBR 	SKY 	WT 	Geraint Thomas 	1986 	20 	969 	716 	[+]
71. 	DEN 	AST 	WT 	Jakob Fuglsang 	1985 	6 	467 	713 	[+]
72. 	BEL 	IAM 	WT 	Oliver Naesen 	1990 	2 	108 	710 	[+]
73. 	BEL 	LTS 	WT 	Tiesj Benoot 	1994 	22 	1095 	705 	[+]
74. 	ITA 	STH 	PROF 	Filippo Pozzato 	1981 	2 	80 	690 	[+]
75. 	NED 	SKY 	WT 	Danny van Poppel 	1993 	12 	770 	687 	[+]
76. 	ESP 	BMC 	WT 	Samuel Sanchez 	1978 	4 	300 	684 	[+]
77. 	FRA 	ALM 	WT 	Pierre Latour 	1993 	8 	370 	671 	[+]
78. 	BEL 	LTS 	WT 	Jürgen Roelandts 	1985 	12 	830 	666 	[+]
79. 	NED 	TLJ 	WT 	Wilco Kelderman 	1991 	10 	696 	649 	[+]
80. 	ITA 	WGG 	PROF 	Enrico Gasparotto 	1982 	2 	205 	645 	[+]
81. 	NED 	SKY 	WT 	Wout Poels 	1987 	12 	771 	640 	[+]
82. 	CZE 	TNK 	WT 	Roman Kreuziger 	1986 	8 	599 	640 	[+]
83. 	FRA 	ALM 	WT 	Samuel Dumoulin 	1980 	4 	310 	640 	[+]
84. 	NED 	TLJ 	WT 	Steven Kruijswijk 	1987 	6 	555 	635 	[+]
85. 	POR 	MOV 	WT 	Nelson Oliveira 	1989 	4 	405 	620 	[+]
86. 	POL 	TNK 	WT 	Maciej Bodnar 	1985 	4 	250 	620 	[+]
87. 	BEL 	EQS 	WT 	Gianni Meersman 	1985 	6 	229 	620 	[+]
88. 	ITA 	AND 	PROF 	Francesco Gavazzi 	1984 	2 	135 	615 	[+]
89. 	SLO 	TLJ 	WT 	Primož Roglič 	1989 	2 	190 	602 	[+]
90. 	ITA 	AST 	WT 	Diego Rosa 	1989 	8 	649 	600 	[+]
91. 	DEN 	OGE 	WT 	Magnus Cort Nielsen 	1993 	1 	80 	581 	[+]
92. 	COL 	AST 	WT 	Miguel Angel Lopez 	1994 	4 	248 	576 	[+]
93. 	ESP 	MOV 	WT 	Daniel Moreno 	1981 	22 	1418 	573 	[+]
94. 	RSA 	LAM 	WT 	Louis Meintjes 	1992 	8 	527 	560 	[+]
95. 	GBR 	DDD 	WT 	Stephen Cummings 	1981 	4 	312 	553 	[+]
96. 	BEL 	TFS 	WT 	Jasper Stuyven 	1992 	1 	100 	550 	[+]
97. 	BEL 	IAM 	WT 	Dries Devenyns 	1983 	4 	60 	550 	[+]
98. 	SUI 	OGE 	WT 	Michael Albasini 	1980 	6 	408 	545 	[+]
99. 	POL 	SKY 	WT 	Michal Kwiatkowski 	1990 	22 	1195 	540 	[+]
100. 	ITA 	CPT 	WT 	David Villella 	1991 	2 	70 	535 	[+]
101. 	LUX 	BMC 	WT 	Jempy Drucker 	1986 	8 	471 	519 	[+]
102. 	FRA 	FDJ 	WT 	Anthony Roux 	1987 	2 	200 	512 	[+]
103. 	COL 	IAM 	WT 	Jarlinson Pantano 	1988 	2 	164 	510 	[+]
104. 	ITA 	TNK 	WT 	Daniele Bennati 	1980 	2 	124 	510 	[+]
105. 	BEL 	ALM 	WT 	Jan Bakelants 	1986 	18 	995 	505 	[+]
106. 	GBR 	SKY 	WT 	Ian Stannard 	1987 	6 	293 	505 	[+]
107. 	NED 	TLJ 	WT 	Jos van Emden 	1985 	2 	166 	502 	[+]
108. 	ITA 	TFS 	WT 	Fabio Felline 	1990 	18 	1015 	500 	[+]
109. 	GER 	TGA 	WT 	Nikias Arndt 	1991 	4 	235 	495 	[+]
110. 	NOR 	IAM 	WT 	Sondre Holst Enger 	1993 	1 	70 	495 	[+]
111. 	SUI 	FDJ 	WT 	Sebastien Reichenbach 	1989 	2 	135 	487 	[+]
112. 	AUS 	OGE 	WT 	Caleb Ewan 	1994 	6 	222 	485 	[+]
113. 	BEL 	BMC 	WT 	Ben Hermans 	1986 	8 	592 	484 	[+]
114. 	BLR 	SKY 	WT 	Vasil Kiryienka 	1981 	10 	620 	480 	[+]
115. 	BEL 	EQS 	WT 	Yves Lampaert 	1991 	14 	820 	474 	[+]
116. 	IRL 	BOA 	PROF 	Sam Bennett 	1990 	4 	320 	465 	[+]
117. 	DEN 	TNK 	WT 	Michael Valgren 	1992 	2 	4 	465 	[+]
118. 	ESP 	CJR 	PROF 	Sergio Pardilla 	1984 	1 	50 	455 	[+]
119. 	GBR 	SKY 	WT 	Luke Rowe 	1990 	4 	328 	445 	[+]
120. 	ESP 	EQS 	WT 	David De La Cruz 	1989 	1 	46 	444 	[+]
121. 	ITA 	CPT 	WT 	Davide Formolo 	1992 	4 	220 	440 	[+]
122. 	BEL 	WGG 	PROF 	Kenny Dehaes 	1984 	1 	20 	440 	[+]
123. 	AUS 	IAM 	WT 	Heinrich Haussler 	1984 	2 	180 	435 	[+]
124. 	ITA 	BAR 	PROF 	Nicola Ruffoni 	1990 	1 	20 	435 	[+]
125. 	BEL 	VGS 	CONT 	Xandro Meurisse 	1992 	1 	10 	430 	[+]
126. 	BEL 	IAM 	WT 	Jonas Van Genechten 	1986 	6 	265 	420 	[+]
