"Rank","Country","UCI Team","Rider ID","Rider Name","Price","Score 2017","Score 2018"
1,"NED","MTS",1812,"Annemiek van Vleuten",52,4462,3817
2,"NED","DLT",1862,"Anna van der Breggen",52,3499,3604
3,"AUS","MTS",1601,"Amanda Spratt",14,1093,3085
4,"RSA","CBT",1678,"Ashleigh Moolman",25,2005,2760
5,"NED","WAD",1814,"Marianne Vos",30,2140,2724
6,"NED","SUN",1876,"Ellen van Dijk",36,2799,2374
7,"NED","DLT",1843,"Amy Pieters",12,968,2184
8,"USA","SUN",1537,"Coryn Rivera",32,2370,2090
9,"POL","CSR",2750,"Katarzyna Niewiadoma",42,2499,2022
10,"ITA","WHT",1639,"Elisa Longo Borghini",42,2424,1839
11,"ITA","ALE",1720,"Marta Bastianelli",10,837,1725
12,"USA","DLT",1896,"Megan Guarnier",30,1237,1587
13,"NED","DLT",1704,"Chantal van den Broek-Blaak",25,1804,1585
14,"NED","SUN",1706,"Lucinda Brand",25,1739,1534
15,"BEL","MTS",1930,"Jolien D\'hoore",30,2092,1528
16,"NED","WHT",1705,"Kirsten Wild",18,683,1337
17,"POL","MOV",1726,"Malgorzata Jasinska",2,38,1321
18,"GER","WHT",1875,"Lisa Brennauer",20,1431,1319
19,"NED","PHV",4081,"Lorena Wiebes",1,0,1286
20,"LUX","DLT",1635,"Christine Majerus",18,1473,1285
21,"DEN","CBT",3036,"Cecilie Uttrup Ludwig",20,1510,1265
22,"SLO","BTC",2768,"Eugenia Bujak",14,1354,1249
23,"CUB","ASA",3820,"Arlenis Sierra",20,1125,1215
24,"ITA","VAL",3857,"Elisa Balsamo",2,175,1191
25,"AUS","ALE",1869,"Chloe Hosking",16,1201,1168
26,"ITA","CSR",1715,"Elena Cecchini",20,1543,1069
27,"ITA","VAL",1569,"Maria Confalonieri",12,855,1066
28,"SWE","WHT",1878,"Emilia Fahlin",8,453,1052
29,"USA","CSR",2954,"Alexis Ryan",2,178,1032
30,"FIN","CBT",2006,"Lotta Henttala (Lepistö)",30,2025,1015
31,"CAN","SUN",1789,"Leah Kirchman",12,962,994
