	Country 	Trade Team 	Rider 	Born 	Price 	Prev 	Score ↓ 	
1. 	NED 	RBW 	Marianne Vos 	1987 	65 	7297 	5432 	[+]
2. 	GER 	GEW 	Judith Arndt 	1976 	40 	4788 	3500 	[+]
3. 	SWE 	HPU 	Emma Johansson 	1983 	50 	5624 	3290 	[+]
4. 	USA 	SLU 	Evelyn Stevens 	1983 	10 	763 	2960 	[+]
5. 	GER 	SLU 	Trixi Worrack 	1981 	6 	707 	2847 	[+]
6. 	NZL 	GEW 	Linda Melanie Villumsen 	1985 	8 	810 	2055 	[+]
7. 	GER 	SLU 	Ina Teutenberg 	1974 	31 	3144 	1926 	[+]
8. 	NED 	SLT 	Anna van der Breggen 	1990 	1 	18 	1911 	[+]
9. 	ITA 	HPU 	Elisa Longo Borghini 	1991 	4 	424 	1815 	[+]
10. 	NED 	SLU 	Ellen van Dijk 	1987 	8 	700 	1797 	[+]
11. 	NED 	LNL 	Kirsten Wild 	1982 	25 	1987 	1787 	[+]
12. 	GBR 	LNL 	Emma Pooley 	1982 	40 	3218 	1741 	[+]
13. 	NED 	RBW 	Annemiek van Vleuten 	1982 	31 	3265 	1656 	[+]
14. 	GBR 	LNL 	Elizabeth Deignan 	1988 	16 	1685 	1615 	[+]
15. 	ITA 	DPZ 	Giorgia Bronzini 	1983 	20 	2135 	1515 	[+]
16. 	NED 	SKI 	Adrie Visser 	1983 	8 	914 	1418 	[+]
17. 	BEL 	RBW 	Liesbet De Vocht 	1979 	12 	1280 	1395 	[+]
18. 	USA 	SLU 	Amber Neben 	1975 	16 	1681 	1370 	[+]
19. 	USA 	LNL 	Shelley Olds 	1980 	10 	960 	1335 	[+]
20. 	BLR 	BPK 	Alena Amialyusik 	1989 	1 	0 	1325 	[+]
21. 	ITA 	MCG 	Monia Baccaille 	1984 	14 	1420 	1241 	[+]
22. 	RUS 	RUS 	Olga Zabelinskaya 	1980 	6 	745 	1225 	[+]
23. 	USA 	TIB 	Megan Guarnier 	1985 	4 	593 	1127 	[+]
24. 	USA 	EXG 	Kristin Armstrong 	1973 	8 	75 	1104 	[+]
25. 	AUS 	SLU 	Chloe Hosking 	1990 	8 	841 	1090 	[+]
26. 	NED 	RBW 	Iris Slappendel 	1985 	6 	530 	1060 	[+]
27. 	GBR 	LNL 	Sharon Laws 	1974 	4 	285 	1030 	[+]
28. 	FRA 	RBW 	Pauline Ferrand-Prevot 	1992 	6 	690 	1022 	[+]
29. 	CAN 	SLU 	Clara Hughes 	1972 	8 	890 	958 	[+]
30. 	GER 	RUS 	Hanka Kupfernagel 	1974 	2 	270 	945 	[+]
31. 	NED 	GEW 	Loes Gunnewijk 	1980 	6 	630 	920 	[+]
32. 	CAN 	OPK 	Joelle Numainville 	1987 	8 	870 	910 	[+]
33. 	USA 	OPK 	Carmen Small 	1980 	1 	70 	890 	[+]
34. 	RSA 	LBL 	Ashleigh Moolman 	1985 	8 	790 	875 	[+]
35. 	AUS 	GEW 	Tiffany Cromwell 	1988 	4 	30 	815 	[+]
36. 	NED 	LNL 	Lucinda Brand 	1989 	6 	632 	785 	[+]
37. 	ITA 	BPK 	Noemi Cantele 	1981 	12 	1225 	782 	[+]
38. 	AUS 	GEW 	Melissa Hoskins 	1991 	2 	80 	756 	[+]
39. 	AUS 	FHT 	Rochelle Gilmore 	1981 	8 	885 	755 	[+]
40. 	FRA 	FUT 	Audrey Cordon-Ragot 	1989 	1 	55 	695 	[+]
41. 	UKR 	DPZ 	Alona Andruk 	1987 	4 	415 	675 	[+]
42. 	RUS 	XYZ 	Larisa Pankova 	1991 	2 	390 	664 	[+]
43. 	POL 	MCG 	Malgorzata Jasinska 	1984 	2 	155 	657 	[+]
44. 	LUX 	GSD 	Christine Majerus 	1987 	12 	1300 	645 	[+]
45. 	AUS 	GEW 	Shara Marche (Gillow) 	1987 	12 	1220 	640 	[+]
46. 	FRA 	BRE 	Aude Biannic 	1991 	4 	530 	615 	[+]
47. 	ITA 	MCG 	Elena Cecchini 	1992 	2 	250 	595 	[+]
48. 	NED 	DLT 	Martine Bras 	1978 	18 	1859 	590 	[+]
49. 	EST 	MIC 	Grete Treier 	1977 	6 	636 	560 	[+]
50. 	GER 	RBW 	Sarah Düster 	1982 	4 	420 	547 	[+]
51. 	GER 	SLU 	Charlotte Becker 	1983 	8 	954 	546 	[+]
52. 	ITA 	MCG 	Tatiana Guderzo 	1984 	10 	970 	540 	[+]
53. 	ITA 	GCV 	Rossella Ratto 	1993 	1 	0 	530 	[+]
54. 	BEL 	LNL 	Jessie Daams 	1990 	1 	0 	525 	[+]
55. 	GBR 	XYZ 	Wendy Houvenaghel 	1974 	2 	180 	510 	[+]
56. 	RUS 	RBW 	Tatiana Antoshina 	1982 	18 	1886 	474 	[+]
57. 	NED 	SKI 	Amy Pieters 	1991 	6 	692 	468 	[+]
58. 	ITA 	MCG 	Marta Tagliaferro 	1989 	1 	0 	461 	[+]
