	Country 	UCI Team 	UCI Cat 	Rider 	Born 	Price 	Prev 	Score ↓ 	
1. 	BEL 	OLO 	WT 	Philippe Gilbert 	1982 	28 	2145 	3986 	[+]
2. 	ESP 	SBS 	WT 	Alberto Contador 	1982 	28 	1976 	2654 	[+]
3. 	ESP 	KAT 	WT 	Joaquim Rodriguez 	1979 	24 	1840 	2334 	[+]
4. 	SUI 	LEO 	WT 	Fabian Cancellara 	1981 	24 	1736 	2091 	[+]
5. 	AUS 	BMC 	WT 	Cadel Evans 	1977 	22 	1660 	1823 	[+]
6. 	GBR 	THR 	WT 	Mark Cavendish 	1985 	24 	1541 	1588 	[+]
7. 	ESP 	EUS 	WT 	Samuel Sanchez 	1978 	20 	1265 	1495 	[+]
8. 	ITA 	LAM 	WT 	Michele Scarponi 	1979 	16 	1293 	1490 	[+]
9. 	GBR 	SKY 	WT 	Bradley Wiggins 	1980 	10 	350 	1486 	[+]
10. 	SVK 	LIQ 	WT 	Peter Sagan 	1990 	10 	697 	1382 	[+]
11. 	LUX 	LEO 	WT 	Fränk Schleck 	1980 	16 	1224 	1344 	[+]
12. 	ITA 	LIQ 	WT 	Vincenzo Nibali 	1984 	26 	2221 	1342 	[+]
13. 	NOR 	SKY 	WT 	Edvald Boasson Hagen 	1987 	16 	800 	1339 	[+]
14. 	FRA 	EUC 	PROF 	Thomas Voeckler 	1979 	8 	555 	1280 	[+]
15. 	NED 	RAB 	WT 	Bauke Mollema 	1986 	6 	375 	1250 	[+]
16. 	BEL 	BMC 	WT 	Greg Van Avermaet 	1985 	8 	460 	1230 	[+]
17. 	BEL 	VCD 	WT 	Björn Leukemans 	1977 	10 	760 	1220 	[+]
18. 	ESP 	GEO 	PROF 	Juan Jose Cobo 	1981 	2 	0 	1145 	[+]
19. 	GER 	OLO 	WT 	André Greipel 	1982 	16 	747 	1120 	[+]
20. 	LUX 	LEO 	WT 	Andy Schleck 	1985 	24 	1364 	1109 	[+]
21. 	GER 	THR 	WT 	Tony Martin 	1985 	16 	903 	1104 	[+]
22. 	IRL 	GRM 	WT 	Daniel Martin 	1986 	10 	490 	1076 	[+]
23. 	USA 	GRM 	WT 	Tyler Farrar 	1984 	26 	1900 	1024 	[+]
24. 	ITA 	LAM 	WT 	Damiano Cunego 	1981 	10 	550 	996 	[+]
25. 	ESP 	MOV 	WT 	Jose Joaquin Rojas 	1985 	8 	495 	985 	[+]
26. 	ESP 	KAT 	WT 	Daniel Moreno 	1981 	2 	30 	965 	[+]
27. 	ITA 	VCD 	WT 	Marco Marcato 	1984 	10 	680 	940 	[+]
28. 	USA 	RSH 	WT 	Levi Leipheimer 	1973 	6 	270 	935 	[+]
29. 	GER 	SKS 	PROF 	Marcel Kittel 	1988 	1 	0 	923 	[+]
30. 	ITA 	FAR 	PROF 	Giovanni Visconti 	1983 	12 	370 	915 	[+]
31. 	ITA 	LEO 	WT 	Daniele Bennati 	1980 	8 	651 	911 	[+]
32. 	COL 	SKY 	WT 	Rigoberto Uran 	1987 	6 	240 	887 	[+]
33. 	BEL 	OLO 	WT 	Jürgen Roelandts 	1985 	4 	220 	855 	[+]
34. 	AUS 	THR 	WT 	Matthew Goss 	1986 	12 	573 	848 	[+]
35. 	NED 	RAB 	WT 	Robert Gesink 	1986 	18 	1273 	839 	[+]
36. 	NOR 	GRM 	WT 	Thor Hushovd 	1978 	22 	1442 	826 	[+]
37. 	ITA 	LIQ 	WT 	Ivan Basso 	1977 	16 	956 	800 	[+]
38. 	CZE 	AST 	WT 	Roman Kreuziger 	1986 	14 	650 	775 	[+]
39. 	RUS 	GEO 	PROF 	Denis Menchov 	1978 	12 	810 	760 	[+]
40. 	GER 	RSH 	WT 	Andreas Klöden 	1975 	6 	285 	757 	[+]
41. 	AUS 	SKY 	WT 	Simon Gerrans 	1980 	4 	80 	750 	[+]
42. 	ITA 	BMC 	WT 	Alessandro Ballan 	1979 	6 	120 	730 	[+]
43. 	KAZ 	AST 	WT 	Alexandre Vinokourov 	1973 	18 	1482 	712 	[+]
44. 	ITA 	LAM 	WT 	Alessandro Petacchi 	1974 	16 	1042 	710 	[+]
45. 	BEL 	SBS 	WT 	Nick Nuyens 	1980 	4 	40 	700 	[+]
46. 	GBR 	SKY 	WT 	Chris Froome 	1985 	1 	0 	670 	[+]
47. 	EST 	COF 	PROF 	Rein Taaramäe 	1987 	4 	100 	660 	[+]
48. 	DEN 	LEO 	WT 	Jakob Fuglsang 	1985 	10 	650 	645 	[+]
49. 	FRA 	VCD 	WT 	Romain Feillu 	1984 	6 	515 	645 	[+]
50. 	FRA 	QST 	WT 	Sylvain Chavanel 	1979 	4 	220 	645 	[+]
51. 	RUS 	KAT 	WT 	Denis Galimzyanov 	1987 	2 	115 	620 	[+]
52. 	AUS 	SKY 	WT 	Mathew Hayman 	1978 	2 	130 	590 	[+]
53. 	BLR 	FDJ 	PROF 	Yauheni Hutarovich 	1983 	4 	200 	585 	[+]
54. 	BEL 	QST 	WT 	Tom Boonen 	1980 	20 	1065 	580 	[+]
55. 	ESP 	EUS 	WT 	Igor Anton 	1983 	12 	1025 	575 	[+]
56. 	NED 	VCD 	WT 	Wout Poels 	1987 	2 	85 	550 	[+]
57. 	USA 	RSH 	WT 	Chris Horner 	1971 	10 	895 	535 	[+]
58. 	VEN 	AND 	PROF 	Jose Rujano 	1982 	2 	125 	515 	[+]
59. 	GBR 	GRM 	WT 	David Millar 	1977 	8 	550 	513 	[+]
60. 	SLO 	LAM 	WT 	Grega Bole 	1985 	6 	417 	510 	[+]
61. 	FRA 	ALM 	WT 	John Gadret 	1979 	2 	205 	510 	[+]
62. 	NED 	RAB 	WT 	Lars Boom 	1985 	6 	288 	505 	[+]
63. 	ITA 	COG 	PROF 	Domenico Pozzovivo 	1982 	8 	515 	490 	[+]
64. 	NED 	RAB 	WT 	Steven Kruijswijk 	1987 	2 	80 	490 	[+]
65. 	GBR 	SKY 	WT 	Geraint Thomas 	1986 	4 	210 	487 	[+]
