	Country 	Trade Team 	Rider 	Born 	Price 	Prev 	Score ↓ 	
1. 	NED 	ORS 	Annemiek van Vleuten 	1982 	35 	2388 	4462 	[+]
2. 	NED 	DLT 	Anna van der Breggen 	1990 	55 	2952 	3499 	[+]
3. 	NED 	SUN 	Ellen van Dijk 	1987 	28 	2215 	2799 	[+]
4. 	POL 	WM3 	Katarzyna Niewiadoma 	1994 	40 	3082 	2499 	[+]
5. 	ITA 	WHT 	Elisa Longo Borghini 	1991 	40 	3050 	2424 	[+]
6. 	USA 	SUN 	Coryn Rivera 	1992 	8 	687 	2370 	[+]
7. 	NED 	WM3 	Marianne Vos 	1987 	55 	2422 	2140 	[+]
8. 	BEL 	WHT 	Jolien D'hoore 	1990 	25 	870 	2092 	[+]
9. 	FIN 	CBT 	Lotta Henttala (Lepistö) 	1989 	24 	1817 	2025 	[+]
10. 	RSA 	CBT 	Ashleigh Moolman 	1985 	20 	1340 	2005 	[+]
11. 	GBR 	DLT 	Elizabeth Deignan 	1988 	55 	2505 	1921 	[+]
12. 	NED 	DLT 	Chantal van den Broek-Blaak 	1989 	35 	2472 	1804 	[+]
13. 	NED 	SUN 	Lucinda Brand 	1989 	20 	1345 	1739 	[+]
14. 	ITA 	LPR 	Elena Cecchini 	1992 	20 	1546 	1543 	[+]
15. 	DEN 	CBT 	Cecilie Uttrup Ludwig 	1995 	4 	406 	1510 	[+]
16. 	LUX 	DLT 	Christine Majerus 	1987 	18 	1342 	1473 	[+]
17. 	GER 	LPR 	Lisa Brennauer 	1988 	25 	1515 	1431 	[+]
18. 	AUS 	FDJ 	Shara Marche (Gillow) 	1987 	6 	447 	1413 	[+]
19. 	AUS 	ORS 	Katrin Garfoot 	1981 	16 	1147 	1384 	[+]
20. 	SLO 	BTC 	Eugenia Bujak 	1989 	14 	1160 	1354 	[+]
21. 	USA 	DLT 	Megan Guarnier 	1985 	55 	3788 	1237 	[+]
22. 	AUS 	ALE 	Chloe Hosking 	1990 	20 	1576 	1201 	[+]
23. 	DEN 	DLT 	Amelie Dideriksen 	1996 	20 	458 	1199 	[+]
24. 	ESP 	CPC 	Sheyla Gutierrez 	1994 	4 	390 	1143 	[+]
25. 	CUB 	ASA 	Arlenis Sierra 	1992 	1 	0 	1125 	[+]
26. 	AUS 	ORS 	Amanda Spratt 	1987 	12 	845 	1093 	[+]
27. 	NED 	DLT 	Amy Pieters 	1991 	20 	1309 	968 	[+]
28. 	CAN 	SUN 	Leah Kirchman 	1990 	30 	2315 	962 	[+]
