	Country 	UCI Team 	UCI Cat 	Rider 	Born 	Price 	Prev 	Score ↓ 	
1. 	SVK 	CAN 	WT 	Peter Sagan 	1990 	32 	2556 	3580 	[+]
2. 	ITA 	AST 	WT 	Vincenzo Nibali 	1984 	24 	1530 	3003 	[+]
3. 	ESP 	MOV 	WT 	Alejandro Valverde 	1980 	30 	1931 	2808 	[+]
4. 	GBR 	SKY 	WT 	Chris Froome 	1985 	24 	1612 	2541 	[+]
5. 	ESP 	KAT 	WT 	Joaquim Rodriguez 	1979 	34 	3837 	2520 	[+]
6. 	SUI 	RLT 	WT 	Fabian Cancellara 	1981 	26 	1305 	2155 	[+]
7. 	GBR 	OPQ 	WT 	Mark Cavendish 	1985 	26 	1330 	1906 	[+]
8. 	POR 	MOV 	WT 	Rui Costa 	1986 	22 	1332 	1760 	[+]
9. 	COL 	MOV 	WT 	Nairo Quintana 	1990 	14 	586 	1650 	[+]
10. 	FRA 	OPQ 	WT 	Sylvain Chavanel 	1979 	16 	1055 	1585 	[+]
11. 	ESP 	KAT 	WT 	Daniel Moreno 	1981 	14 	900 	1450 	[+]
12. 	USA 	RLT 	WT 	Chris Horner 	1971 	4 	393 	1440 	[+]
13. 	BEL 	BMC 	WT 	Greg Van Avermaet 	1985 	18 	1200 	1390 	[+]
14. 	IRL 	GRS 	WT 	Daniel Martin 	1986 	12 	610 	1363 	[+]
15. 	NED 	BLA 	WT 	Bauke Mollema 	1986 	14 	877 	1290 	[+]
16. 	GER 	LTB 	WT 	André Greipel 	1982 	20 	1175 	1284 	[+]
17. 	AUS 	SKY 	WT 	Richie Porte 	1985 	6 	317 	1279 	[+]
18. 	GER 	ARG 	WT 	John Degenkolb 	1989 	26 	1930 	1235 	[+]
19. 	NOR 	KAT 	WT 	Alexander Kristoff 	1987 	12 	587 	1210 	[+]
20. 	COL 	ALM 	WT 	Carlos Betancur 	1989 	10 	415 	1180 	[+]
21. 	GER 	OPQ 	WT 	Tony Martin 	1985 	24 	1515 	1175 	[+]
22. 	GER 	ARG 	WT 	Marcel Kittel 	1988 	12 	606 	1150 	[+]
23. 	POL 	OPQ 	WT 	Michal Kwiatkowski 	1990 	8 	359 	1084 	[+]
24. 	POL 	TST 	WT 	Rafal Majka 	1989 	2 	55 	1053 	[+]
25. 	ITA 	LAM 	WT 	Diego Ulissi 	1989 	8 	440 	1016 	[+]
26. 	ITA 	LAM 	WT 	Michele Scarponi 	1979 	8 	765 	1002 	[+]
27. 	BEL 	BMC 	WT 	Philippe Gilbert 	1982 	32 	1084 	995 	[+]
28. 	CZE 	TST 	WT 	Roman Kreuziger 	1986 	14 	791 	974 	[+]
29. 	IRL 	TST 	WT 	Nicholas Roche 	1984 	6 	310 	969 	[+]
30. 	FRA 	FDJ 	WT 	Arnaud Démare 	1991 	14 	700 	922 	[+]
31. 	COL 	SKY 	WT 	Sergio Henao 	1987 	18 	1177 	908 	[+]
32. 	ESP 	TST 	WT 	Alberto Contador 	1982 	32 	1560 	904 	[+]
33. 	USA 	BMC 	WT 	Tejay van Garderen 	1988 	26 	1365 	875 	[+]
34. 	NED 	OPQ 	WT 	Niki Terpstra 	1984 	20 	1260 	818 	[+]
35. 	ITA 	ALM 	WT 	Domenico Pozzovivo 	1982 	14 	842 	790 	[+]
36. 	AUS 	IAM 	PROF 	Heinrich Haussler 	1984 	10 	580 	790 	[+]
37. 	ITA 	KAT 	WT 	Luca Paolini 	1977 	14 	985 	779 	[+]
38. 	GBR 	SKY 	WT 	Bradley Wiggins 	1980 	30 	2630 	764 	[+]
39. 	USA 	GRS 	WT 	Andrew Talansky 	1988 	12 	712 	752 	[+]
40. 	ITA 	CAN 	WT 	Elia Viviani 	1989 	10 	270 	711 	[+]
41. 	SLO 	KAT 	WT 	Simon Spilak 	1986 	4 	207 	695 	[+]
42. 	ITA 	AST 	WT 	Enrico Gasparotto 	1982 	10 	592 	690 	[+]
43. 	COL 	SKY 	WT 	Rigoberto Uran 	1987 	22 	1332 	685 	[+]
44. 	BEL 	RLT 	WT 	Jan Bakelants 	1986 	1 	45 	680 	[+]
45. 	CZE 	OPQ 	WT 	Zdeněk Štybar 	1985 	8 	295 	670 	[+]
46. 	ESP 	MOV 	WT 	Beñat Intxausti 	1986 	6 	251 	660 	[+]
47. 	BEL 	LTB 	WT 	Jürgen Roelandts 	1985 	14 	731 	647 	[+]
48. 	EST 	AST 	WT 	Tanel Kangert 	1987 	6 	299 	647 	[+]
49. 	NED 	BLA 	WT 	Robert Gesink 	1986 	12 	692 	630 	[+]
50. 	GER 	MTN 	PROF 	Gerald Ciolek 	1986 	2 	120 	630 	[+]
51. 	AUS 	BMC 	WT 	Cadel Evans 	1977 	18 	825 	627 	[+]
52. 	ITA 	LAM 	WT 	Filippo Pozzato 	1981 	12 	700 	610 	[+]
53. 	ITA 	VIN 	PROF 	Mauro Santambrogio 	1984 	8 	470 	607 	[+]
54. 	FRA 	FDJ 	WT 	Thibaut Pinot 	1990 	14 	405 	605 	[+]
55. 	ESP 	EUS 	WT 	Samuel Sanchez 	1978 	20 	1291 	595 	[+]
56. 	USA 	GRS 	WT 	Tyler Farrar 	1984 	12 	383 	595 	[+]
57. 	FRA 	FDJ 	WT 	Nacer Bouhanni 	1990 	10 	400 	571 	[+]
58. 	DEN 	AST 	WT 	Jakob Fuglsang 	1985 	12 	630 	556 	[+]
59. 	USA 	BMC 	WT 	Taylor Phinney 	1990 	22 	1243 	552 	[+]
60. 	ITA 	AND 	PROF 	Franco Pellizotti 	1978 	8 	440 	550 	[+]
61. 	POL 	LAM 	WT 	Przemyslaw Niemiec 	1980 	2 	90 	547 	[+]
62. 	SUI 	BMC 	WT 	Mathias Frank 	1986 	1 	38 	540 	[+]
63. 	NED 	BLA 	WT 	Wilco Kelderman 	1991 	8 	230 	536 	[+]
64. 	NOR 	BMC 	WT 	Thor Hushovd 	1978 	14 	60 	512 	[+]
65. 	NED 	BLA 	WT 	Lars Boom 	1985 	18 	1047 	502 	[+]
