	Country 	UCI Team 	UCI Cat 	Rider 	Born 	Price 	Prev 	Score ↓ 	
1. 	ITA 	LIQ 	WT 	Vincenzo Nibali 	1984 	16 	599 	2221 	[+]
2. 	BEL 	OLO 	WT 	Philippe Gilbert 	1982 	28 	1990 	2145 	[+]
3. 	ESP 	AST 	WT 	Alberto Contador 	1982 	32 	2222 	1976 	[+]
4. 	USA 	GRM 	WT 	Tyler Farrar 	1984 	20 	1090 	1900 	[+]
5. 	ESP 	KAT 	WT 	Joaquim Rodriguez 	1979 	14 	871 	1840 	[+]
6. 	SUI 	SAX 	WT 	Fabian Cancellara 	1981 	28 	1727 	1736 	[+]
7. 	AUS 	BMC 	PROF 	Cadel Evans 	1977 	28 	1908 	1660 	[+]
8. 	GBR 	THR 	WT 	Mark Cavendish 	1985 	28 	1688 	1541 	[+]
9. 	KAZ 	AST 	WT 	Alexandre Vinokourov 	1973 	14 	485 	1482 	[+]
10. 	NOR 	CTT 	PROF 	Thor Hushovd 	1978 	24 	1560 	1442 	[+]
11. 	LUX 	SAX 	WT 	Andy Schleck 	1985 	24 	1467 	1364 	[+]
12. 	ITA 	AND 	PROF 	Michele Scarponi 	1979 	8 	456 	1293 	[+]
13. 	NED 	RAB 	WT 	Robert Gesink 	1986 	20 	1235 	1273 	[+]
14. 	ESP 	EUS 	WT 	Samuel Sanchez 	1978 	24 	1730 	1265 	[+]
15. 	LUX 	SAX 	WT 	Fränk Schleck 	1980 	14 	632 	1224 	[+]
16. 	ESP 	GCE 	WT 	Luis Leon Sanchez 	1983 	12 	688 	1130 	[+]
17. 	BEL 	QST 	WT 	Tom Boonen 	1980 	22 	1525 	1065 	[+]
18. 	ESP 	RAB 	WT 	Oscar Freire 	1976 	10 	540 	1046 	[+]
19. 	ITA 	LAM 	WT 	Alessandro Petacchi 	1974 	14 	804 	1042 	[+]
20. 	ESP 	EUS 	WT 	Igor Anton 	1983 	2 	10 	1025 	[+]
21. 	AUS 	SAX 	WT 	Richie Porte 	1985 	1 	0 	1010 	[+]
22. 	ITA 	KAT 	WT 	Filippo Pozzato 	1981 	18 	1215 	994 	[+]
23. 	CAN 	GRM 	WT 	Ryder Hesjedal 	1980 	8 	420 	990 	[+]
24. 	ITA 	LIQ 	WT 	Ivan Basso 	1977 	16 	975 	956 	[+]
25. 	GER 	THR 	WT 	Tony Martin 	1985 	16 	910 	903 	[+]
26. 	USA 	RSH 	WT 	Chris Horner 	1971 	4 	87 	895 	[+]
27. 	ESP 	XAC 	PROF 	Ezequiel Mosquera 	1975 	8 	510 	845 	[+]
28. 	DEN 	SAX 	WT 	Matti Breschel 	1984 	16 	870 	840 	[+]
29. 	RUS 	KAT 	WT 	Alexandr Kolobnev 	1981 	18 	1045 	815 	[+]
30. 	RUS 	RAB 	WT 	Denis Menchov 	1978 	22 	1610 	810 	[+]
31. 	NOR 	SKY 	WT 	Edvald Boasson Hagen 	1987 	24 	1181 	800 	[+]
32. 	ESP 	SKY 	WT 	Juan Antonio Flecha 	1977 	8 	505 	785 	[+]
33. 	AUS 	THR 	WT 	Michael Rogers 	1979 	8 	328 	762 	[+]
34. 	BEL 	VAC 	PROF 	Björn Leukemans 	1977 	4 	230 	760 	[+]
35. 	GER 	THR 	WT 	André Greipel 	1982 	18 	1055 	747 	[+]
36. 	SVK 	LIQ 	WT 	Peter Sagan 	1990 	1 	0 	697 	[+]
37. 	ESP 	CTT 	PROF 	Carlos Sastre 		12 	630 	687 	[+]
38. 	KAZ 	AST 	WT 	Maxim Iglinskiy 	1981 	6 	345 	685 	[+]
39. 	ITA 	VAC 	PROF 	Marco Marcato 	1984 	2 	75 	680 	[+]
40. 	ITA 	LIQ 	WT 	Daniele Bennati 	1980 	12 	620 	651 	[+]
41. 	CZE 	LIQ 	WT 	Roman Kreuziger 	1986 	18 	1090 	650 	[+]
42. 	DEN 	SAX 	WT 	Jakob Fuglsang 	1985 	12 	490 	650 	[+]
43. 	SLO 	RSH 	WT 	Janez Brajkovic 	1983 	8 	402 	644 	[+]
44. 	AUS 	AST 	WT 	Allan Davis 	1980 	10 	660 	580 	[+]
45. 	AUS 	THR 	WT 	Matthew Goss 	1986 	4 	240 	573 	[+]
46. 	ESP 	GCE 	WT 	David Arroyo 	1980 	4 	195 	570 	[+]
47. 	FRA 	BBO 	PROF 	Thomas Voeckler 	1979 	6 	215 	555 	[+]
48. 	SVK 	THR 	WT 	Peter Velits 	1985 	8 	330 	551 	[+]
49. 	ITA 	LAM 	WT 	Damiano Cunego 	1981 	20 	1205 	550 	[+]
50. 	GBR 	GRM 	WT 	David Millar 	1977 	4 	180 	550 	[+]
51. 	ITA 	THR 	WT 	Marco Pinotti 	1976 	8 	494 	543 	[+]
52. 	IRL 	ALM 	WT 	Nicholas Roche 	1984 	4 	170 	540 	[+]
53. 	ESP 	CTT 	PROF 	Xavier Tondo 	1978 	6 	180 	532 	[+]
54. 	ITA 	CSF 	PROF 	Domenico Pozzovivo 	1982 	2 	100 	515 	[+]
55. 	FRA 	VAC 	PROF 	Romain Feillu 	1984 	6 	45 	515 	[+]
56. 	ITA 	ASA 	PROF 	Luca Paolini 	1977 	10 	375 	500 	[+]
57. 	ESP 	GCE 	WT 	Jose Joaquin Rojas 	1985 	4 	175 	495 	[+]
58. 	IRL 	GRM 	WT 	Daniel Martin 	1986 	12 	445 	490 	[+]
59. 	ITA 	VAC 	PROF 	Riccardo Riccò 	1983 	12 	0 	490 	[+]
60. 	GER 	RAB 	WT 	Paul Martens 	1983 	4 	240 	485 	[+]
61. 	ITA 	ASA 	PROF 	Stefano Garzelli 	1973 	14 	900 	480 	[+]
62. 	AUT 	THR 	WT 	Bernhard Eisel 	1981 	4 	245 	470 	[+]
63. 	BEL 	OLO 	WT 	Greg Van Avermaet 	1985 	6 	290 	460 	[+]
64. 	BEL 	OLO 	WT 	Jurgen Van Den Broeck 	1983 	4 	205 	455 	[+]
65. 	SWE 	SAX 	WT 	Gustav Erik Larsson 	1980 	8 	327 	444 	[+]
66. 	NED 	RAB 	WT 	Koos Moerenhout 		4 	175 	435 	[+]
67. 	GBR 	CTT 	PROF 	Roger Hammond 	1974 	4 	155 	425 	[+]
68. 	SLO 	LAM 	WT 	Grega Bole 	1985 	2 	30 	417 	[+]
69. 	FRA 	COF 	PROF 	David Moncoutié 	1975 	6 	410 	415 	[+]
70. 	FRA 	FDJ 	WT 	Yoann Offredo 	1986 	2 	50 	410 	[+]
71. 	AUS 	KAT 	WT 	Robbie McEwen 	1972 	6 	70 	395 	[+]
72. 	ESP 	EUS 	WT 	Mikel Nieve 	1984 	1 	0 	390 	[+]
73. 	USA 	BMC 	PROF 	George Hincapie 	1973 	4 	222 	380 	[+]
74. 	NZL 	SKY 	WT 	Gregory Henderson 	1976 	4 	280 	375 	[+]
75. 	NED 	RAB 	WT 	Bauke Mollema 	1986 	2 	0 	375 	[+]
76. 	ITA 	ISD 	PROF 	Giovanni Visconti 	1983 	6 	177 	370 	[+]
