"Rank","Country","UCI Team","Rider ID","Rider Name","Price","Score 2011","Score 2012"
1,"NED","RBW",1814,"Marianne Vos",65,7297,5432
2,"GER","GEW",1608,"Judith Arndt",40,4788,3500
3,"SWE","HPU",1649,"Emma Johansson",50,5624,3290
4,"USA","SLU",1881,"Evelyn Stevens",10,763,2960
5,"GER","SLU",1877,"Trixi Worrack",6,707,2847
6,"NZL","GEW",1610,"Linda Melanie Villumsen",8,810,2055
7,"GER","SLU",1874,"Ina Teutenberg",31,3144,1926
8,"NED","SLT",1862,"Anna van der Breggen",1,18,1911
9,"ITA","HPU",1639,"Elisa Longo Borghini",4,424,1815
10,"NED","SLU",1876,"Ellen van Dijk",8,700,1797
11,"NED","LNL",1705,"Kirsten Wild",25,1987,1787
12,"GBR","LNL",1701,"Emma Pooley",40,3218,1741
13,"NED","RBW",1812,"Annemiek van Vleuten",31,3265,1656
14,"GBR","LNL",1700,"Elizabeth Deignan",16,1685,1615
15,"ITA","DPZ",1522,"Giorgia Bronzini",20,2135,1515
16,"NED","SKI",1842,"Adrie Visser",8,914,1418
17,"BEL","RBW",1809,"Liesbet De Vocht",12,1280,1395
18,"USA","SLU",1880,"Amber Neben",16,1681,1370
19,"USA","LNL",1712,"Shelley Olds",10,960,1335
20,"BLR","BPK",1478,"Alena Amialyusik",1,0,1325
21,"ITA","MCG",1722,"Monia Baccaille",14,1420,1241
22,"RUS","RUS",1837,"Olga Zabelinskaya",6,745,1225
23,"USA","TIB",1896,"Megan Guarnier",4,593,1127
24,"USA","EXG",1542,"Kristin Armstrong",8,75,1104
25,"AUS","SLU",1869,"Chloe Hosking",8,841,1090
26,"NED","RBW",1813,"Iris Slappendel",6,530,1060
27,"GBR","LNL",1703,"Sharon Laws",4,285,1030
28,"FRA","RBW",1810,"Pauline Ferrand-Prevot",6,690,1022
29,"CAN","SLU",1871,"Clara Hughes",8,890,958
30,"GER","RUS",1828,"Hanka Kupfernagel",2,270,945
31,"NED","GEW",1609,"Loes Gunnewijk",6,630,920
32,"CAN","OPK",1788,"Joelle Numainville",8,870,910
33,"USA","OPK",1792,"Carmen Small",1,70,890
34,"RSA","LBL",1678,"Ashleigh Moolman",8,790,875
35,"AUS","GEW",1606,"Tiffany Cromwell",4,30,815
36,"NED","LNL",1706,"Lucinda Brand",6,632,785
37,"ITA","BPK",1486,"Noemi Cantele",12,1225,782
38,"AUS","GEW",1603,"Melissa Hoskins",2,80,756
39,"AUS","FHT",1563,"Rochelle Gilmore",8,885,755
40,"FRA","FUT",1581,"Audrey Cordon-Ragot",1,55,695
41,"UKR","DPZ",1529,"Alona Andruk",4,415,675
42,"RUS","XYZ",2163,"Larisa Pankova",2,390,664
43,"POL","MCG",1726,"Malgorzata Jasinska",2,155,657
44,"LUX","GSD",1635,"Christine Majerus",12,1300,645
45,"AUS","GEW",1605,"Shara Marche (Gillow)",12,1220,640
46,"FRA","BRE",2009,"Aude Biannic",4,530,615
47,"ITA","MCG",1715,"Elena Cecchini",2,250,595
48,"NED","DLT",1500,"Martine Bras",18,1859,590
49,"EST","MIC",1737,"Grete Treier",6,636,560
50,"GER","RBW",1811,"Sarah Düster",4,420,547
51,"GER","SLU",1873,"Charlotte Becker",8,954,546
52,"ITA","MCG",1724,"Tatiana Guderzo",10,970,540
53,"ITA","GCV",1598,"Rossella Ratto",1,0,530
54,"BEL","LNL",1699,"Jessie Daams",1,0,525
55,"GBR","XYZ",2039,"Wendy Houvenaghel",2,180,510
56,"RUS","RBW",1819,"Tatiana Antoshina",18,1886,474
57,"NED","SKI",1843,"Amy Pieters",6,692,468
58,"ITA","MCG",1721,"Marta Tagliaferro",1,0,461
59,"GER","RUS",1830,"Romy Kasper",2,275,455
60,"AUS","NXX",1772,"Rachel Neylan",1,50,435
61,"CAN","OPK",1789,"Leah Kirchman",2,215,425
62,"GER","GEW",1607,"Claudia Lichtenberg-Häusler",8,910,420
63,"USA","NOW",1751,"Alison Powers",1,0,415
64,"BEL","LBL",1676,"Sofie De Vuyst",4,495,390
65,"FRA","FUT",1589,"Pascale Jeuland",2,251,385
66,"NED","LNL",1704,"Chantal van den Broek-Blaak",10,1152,375
67,"ITA","FHT",1566,"Fabiana Luperini",2,325,370
68,"ITA","DPZ",1521,"Giada Borgato",2,95,365
69,"RUS","MIC",1746,"Alexandra Burchenkova",6,738,345
70,"NED","DLT",1501,"Mascha Pijnenborg",2,284,340
71,"ITA","MCG",1720,"Marta Bastianelli",2,90,335
72,"CAN","FUT",1578,"Karol-Ann Canuel",4,566,325
72,"LTU","DPZ",1526,"Inga Cilvinaite",1,0,325
72,"RSA","LBL",1681,"Lise Olivier",1,0,325
75,"AUS","LNL",1698,"Carla Ryan",2,50,320
76,"ITA","BPK",1488,"Simona Frapporti",1,74,310
77,"AUS","XYZ",2296,"Amy Cure",1,0,286
78,"SUI","GSD",1637,"Patricia Schwager",1,0,285
79,"BEL","KLT",1653,"Evelyn Arys",2,205,278
80,"NOR","HPU",1644,"Lise Nöstvold",2,259,275
80,"AUT","XYZ",2305,"Martina Ritter",1,0,275
