"Rank","Country","UCI Team","Rider ID","Rider Name","Price","Score 2012","Score 2013"
1,"SWE","GEW",1649,"Emma Johansson",55,3290,6104
2,"NED","RBW",1814,"Marianne Vos",82,5432,5081
3,"NED","SLU",1876,"Ellen van Dijk",18,1797,4251
4,"NED","SLT",1862,"Anna van der Breggen",20,1911,2755
5,"USA","SLU",1881,"Evelyn Stevens",55,2960,2302
6,"ITA","WHT",1522,"Giorgia Bronzini",16,1515,2080
7,"ITA","HPU",1639,"Elisa Longo Borghini",20,1815,1759
8,"NED","RBW",1812,"Annemiek van Vleuten",55,1656,1728
9,"NED","SKI",1705,"Kirsten Wild",26,1787,1685
10,"GER","SLU",1875,"Lisa Brennauer",2,170,1642
11,"BLR","BPK",1478,"Alena Amialyusik",16,1325,1608
12,"RUS","MCG",1819,"Tatiana Antoshina",12,474,1573
13,"ITA","MCG",1724,"Tatiana Guderzo",10,540,1547
14,"NZL","XYZ",1610,"Linda Melanie Villumsen",1,2055,1483
15,"ITA","HPU",1598,"Rossella Ratto",6,530,1454
16,"USA","TIB",1712,"Shelley Olds",14,1335,1437
17,"AUS","GEW",1605,"Shara Marche (Gillow)",10,640,1395
18,"RSA","LBL",1678,"Ashleigh Moolman",12,875,1340
19,"USA","SLU",1792,"Carmen Small",10,890,1276
20,"NED","RBW",1706,"Lucinda Brand",12,785,1270
21,"GER","TIB",1607,"Claudia Lichtenberg-Häusler",6,420,1160
22,"USA","EXG",2200,"Mara Abbott",8,0,1135
23,"GBR","DLT",1700,"Elizabeth Deignan",20,1615,1126
24,"AUS","GEW",1606,"Tiffany Cromwell",12,815,1110
25,"LUX","SLT",1635,"Christine Majerus",6,645,1070
26,"AUS","HPU",1869,"Chloe Hosking",12,1090,1051
27,"NED","GEW",1609,"Loes Gunnewijk",10,920,980
28,"POL","GKS",2308,"Katarzyna Pawlowska",1,90,970
29,"NED","SKI",1843,"Amy Pieters",6,468,863
30,"GER","SLU",1877,"Trixi Worrack",30,2847,820
