	Country 	Trade Team 	Rider 	Born 	Price 	Prev 	Score ↓ 	
1. 	USA 	DLT 	Megan Guarnier 	1985 	35 	2560 	3788 	[+]
2. 	POL 	RBW 	Katarzyna Niewiadoma 	1994 	30 	1958 	3082 	[+]
3. 	SWE 	WHT 	Emma Johansson 	1983 	50 	3510 	3062 	[+]
4. 	ITA 	WHT 	Elisa Longo Borghini 	1991 	35 	2363 	3050 	[+]
5. 	NED 	RBW 	Anna van der Breggen 	1990 	55 	4696 	2952 	[+]
6. 	GBR 	DLT 	Elizabeth Deignan 	1988 	55 	2706 	2505 	[+]
7. 	NED 	DLT 	Chantal van den Broek-Blaak 	1989 	12 	905 	2472 	[+]
8. 	NED 	RBW 	Marianne Vos 	1987 	60 	120 	2422 	[+]
9. 	NED 	OGE 	Annemiek van Vleuten 	1982 	20 	1561 	2388 	[+]
10. 	CAN 	TLP 	Leah Kirchman 	1990 	8 	545 	2315 	[+]
11. 	NED 	DLT 	Ellen van Dijk 	1987 	20 	1515 	2215 	[+]
12. 	USA 	DLT 	Evelyn Stevens 	1983 	16 	1215 	2115 	[+]
13. 	BLR 	LPR 	Alena Amialyusik 	1989 	25 	2003 	1870 	[+]
14. 	FIN 	CBT 	Lotta Henttala (Lepistö) 	1989 	16 	1630 	1817 	[+]
15. 	AUS 	WHT 	Chloe Hosking 	1990 	12 	1010 	1576 	[+]
16. 	ITA 	LPR 	Elena Cecchini 	1992 	20 	1865 	1546 	[+]
17. 	GER 	LPR 	Lisa Brennauer 	1988 	40 	2703 	1515 	[+]
18. 	USA 	CBT 	Carmen Small 	1980 	4 	385 	1396 	[+]
19. 	NED 	RBW 	Lucinda Brand 	1989 	30 	2612 	1345 	[+]
20. 	LUX 	DLT 	Christine Majerus 	1987 	16 	1576 	1342 	[+]
21. 	RSA 	CBT 	Ashleigh Moolman 	1985 	25 	1925 	1340 	[+]
22. 	NED 	WHT 	Amy Pieters 	1991 	25 	1993 	1309 	[+]
23. 	RUS 	XYZ 	Olga Zabelinskaya 	1980 	2 	0 	1227 	[+]
24. 	ITA 	ALE 	Marta Bastianelli 	1987 	4 	306 	1178 	[+]
