	Country 	Trade Team 	Rider 	Born 	Price 	Prev 	Score ↓ 	
1. 	NED 	MTS 	Annemiek van Vleuten 	1982 	52 	4462 	3817 	[+]
2. 	NED 	DLT 	Anna van der Breggen 	1990 	52 	3499 	3604 	[+]
3. 	AUS 	MTS 	Amanda Spratt 	1987 	14 	1093 	3085 	[+]
4. 	RSA 	CBT 	Ashleigh Moolman 	1985 	25 	2005 	2760 	[+]
5. 	NED 	WAD 	Marianne Vos 	1987 	30 	2140 	2724 	[+]
6. 	NED 	SUN 	Ellen van Dijk 	1987 	36 	2799 	2374 	[+]
7. 	NED 	DLT 	Amy Pieters 	1991 	12 	968 	2184 	[+]
8. 	USA 	SUN 	Coryn Rivera 	1992 	32 	2370 	2090 	[+]
9. 	POL 	CSR 	Katarzyna Niewiadoma 	1994 	42 	2499 	2022 	[+]
10. 	ITA 	WHT 	Elisa Longo Borghini 	1991 	42 	2424 	1839 	[+]
11. 	ITA 	ALE 	Marta Bastianelli 	1987 	10 	837 	1725 	[+]
12. 	USA 	DLT 	Megan Guarnier 	1985 	30 	1237 	1587 	[+]
13. 	NED 	DLT 	Chantal van den Broek-Blaak 	1989 	25 	1804 	1585 	[+]
14. 	NED 	SUN 	Lucinda Brand 	1989 	25 	1739 	1534 	[+]
15. 	BEL 	MTS 	Jolien D'hoore 	1990 	30 	2092 	1528 	[+]
16. 	NED 	WHT 	Kirsten Wild 	1982 	18 	683 	1337 	[+]
17. 	POL 	MOV 	Malgorzata Jasinska 	1984 	2 	38 	1321 	[+]
18. 	GER 	WHT 	Lisa Brennauer 	1988 	20 	1431 	1319 	[+]
19. 	NED 	PHV 	Lorena Wiebes 	1999 	1 	0 	1286 	[+]
20. 	LUX 	DLT 	Christine Majerus 	1987 	18 	1473 	1285 	[+]
21. 	DEN 	CBT 	Cecilie Uttrup Ludwig 	1995 	20 	1510 	1265 	[+]
22. 	SLO 	BTC 	Eugenia Bujak 	1989 	14 	1354 	1249 	[+]
