"Rank","Country","UCI Team","Rider ID","Rider Name","Price","Score 2010","Score 2011"
1,"BEL","OLO",6,"Philippe Gilbert",28,2145,3986
2,"ESP","SBS",1,"Alberto Contador",28,1976,2654
3,"ESP","KAT",36,"Joaquim Rodriguez",24,1840,2334
4,"SUI","LEO",3,"Fabian Cancellara",24,1736,2091
5,"AUS","BMC",5,"Cadel Evans",22,1660,1823
6,"GBR","THR",4,"Mark Cavendish",24,1541,1588
7,"ESP","EUS",9,"Samuel Sanchez",20,1265,1495
8,"ITA","LAM",71,"Michele Scarponi",16,1293,1490
9,"GBR","SKY",30,"Bradley Wiggins",10,350,1486
10,"SVK","LIQ",857,"Peter Sagan",10,697,1382
11,"LUX","LEO",37,"Fränk Schleck",16,1224,1344
12,"ITA","LIQ",29,"Vincenzo Nibali",26,2221,1342
13,"NOR","SKY",7,"Edvald Boasson Hagen",16,800,1339
14,"FRA","EUC",99,"Thomas Voeckler",8,555,1280
15,"NED","RAB",301,"Bauke Mollema",6,375,1250
16,"BEL","BMC",96,"Greg Van Avermaet",8,460,1230
17,"BEL","VCD",143,"Björn Leukemans",10,760,1220
18,"ESP","GEO",61,"Juan Jose Cobo",2,0,1145
19,"GER","OLO",16,"André Greipel",16,747,1120
20,"LUX","LEO",10,"Andy Schleck",24,1364,1109
21,"GER","THR",28,"Tony Martin",16,903,1104
22,"IRL","GRM",43,"Daniel Martin",10,490,1076
23,"USA","GRM",14,"Tyler Farrar",26,1900,1024
24,"ITA","LAM",13,"Damiano Cunego",10,550,996
25,"ESP","MOV",155,"Jose Joaquin Rojas",8,495,985
26,"ESP","KAT",90,"Daniel Moreno",2,30,965
27,"ITA","VCD",292,"Marco Marcato",10,680,940
28,"USA","RSH",27,"Levi Leipheimer",6,270,935
29,"GER","SKS",1186,"Marcel Kittel",1,0,923
30,"ITA","FAR",98,"Giovanni Visconti",12,370,915
31,"ITA","LEO",39,"Daniele Bennati",8,651,911
32,"COL","SKY",373,"Rigoberto Uran",6,240,887
33,"BEL","OLO",154,"Jürgen Roelandts",4,220,855
34,"AUS","THR",122,"Matthew Goss",12,573,848
35,"NED","RAB",15,"Robert Gesink",18,1273,839
36,"NOR","GRM",8,"Thor Hushovd",22,1442,826
37,"ITA","LIQ",24,"Ivan Basso",16,956,800
38,"CZE","AST",19,"Roman Kreuziger",14,650,775
39,"RUS","GEO",12,"Denis Menchov",12,810,760
40,"GER","RSH",51,"Andreas Klöden",6,285,757
41,"AUS","SKY",26,"Simon Gerrans",4,80,750
42,"ITA","BMC",23,"Alessandro Ballan",6,120,730
43,"KAZ","AST",38,"Alexandre Vinokourov",18,1482,712
44,"ITA","LAM",35,"Alessandro Petacchi",16,1042,710
45,"BEL","SBS",52,"Nick Nuyens",4,40,700
