"Rank","Country","UCI Team","Rider ID","Rider Name","Price","Score 2016","Score 2017"
1,"GBR","SKY",245,"Chris Froome",36,2777,3334
2,"BEL","BMC",96,"Greg Van Avermaet",34,2516,2916
3,"SVK","BOH",857,"Peter Sagan",48,4334,2695
4,"NED","SUN",1275,"Tom Dumoulin",24,1600,2565
5,"NOR","KAT",682,"Alexander Kristoff",34,2296,2545
6,"ITA","TBM",29,"Vincenzo Nibali",22,1113,2315
7,"AUS","SUN",972,"Michael Matthews",22,1565,2073
8,"COL","QST",3239,"Fernando Gaviria",22,1178,1942
9,"POL","SKY",1179,"Michal Kwiatkowski",18,540,1875
10,"FRA","FDJ",808,"Thibaut Pinot",16,1012,1852
11,"ITA","SKY",951,"Elia Viviani",10,155,1827
12,"ITA","QST",1385,"Matteo Trentin",14,880,1778
13,"FRA","FDJ",1322,"Arnaud Démare",18,1325,1718
14,"BEL","QST",6,"Philippe Gilbert",12,809,1629
15,"GER","LTS",16,"André Greipel",18,1246,1601
16,"ESP","MOV",2,"Alejandro Valverde",34,2233,1580
17,"FRA","QST",2784,"Julian Alaphilippe",28,1625,1576
18,"ESP","TFS",1,"Alberto Contador",18,1840,1560
19,"COL","MOV",1105,"Nairo Quintana",36,2759,1558
20,"NOR","DDD",7,"Edvald Boasson Hagen",16,1190,1520
21,"ITA","AST",1342,"Fabio Aru",20,960,1485
21,"RUS","KAT",2343,"Ilnur Zakarin",12,880,1485
23,"IRL","QST",43,"Daniel Martin",16,1111,1445
24,"COL","CDT",373,"Rigoberto Uran",14,1120,1380
24,"BEL","TFS",2764,"Jasper Stuyven",10,550,1380
26,"ITA","TBM",1405,"Sonny Colbrelli",22,1825,1340
27,"FRA","COF",1257,"Nacer Bouhanni",20,1472,1335
28,"SLO","TLJ",3273,"Primož Roglič",8,602,1330
29,"SUI","ORS",73,"Michael Albasini",6,545,1325
30,"ITA","SKY",3420,"Gianni Moscon",12,730,1269
31,"ITA","ALM",334,"Domenico Pozzovivo",8,167,1226
32,"NED","TFS",301,"Bauke Mollema",12,940,1225
33,"BEL","LTS",2358,"Tim Wellens",10,721,1223
34,"NED","TLJ",2355,"Dylan Groenewegen",20,1663,1215
35,"ESP","SKY",1139,"Mikel Landa",16,366,1210
36,"GBR","ORS",2889,"Adam Yates",18,935,1177
37,"GER","QST",1186,"Marcel Kittel",20,1145,1166
38,"FRA","ALM",1399,"Romain Bardet",24,1777,1165
39,"BEL","ALM",3151,"Oliver Naesen",10,710,1160
40,"ITA","UAD",923,"Diego Ulissi",22,2020,1155
41,"POL","BOH",1271,"Rafal Majka",12,955,1139
42,"GBR","ORS",2766,"Simon Yates",18,921,1138
43,"GER","TFS",1207,"John Degenkolb",20,750,1090
44,"LUX","QST",2675,"Bob Jungels",20,1325,1088
45,"BEL","BMC",3045,"Dylan Teuns",2,44,1056
46,"LUX","BMC",1248,"Jempy Drucker",8,519,1025
47,"NED","SUN",1274,"Wilco Kelderman",10,649,1006
48,"FRA","ALM",2725,"Alexis Vuillermoz",2,120,985
49,"ESP","TBM",1138,"Ion Izagirre",18,1387,960
50,"COL","SKY",1298,"Sergio Henao",10,731,921
51,"IRL","BOH",2765,"Sam Bennett",6,465,900
52,"BEL","LTS",2699,"Jasper De Buyst",1,0,880
53,"GBR","SKY",913,"Geraint Thomas",10,716,875
54,"FRA","SUN",2672,"Warren Barguil",10,746,871
55,"COL","AST",3117,"Miguel Angel Lopez",10,576,865
56,"BEL","LTS",3148,"Tiesj Benoot",10,705,845
57,"NED","SKY",812,"Wout Poels",12,640,834
58,"FRA","LTS",581,"Tony Gallopin",12,825,805
59,"IRL","BMC",153,"Nicholas Roche",12,950,785
60,"BEL","CDT",940,"Sep Vanmarcke",14,1035,770
61,"POR","UAD",76,"Rui Costa",16,1130,751
62,"AUS","BMC",815,"Richie Porte",16,890,747
63,"SUI","BMC",2807,"Silvan Dillier",2,44,745
64,"CZE","QST",1174,"Zdeněk Štybar",14,880,735
65,"BEL","TFS",2877,"Edward Theuns",10,735,731
