"Rank","Country","UCI Team","Rider ID","Rider Name","Price","Score 2015","Score 2016"
1,"SVK","TNK",857,"Peter Sagan",32,2699,4334
2,"GBR","SKY",245,"Chris Froome",26,1873,2777
3,"COL","MOV",1105,"Nairo Quintana",30,1994,2759
4,"BEL","BMC",96,"Greg Van Avermaet",30,2057,2516
5,"NOR","KAT",682,"Alexander Kristoff",36,3175,2296
6,"ESP","MOV",2,"Alejandro Valverde",36,3214,2233
7,"ITA","LAM",923,"Diego Ulissi",8,565,2020
8,"ITA","TFS",1161,"Giacomo Nizzolo",14,925,1906
9,"ESP","TNK",1,"Alberto Contador",24,1899,1840
10,"ITA","BAR",1405,"Sonny Colbrelli",8,645,1825
11,"FRA","ALM",1399,"Romain Bardet",20,1180,1777
12,"NED","TLJ",2355,"Dylan Groenewegen",4,265,1663
13,"FRA","EQS",2784,"Julian Alaphilippe",22,1005,1625
14,"NED","TGA",1275,"Tom Dumoulin",26,1508,1600
15,"COL","OGE",1101,"Esteban Chaves",24,1283,1591
16,"AUS","OGE",972,"Michael Matthews",24,1593,1565
17,"FRA","COF",1257,"Nacer Bouhanni",22,1205,1472
18,"GBR","DDD",4,"Mark Cavendish",20,655,1456
18,"SUI","TFS",3,"Fabian Cancellara",18,405,1456
20,"ESP","MOV",1138,"Ion Izagirre",8,662,1387
21,"FRA","DEN",2692,"Bryan Coquard",8,660,1350
22,"FRA","FDJ",1322,"Arnaud Démare",18,493,1325
22,"LUX","EQS",2675,"Bob Jungels",8,370,1325
24,"GER","LTS",16,"André Greipel",24,1565,1246
25,"NOR","DDD",7,"Edvald Boasson Hagen",20,985,1190
26,"COL","EQS",3239,"Fernando Gaviria",8,70,1178
27,"BEL","EQS",11,"Tom Boonen",22,1129,1175
28,"AUS","BMC",2637,"Rohan Dennis",12,741,1169
29,"GER","EQS",1186,"Marcel Kittel",20,143,1145
30,"POR","LAM",76,"Rui Costa",22,1335,1130
31,"COL","CPT",373,"Rigoberto Uran",22,1249,1120
32,"ITA","AST",29,"Vincenzo Nibali",24,1423,1113
33,"IRL","EQS",43,"Daniel Martin",18,515,1111
34,"ESP","KAT",36,"Joaquim Rodriguez",30,2205,1075
35,"BEL","TLJ",940,"Sep Vanmarcke",18,910,1035
36,"FRA","FDJ",808,"Thibaut Pinot",26,1774,1012
37,"ITA","AST",1342,"Fabio Aru",26,2392,960
38,"ESP","MOV",480,"Jonathan Castroviejo",8,549,958
39,"POL","TNK",1271,"Rafal Majka",18,924,955
40,"IRL","SKY",153,"Nicholas Roche",4,208,950
41,"NED","TFS",301,"Bauke Mollema",18,978,940
42,"GBR","OGE",2889,"Adam Yates",16,719,935
42,"CZE","EQS",2879,"Petr Vakoc",2,184,935
44,"GBR","OGE",2766,"Simon Yates",8,590,921
45,"ITA","EQS",455,"Gianluca Brambilla",4,282,909
46,"AUS","BMC",815,"Richie Porte",18,971,890
47,"CZE","EQS",1174,"Zdeněk Štybar",22,1125,880
47,"ITA","EQS",1385,"Matteo Trentin",16,870,880
47,"RUS","KAT",2343,"Ilnur Zakarin",12,749,880
50,"NED","EQS",94,"Niki Terpstra",22,1272,877
51,"ITA","MOV",98,"Giovanni Visconti",4,289,835
52,"FRA","LTS",581,"Tony Gallopin",20,1016,825
53,"BEL","BMC",6,"Philippe Gilbert",24,1455,809
54,"GER","EQS",28,"Tony Martin",20,735,805
55,"USA","CPT",1147,"Andrew Talansky",10,370,775
