"Rank","Country","UCI Team","Rider ID","Rider Name","Price","Score 2011","Score 2012"
1,"ESP","KAT",36,"Joaquim Rodriguez",26,2334,3837
2,"GBR","SKY",30,"Bradley Wiggins",18,1486,2630
3,"SVK","LIQ",857,"Peter Sagan",20,1382,2556
4,"BEL","OPQ",11,"Tom Boonen",12,580,2007
5,"ESP","MOV",2,"Alejandro Valverde",22,0,1931
6,"GER","ARG",1207,"John Degenkolb",10,477,1930
7,"GBR","SKY",245,"Chris Froome",10,670,1612
8,"ESP","STB",1,"Alberto Contador",30,2654,1560
9,"NOR","SKY",7,"Edvald Boasson Hagen",20,1339,1535
10,"ITA","LIQ",29,"Vincenzo Nibali",18,1342,1530
11,"GER","OPQ",28,"Tony Martin",18,1104,1515
12,"FRA","EUC",99,"Thomas Voeckler",14,1280,1455
13,"USA","BMC",929,"Tejay van Garderen",8,222,1365
14,"COL","SKY",373,"Rigoberto Uran",12,887,1332
14,"POR","MOV",76,"Rui Costa",6,440,1332
16,"GBR","SKY",4,"Mark Cavendish",22,1588,1330
17,"SUI","RNT",3,"Fabian Cancellara",26,2091,1305
18,"ESP","EUS",9,"Samuel Sanchez",18,1495,1291
19,"NED","OPQ",94,"Niki Terpstra",4,345,1260
20,"USA","BMC",1074,"Taylor Phinney",6,348,1243
21,"CAN","GRS",64,"Ryder Hesjedal",6,396,1231
22,"BEL","BMC",96,"Greg Van Avermaet",14,1230,1200
23,"COL","SKY",1298,"Sergio Henao",2,120,1177
24,"GER","LTB",16,"André Greipel",14,1120,1175
25,"ITA","BMC",23,"Alessandro Ballan",10,730,1152
26,"ESP","KAT",50,"Oscar Freire",6,458,1150
27,"BEL","BMC",6,"Philippe Gilbert",36,3986,1084
28,"FRA","OPQ",31,"Sylvain Chavanel",10,645,1055
29,"NED","RAB",74,"Lars Boom",10,505,1047
30,"AUS","OGE",26,"Simon Gerrans",10,750,1045
31,"ITA","KAT",53,"Luca Paolini",4,290,985
32,"ITA","LAM",13,"Damiano Cunego",14,996,925
33,"ESP","KAT",90,"Daniel Moreno",12,965,900
34,"NED","RAB",301,"Bauke Mollema",16,1250,877
35,"SWE","AST",136,"Fredrik Kessiakoff",2,194,875
36,"ITA","COG",334,"Domenico Pozzovivo",6,490,842
37,"AUS","SKY",70,"Michael Rogers",2,0,840
38,"NED","VCD",387,"Lieuwe Westra",6,375,836
39,"AUS","OGE",122,"Matthew Goss",14,848,831
40,"AUS","BMC",5,"Cadel Evans",26,1823,825
41,"ESP","RAB",45,"Luis Leon Sanchez",6,215,821
42,"CZE","AST",19,"Roman Kreuziger",10,775,791
43,"ITA","LAM",71,"Michele Scarponi",18,1490,765
44,"BEL","LTB",154,"Jürgen Roelandts",12,855,731
45,"USA","GRS",1147,"Andrew Talansky",4,120,712
46,"SUI","OGE",73,"Michael Albasini",6,434,706
47,"ITA","FAR",21,"Filippo Pozzato",8,275,700
47,"FRA","FDJ",1322,"Arnaud Démare",2,0,700
49,"ITA","LIQ",1389,"Moreno Moser",1,0,699
50,"NED","RAB",15,"Robert Gesink",16,839,692
51,"BEL","LTB",166,"Jurgen Van Den Broeck",6,450,665
51,"KAZ","AST",81,"Maxim Iglinskiy",2,0,665
53,"ESP","SKY",63,"Juan Antonio Flecha",6,422,657
54,"BEL","VCD",520,"Thomas De Gendt",2,168,636
55,"ITA","ALM",68,"Rinaldo Nocentini",4,270,635
56,"DEN","RNT",40,"Jakob Fuglsang",8,645,630
56,"ITA","RNT",1161,"Giacomo Nizzolo",6,390,630
58,"ITA","RNT",39,"Daniele Bennati",12,911,615
59,"IRL","GRS",43,"Daniel Martin",16,1076,610
60,"GER","ARG",1186,"Marcel Kittel",14,923,606
61,"CZE","APP",1067,"Jan Barta",2,30,605
62,"ITA","VCD",292,"Marco Marcato",12,940,595
63,"ITA","AST",250,"Enrico Gasparotto",2,84,592
64,"NOR","KAT",682,"Alexander Kristoff",4,290,587
65,"COL","MOV",1105,"Nairo Quintana",1,60,586
66,"SLO","AST",58,"Janez Brajkovic",4,350,584
67,"AUS","GRS",17,"Heinrich Haussler",8,250,580
68,"BEL","LTB",379,"Jelle Vanendert",6,475,560
69,"ITA","MOV",98,"Giovanni Visconti",12,915,545
70,"FRA","EUC",922,"Sebastien Turgot",1,70,530
71,"BEL","GRS",940,"Sep Vanmarcke",4,185,510
72,"NED","RAB",190,"Theo Bos",6,310,500
72,"NOR","SKY",778,"Lars Nordhaug",1,50,500
74,"ITA","BMC",69,"Marco Pinotti",4,303,483
75,"BLR","MOV",276,"Vasil Kiryienka",4,285,475
76,"ITA","BMC",860,"Mauro Santambrogio",2,140,470
77,"CAN","OGE",164,"Svein Tuft",4,310,447
78,"ITA","LAM",923,"Diego Ulissi",2,175,440
78,"AUS","OGE",48,"Allan Davis",2,0,440
78,"ITA","AND",20,"Franco Pellizotti",2,0,440
81,"ITA","FAR",1258,"Matteo Rabottini",1,25,435
82,"RUS","VCD",278,"Sergey Lagutin",2,200,425
82,"COL","AND",347,"Miguel Rubiano",1,50,425
84,"COL","ASA",1073,"Carlos Betancur",6,395,415
85,"AUS","RAB",338,"Mark Renshaw",2,62,410
86,"UKR","AST",259,"Andriy Grivko",1,50,408
87,"POL","VCD",725,"Tomasz Marczynski",2,200,406
88,"FRA","FDJ",808,"Thibaut Pinot",2,175,405
89,"ESP","MOV",480,"Jonathan Castroviejo",2,136,401
90,"ESP","EUS",178,"Igor Anton",8,575,400
90,"FRA","FDJ",1257,"Nacer Bouhanni",1,0,400
92,"SLO","AST",47,"Borut Bozic",6,465,395
92,"FRA","EUC",849,"Pierre Rolland",6,310,395
94,"USA","RNT",130,"Chris Horner",6,535,393
95,"NED","VCD",97,"Kenny van Hummel",2,215,390
95,"DEN","RAB",25,"Matti Breschel",10,90,390
97,"ITA","OPQ",201,"Dario Cataldo",2,190,387
98,"USA","GRS",14,"Tyler Farrar",14,1024,383
99,"RUS","KAT",18,"Alexandr Kolobnev",4,355,380
99,"COL","COL",1144,"Fabio Duarte",4,255,380
101,"DEN","STB",92,"Chris Anker Sørensen",6,480,375
101,"FRA","SAU",884,"Julien Simon",2,165,375
103,"AUS","OGE",1377,"Luke Durbridge",1,0,374
104,"KAZ","AST",38,"Alexandre Vinokourov",10,712,370
105,"GER","GRS",56,"Fabian Wegmann",6,415,365
106,"BEL","VCD",143,"Björn Leukemans",16,1220,360
106,"ITA","LIQ",24,"Ivan Basso",10,800,360
108,"POL","OPQ",1179,"Michal Kwiatkowski",2,210,359
109,"LTU","GRS",1148,"Ramunas Navardauskas",2,215,358
110,"NED","VCD",812,"Wout Poels",8,550,355
111,"FRA","FDJ",346,"Jérémy Roy",1,70,350
112,"USA","OPQ",27,"Levi Leipheimer",10,935,345
112,"ESP","EUS",776,"Mikel Nieve",6,405,345
114,"LUX","RNT",37,"Fränk Schleck",16,1344,340
115,"AUS","OGE",493,"Simon Clarke",4,265,330
116,"ESP","RNT",175,"Haimar Zubeldia",2,195,325
117,"ITA","COG",455,"Gianluca Brambilla",2,110,322
118,"ESP","MOV",946,"Francisco Ventoso",4,325,320
118,"FRA","FDJ",62,"Pierrick Fedrigo",4,290,320
118,"BEL","LTB",742,"Gianni Meersman",2,150,320
118,"CRO","AST",666,"Robert Kiserlovski",2,49,320
122,"AUS","SKY",815,"Richie Porte",4,325,317
123,"GBR","EDR",1308,"Jonathan Tiernan-Locke",1,60,315
124,"ITA","FAR",251,"Oscar Gatto",4,305,310
124,"SUI","RNT",336,"Grégory Rast",4,300,310
124,"FRA","FDJ",277,"Matthieu Ladagnous",4,240,310
124,"IRL","ALM",153,"Nicholas Roche",2,150,310
124,"FRA","EUC",327,"Alexandre Pichot",1,20,310
129,"BLR","FDJ",133,"Yauheni Hutarovich",8,585,305
129,"NED","RAB",367,"Laurens ten Dam",2,150,305
131,"RUS","KAT",12,"Denis Menchov",8,760,300
131,"KAZ","AST",1291,"Dmitriy Gruzdev",2,100,300
133,"EST","AST",1006,"Tanel Kangert",1,4,299
134,"CZE","OPQ",1174,"Zdeněk Štybar",2,110,295
134,"NED","ARG",943,"Tom Veelers",2,110,295
136,"USA","GRS",174,"David Zabriskie",2,185,290
136,"ITA","FAR",561,"Elia Favilli",1,0,290
138,"USA","GRS",214,"Tom Danielson",4,366,285
139,"FRA","RNT",581,"Tony Gallopin",4,260,280
139,"GBR","SKY",162,"Ben Swift",2,140,280
141,"ESP","EUS",384,"Gorka Verdugo",1,0,278
142,"BEL","GRS",168,"Johan Vansummeren",4,350,277
143,"GBR","SKY",1190,"Alex Dowsett",4,365,275
143,"NED","UHC",1011,"Marc de Maar",2,200,275
143,"ITA","AST",79,"Francesco Gavazzi",2,180,275
143,"ITA","ASA",1254,"Danilo Di Luca",1,20,275
147,"BEL","RNT",89,"Maxime Monfort",4,341,270
147,"BEL","RAB",963,"Maarten Wynants",1,60,270
147,"ITA","LIQ",951,"Elia Viviani",2,50,270
147,"NED","ARG",216,"Koen de Kort",1,10,270
151,"ITA","ALM",420,"Manuel Belletti",2,185,265
152,"USA","GRS",55,"Christian Vande Velde",4,241,261
153,"ITA","LIQ",472,"Eros Capecchi",2,157,260
153,"FRA","SAU",129,"Jonathan Hivert",2,150,260
155,"AUS","RAB",972,"Michael Matthews",8,300,255
156,"ESP","MOV",639,"Beñat Intxausti",4,282,251
157,"GER","RNT",51,"Andreas Klöden",8,757,250
157,"FRA","ALM",302,"Lloyd Mondory",4,240,250
157,"SUI","BMC",921,"Johann Tschopp",1,75,250
157,"POL","LIQ",188,"Maciej Bodnar",1,0,250
161,"ITA","COG",752,"Sacha Modolo",2,100,245
161,"ITA","ASA",337,"Francesco Reda",1,0,245
163,"ERI","OGE",1270,"Daniel Teklehaimanot",2,100,240
163,"ITA","LIQ",477,"Damiano Caruso",1,45,240
165,"SVK","OPQ",72,"Peter Velits",8,74,235
166,"NED","RAB",1274,"Wilco Kelderman",1,25,230
167,"RUS","KAT",1004,"Vladimir Gusev",4,180,225
167,"LTU","SKT",1294,"Gediminas Bagdonas",2,140,225
169,"SWE","VCD",66,"Gustav Erik Larsson",4,250,222
170,"BEL","OGE",661,"Jens Keukeleire",2,90,220
