	Country 	UCI Team 	UCI Cat 	Rider 	Born 	Price 	Prev 	Score ↓ 	
35. 	GBR 	SKY 	WT 	Bradley Wiggins 	1980 	20 	764 	967 	[+]
36. 	BEL 	OPQ 	WT 	Tom Boonen 	1980 	18 	130 	942 	[+]
37. 	AUS 	BMC 	WT 	Cadel Evans 	1977 	14 	627 	930 	[+]
38. 	BEL 	LTB 	WT 	Tim Wellens 	1991 	1 	0 	911 	[+]
39. 	USA 	BMC 	WT 	Tejay van Garderen 	1988 	16 	875 	910 	[+]
40. 	ITA 	ALM 	WT 	Domenico Pozzovivo 	1982 	12 	790 	905 	[+]
41. 	GER 	LTB 	WT 	André Greipel 	1982 	20 	1284 	880 	[+]
42. 	NED 	BEL 	WT 	Wilco Kelderman 	1991 	10 	536 	877 	[+]
43. 	USA 	GRS 	WT 	Tyler Farrar 	1984 	10 	595 	865 	[+]
44. 	GBR 	OPQ 	WT 	Mark Cavendish 	1985 	32 	1906 	855 	[+]
45. 	FRA 	FDJ 	WT 	Thibaut Pinot 	1990 	12 	605 	855 	[+]
46. 	GBR 	SKY 	WT 	Geraint Thomas 	1986 	14 	500 	822 	[+]
47. 	BEL 	OPQ 	WT 	Gianni Meersman 	1985 	8 	464 	810 	[+]
48. 	ESP 	KAT 	WT 	Daniel Moreno 	1981 	18 	1450 	800 	[+]
49. 	ITA 	TFR 	WT 	Giacomo Nizzolo 	1989 	8 	460 	785 	[+]
50. 	COL 	OPQ 	WT 	Rigoberto Uran 	1987 	12 	685 	775 	[+]
51. 	BEL 	LTB 	WT 	Jens Debusschere 	1989 	4 	225 	775 	[+]
52. 	CZE 	OPQ 	WT 	Zdeněk Štybar 	1985 	16 	670 	756 	[+]
53. 	SUI 	IAM 	PROF 	Mathias Frank 	1986 	10 	540 	740 	[+]
54. 	ESP 	MOV 	WT 	Juan Jose Lobato 	1988 	2 	170 	720 	[+]
55. 	GBR 	SKY 	WT 	Ben Swift 	1987 	1 	20 	717 	[+]
56. 	AUS 	GRS 	WT 	Rohan Dennis 	1990 	8 	251 	715 	[+]
57. 	BEL 	LTB 	WT 	Jelle Vanendert 	1985 	2 	60 	705 	[+]
58. 	ITA 	CAN 	WT 	Elia Viviani 	1989 	14 	711 	695 	[+]
59. 	SUI 	OGE 	WT 	Michael Albasini 	1980 	4 	216 	681 	[+]
60. 	ITA 	CCC 	PROF 	Davide Rebellin 	1971 	2 	185 	650 	[+]
61. 	POR 	TNE 	PROF 	Tiago Machado 	1985 	1 	30 	644 	[+]
62. 	COL 	TFR 	WT 	Julian Arredondo 	1988 	2 	0 	639 	[+]
63. 	NED 	GRS 	WT 	Tom Jelte Slagter 	1989 	8 	195 	630 	[+]
64. 	LUX 	WGG 	PROF 	Jempy Drucker 	1986 	2 	105 	625 	[+]
65. 	CZE 	TCS 	WT 	Roman Kreuziger 	1986 	16 	974 	620 	[+]
66. 	BEL 	OPQ 	WT 	Stijn Vandenbergh 	1984 	8 	425 	620 	[+]
67. 	GER 	GIA 	WT 	Simon Geschke 	1986 	6 	350 	595 	[+]
68. 	DEN 	TCS 	WT 	Matti Breschel 	1984 	10 	480 	590 	[+]
69. 	FRA 	EUC 	WT 	Pierre Rolland 	1986 	6 	265 	550 	[+]
70. 	BLR 	ALM 	WT 	Yauheni Hutarovich 	1983 	2 	50 	546 	[+]
71. 	ITA 	YEL 	PROF 	Mauro Finetto 	1985 	4 	200 	540 	[+]
72. 	FRA 	EUC 	WT 	Cyril Gautier 	1987 	2 	130 	540 	[+]
73. 	SLO 	GIA 	WT 	Luka Mezgec 	1988 	8 	285 	537 	[+]
74. 	NED 	BEL 	WT 	Theo Bos 	1983 	6 	170 	530 	[+]
75. 	ESP 	BMC 	WT 	Samuel Sanchez 	1978 	10 	595 	527 	[+]
76. 	ITA 	MOV 	WT 	Adriano Malori 	1988 	8 	431 	527 	[+]
77. 	NED 	GRS 	WT 	Sebastian Langeveld 	1985 	8 	415 	500 	[+]
78. 	BEL 	WGG 	PROF 	Björn Leukemans 	1977 	6 	355 	500 	[+]
79. 	IRL 	TNE 	PROF 	Sam Bennett 	1990 	2 	80 	500 	[+]
80. 	RSA 	OGE 	WT 	Daryl Impey 	1984 	8 	426 	495 	[+]
81. 	ITA 	KAT 	WT 	Giampaolo Caruso 	1980 	6 	354 	490 	[+]
82. 	ITA 	LAM 	WT 	Diego Ulissi 	1989 	18 	1016 	480 	[+]
83. 	SLO 	KAT 	WT 	Simon Spilak 	1986 	12 	695 	477 	[+]
84. 	NED 	TFR 	WT 	Danny van Poppel 	1993 	2 	105 	475 	[+]
85. 	ITA 	CAN 	WT 	Damiano Caruso 	1987 	6 	100 	475 	[+]
86. 	GBR 	SKY 	WT 	Peter Kennaugh 	1989 	2 	15 	470 	[+]
87. 	NED 	BEL 	WT 	Moreno Hofland 	1991 	1 	20 	465 	[+]
88. 	SUI 	BMC 	WT 	Silvan Dillier 	1990 	1 	0 	465 	[+]
89. 	AUS 	TCS 	WT 	Michael Rogers 	1979 	6 	284 	464 	[+]
90. 	BLR 	SKY 	WT 	Vasil Kiryienka 	1981 	8 	396 	460 	[+]
91. 	BEL 	OPQ 	WT 	Guillaume Van Keirsbulck 	1991 	1 	20 	455 	[+]
92. 	COL 	ALM 	WT 	Carlos Betancur 	1989 	20 	1180 	452 	[+]
93. 	ESP 	MOV 	WT 	Ion Izagirre 	1989 	6 	310 	450 	[+]
94. 	CAN 	OGE 	WT 	Svein Tuft 	1977 	2 	101 	446 	[+]
95. 	FRA 	OPQ 	WT 	Julian Alaphilippe 	1992 	1 	0 	445 	[+]
96. 	ITA 	AND 	PROF 	Franco Pellizotti 	1978 	10 	550 	435 	[+]
97. 	ESP 	SKY 	WT 	Mikel Nieve 	1984 	6 	330 	430 	[+]
98. 	FRA 	GIA 	WT 	Warren Barguil 	1991 	8 	260 	425 	[+]
99. 	AUT 	IAM 	PROF 	Matthias Brändle 	1989 	4 	220 	420 	[+]
100. 	GBR 	OGE 	WT 	Adam Yates 	1992 	4 	0 	412 	[+]
101. 	DEN 	TCS 	WT 	Michael Valgren 	1992 	1 	0 	400 	[+]
102. 	CZE 	TNE 	PROF 	Leopold König 	1987 	6 	350 	389 	[+]
103. 	POR 	LAM 	WT 	Nelson Oliveira 	1989 	1 	50 	385 	[+]
104. 	USA 	GRS 	WT 	Andrew Talansky 	1988 	16 	752 	380 	[+]
105. 	CZE 	TNE 	PROF 	Jan Barta 	1984 	6 	470 	380 	[+]
106. 	CAN 	GRS 	WT 	Ryder Hesjedal 	1980 	8 	365 	380 	[+]
107. 	FRA 	FDJ 	WT 	Arthur Vichot 	1988 	8 	460 	370 	[+]
108. 	BEL 	LTB 	WT 	Jonas Van Genechten 	1986 	1 	10 	370 	[+]
109. 	LUX 	TFR 	WT 	Fränk Schleck 	1980 	10 	0 	365 	[+]
110. 	NED 	BEL 	WT 	Lars Boom 	1985 	12 	502 	362 	[+]
111. 	ITA 	AST 	WT 	Enrico Gasparotto 	1982 	12 	690 	360 	[+]
112. 	BEL 	TSV 	PROF 	Jelle Wallays 	1989 	1 	70 	356 	[+]
113. 	USA 	GRS 	WT 	Tom Danielson 	1978 	6 	345 	355 	[+]
114. 	BEL 	WGG 	PROF 	Jerome Baugnies 	1987 	1 	0 	345 	[+]
115. 	IRL 	TCS 	WT 	Nicholas Roche 	1984 	16 	969 	339 	[+]
116. 	ITA 	OPQ 	WT 	Matteo Trentin 	1989 	2 	110 	335 	[+]
117. 	AUS 	IAM 	PROF 	Heinrich Haussler 	1984 	14 	790 	330 	[+]
118. 	SLO 	AST 	WT 	Borut Bozic 	1980 	6 	480 	330 	[+]
119. 	ESP 	TFR 	WT 	Haimar Zubeldia 	1977 	1 	10 	329 	[+]
120. 	ITA 	LAM 	WT 	Damiano Cunego 	1981 	2 	155 	325 	[+]
121. 	FRA 	EUC 	WT 	Bryan Coquard 	1992 	6 	115 	325 	[+]
122. 	ITA 	ALM 	WT 	Davide Appollonio 	1989 	1 	15 	325 	[+]
123. 	BEL 	TSV 	PROF 	Yves Lampaert 	1991 	1 	0 	311 	[+]
124. 	ITA 	LAM 	WT 	Sacha Modolo 	1987 	2 	170 	310 	[+]
125. 	SLO 	CAN 	WT 	Kristjan Koren 	1986 	1 	35 	310 	[+]
126. 	ITA 	YEL 	PROF 	Matteo Rabottini 	1987 	1 	22 	310 	[+]
127. 	POL 	LAM 	WT 	Przemyslaw Niemiec 	1980 	6 	547 	300 	[+]
128. 	BEL 	WGG 	PROF 	Roy Jans 	1990 	1 	0 	300 	[+]
129. 	CRO 	TFR 	WT 	Robert Kiserlovski 	1986 	6 	280 	295 	[+]
130. 	ESP 	MOV 	WT 	Jesus Herrada 	1990 	6 	250 	295 	[+]
131. 	RUS 	KAT 	WT 	Alexei Tsatevich 	1989 	2 	150 	295 	[+]
132. 	EST 	COF 	PROF 	Gert Joeaar 	1987 	1 	30 	290 	[+]
133. 	FRA 	EUC 	WT 	Thomas Voeckler 	1979 	10 	435 	285 	[+]
134. 	ESP 	MOV 	WT 	Beñat Intxausti 	1986 	10 	660 	282 	[+]
135. 	ITA 	BAR 	PROF 	Edoardo Zardini 	1989 	4 	200 	280 	[+]
136. 	FRA 	COF 	PROF 	Julien Simon 	1985 	1 	30 	280 	[+]
137. 	ESP 	COF 	PROF 	Daniel Navarro 	1983 	8 	460 	275 	[+]
138. 	BEL 	LTB 	WT 	Jurgen Van Den Broeck 	1983 	10 	82 	270 	[+]
139. 	ITA 	CAN 	WT 	Alessandro De Marchi 	1986 	1 	40 	270 	[+]
140. 	NED 	BEL 	WT 	Steven Kruijswijk 	1987 	6 	0 	270 	[+]
141. 	NZL 	TFR 	WT 	Jesse Sergent 	1988 	2 	55 	269 	[+]
142. 	GBR 	SKY 	WT 	Ian Stannard 	1987 	12 	402 	265 	[+]
143. 	RUS 	KAT 	WT 	Alexander Porsev 	1986 	2 	128 	260 	[+]
144. 	RUS 	KAT 	WT 	Anton Vorobyev 	1990 	1 	25 	260 	[+]
145. 	ITA 	ALM 	WT 	Rinaldo Nocentini 	1977 	6 	430 	255 	[+]
146. 	BEL 	WBC 	CONT 	Sébastien Delfosse 	1982 	4 	220 	255 	[+]
147. 	NED 	GIA 	WT 	Ramon Sinkeldam 	1989 	2 	150 	255 	[+]
148. 	USA 	BMC 	WT 	Taylor Phinney 	1990 	14 	552 	250 	[+]
149. 	BEL 	LTB 	WT 	Kenny Dehaes 	1984 	8 	400 	250 	[+]
150. 	ITA 	CAN 	WT 	David Villella 	1991 	6 	280 	250 	[+]
151. 	NED 	GRS 	WT 	Dylan van Baarle 	1992 	2 	15 	250 	[+]
152. 	COL 	OGE 	WT 	Esteban Chaves 	1990 	1 	0 	247 	[+]
153. 	ESP 	MOV 	WT 	Jose Joaquin Rojas 	1985 	8 	415 	245 	[+]
154. 	BEL 	TFR 	WT 	Kristof Vandewalle 	1985 	8 	385 	245 	[+]
155. 	ITA 	SKY 	WT 	Dario Cataldo 	1985 	4 	48 	244 	[+]
156. 	RUS 	RVL 	PROF 	Ilnur Zakarin 	1989 	2 	100 	243 	[+]
157. 	NED 	RDT 	CONT 	Bert-Jan Lindeman 	1989 	1 	48 	240 	[+]
158. 	ESP 	BUR 	CONT 	David Belda 	1983 	1 	0 	240 	[+]
159. 	ITA 	CAN 	WT 	Davide Formolo 	1992 	1 	0 	240 	[+]
160. 	ITA 	AST 	WT 	Andrea Guardini 	1989 	2 	160 	236 	[+]
161. 	ITA 	LAM 	WT 	Filippo Pozzato 	1981 	10 	610 	235 	[+]
162. 	BLR 	SKY 	WT 	Kanstantsin Siutsou 	1982 	6 	310 	234 	[+]
163. 	ESP 	MOV 	WT 	Javier Moreno 	1984 	1 	2 	231 	[+]
164. 	BEL 	LTB 	WT 	Jürgen Roelandts 	1985 	12 	647 	230 	[+]
165. 	DEN 	AST 	WT 	Jakob Fuglsang 	1985 	10 	556 	230 	[+]
166. 	NED 	BEL 	WT 	Laurens ten Dam 	1980 	4 	130 	230 	[+]
167. 	BEL 	BMC 	WT 	Ben Hermans 	1986 	2 	70 	230 	[+]
168. 	ITA 	BAR 	PROF 	Francesco Bongiorno 	1990 	4 	290 	225 	[+]
169. 	RUS 	KAT 	WT 	Yury Trofimov 	1984 	2 	124 	225 	[+]
170. 	ITA 	SKY 	WT 	Salvatore Puccio 	1989 	2 	66 	224 	[+]
171. 	GER 	MTN 	PROF 	Gerald Ciolek 	1986 	10 	630 	220 	[+]
172. 	BEL 	OGE 	WT 	Jens Keukeleire 	1988 	4 	180 	220 	[+]
173. 	FRA 	COF 	PROF 	Cyril Lemoine 	1983 	1 	60 	220 	[+]
174. 	FRA 	ALM 	WT 	Alexis Vuillermoz 	1988 	1 	0 	220 	[+]
175. 	AUS 	OGE 	WT 	Luke Durbridge 	1991 	6 	125 	216 	[+]
176. 	ITA 	BAR 	PROF 	Enrico Battaglin 	1989 	2 	130 	215 	[+]
177. 	ITA 	YEL 	PROF 	Andrea Fedi 	1991 	1 	0 	215 	[+]
178. 	BEL 	OPQ 	WT 	Jan Bakelants 	1986 	14 	680 	210 	[+]
179. 	NOR 	BEL 	WT 	Lars Nordhaug 	1984 	6 	235 	210 	[+]
180. 	ITA 	LAM 	WT 	Roberto Ferrari 	1983 	2 	136 	210 	[+]
181. 	BEL 	GIA 	WT 	Dries Devenyns 	1983 	2 	60 	210 	[+]
182. 	BEL 	OPQ 	WT 	Julien Vermote 	1989 	1 	30 	210 	[+]
183. 	ROU 	JBC 	CONT 	Serghei Tvetcov 	1988 	1 	0 	210 	[+]
184. 	NOR 	SKY 	WT 	Edvald Boasson Hagen 	1987 	18 	487 	207 	[+]
185. 	NED 	OGE 	WT 	Pieter Weening 	1981 	8 	460 	206 	[+]
186. 	ITA 	ALM 	WT 	Matteo Montaguti 	1984 	1 	0 	206 	[+]
187. 	FRA 	ALM 	WT 	Samuel Dumoulin 	1980 	8 	485 	205 	[+]
188. 	POL 	OPQ 	WT 	Michal Golas 	1984 	2 	120 	205 	[+]
189. 	NED 	OPQ 	WT 	Wout Poels 	1987 	10 	70 	205 	[+]
190. 	ITA 	CAN 	WT 	Oscar Gatto 	1985 	6 	305 	200 	[+]
191. 	COL 	COL 	PROF 	Fabio Duarte 	1986 	2 	60 	200 	[+]
192. 	ITA 	MTN 	PROF 	Kristian Sbaragli 	1990 	1 	15 	200 	[+]
193. 	FRA 	EUC 	WT 	Romain Sicard 	1988 	1 	4 	200 	[+]
194. 	COL 	LAM 	WT 	Winner Anacona 	1988 	1 	0 	200 	[+]
195. 	ETH 	MTN 	PROF 	Tsgabu Gebremariam Grmay 	1991 	1 	0 	200 	[+]
196. 	BEL 	OPQ 	WT 	Gert Steegmans 	1980 	1 	0 	200 	[+]
197. 	USA 	LAM 	WT 	Chris Horner 	1971 	14 	1440 	195 	[+]
198. 	BEL 	RLM 	CONT 	Baptiste Planckaert 	1988 	2 	125 	195 	[+]
199. 	ITA 	OPQ 	WT 	Alessandro Petacchi 	1974 	2 	55 	195 	[+]
200. 	SUI 	IAM 	PROF 	Martin Elmiger 	1978 	8 	405 	190 	[+]
201. 	ESP 	CJR 	PROF 	Luis Leon Sanchez 	1983 	6 	260 	190 	[+]
202. 	GER 	BEL 	WT 	Paul Martens 	1983 	4 	225 	190 	[+]
203. 	SVK 	BMC 	WT 	Peter Velits 	1985 	4 	225 	190 	[+]
204. 	BEL 	BEL 	WT 	Maarten Wynants 	1982 	2 	150 	190 	[+]
205. 	ITA 	WGG 	PROF 	Danilo Napolitano 	1981 	2 	95 	190 	[+]
206. 	POL 	CCC 	PROF 	Maciej Paterski 	1986 	1 	20 	190 	[+]
207. 	ITA 	LAM 	WT 	Niccolo Bonifazio 	1993 	1 	0 	190 	[+]
208. 	BEL 	LTB 	WT 	Maxime Monfort 	1983 	2 	115 	180 	[+]
209. 	FRA 	COF 	PROF 	Romain Hardy 	1988 	1 	60 	180 	[+]
210. 	GBR 	MOV 	WT 	Alex Dowsett 	1988 	4 	195 	177 	[+]
211. 	AUS 	OPQ 	WT 	Mark Renshaw 	1982 	4 	221 	173 	[+]
212. 	AUT 	TFR 	WT 	Riccardo Zoidl 	1988 	6 	285 	170 	[+]
213. 	DEN 	TBW 	CONT 	Rasmus Quaade 	1990 	4 	200 	170 	[+]
214. 	RUS 	KAT 	WT 	Sergey Chernetskiy 	1990 	2 	135 	170 	[+]
215. 	ITA 	IAM 	PROF 	Matteo Pelucchi 	1989 	2 	95 	170 	[+]
216. 	ITA 	BAR 	PROF 	Marco Canola 	1988 	1 	0 	170 	[+]
217. 	ITA 	LAM 	WT 	Valerio Conti 	1993 	1 	0 	170 	[+]
218. 	EST 	COF 	PROF 	Rein Taaramäe 	1987 	6 	150 	165 	[+]
219. 	ESP 	CJR 	PROF 	Marcos Garcia 	1986 	1 	0 	165 	[+]
220. 	FRA 	COF 	PROF 	Rudy Molard 	1989 	1 	0 	165 	[+]
221. 	BEL 	TSV 	PROF 	Michael Van Staeyen 	1988 	6 	335 	160 	[+]
222. 	RUS 	KAT 	WT 	Alexandr Kolobnev 	1981 	2 	160 	160 	[+]
223. 	ITA 	AST 	WT 	Francesco Gavazzi 	1984 	2 	126 	160 	[+]
224. 	NED 	BEL 	WT 	Jos van Emden 	1985 	2 	116 	160 	[+]
225. 	NZL 	LTB 	WT 	Gregory Henderson 	1976 	1 	14 	160 	[+]
226. 	ESP 	CJR 	PROF 	Pello Bilbao 	1990 	1 	0 	160 	[+]
227. 	FRA 	FDJ 	WT 	Anthony Roux 	1987 	2 	60 	155 	[+]
228. 	NOR 	BMC 	WT 	Thor Hushovd 	1978 	10 	512 	150 	[+]
229. 	FRA 	BSE 	PROF 	Florian Vachon 	1985 	2 	175 	150 	[+]
230. 	COL 	COL 	PROF 	Miguel Rubiano 	1984 	2 	85 	150 	[+]
231. 	SLO 	VFN 	CONT 	Grega Bole 	1985 	1 	70 	150 	[+]
232. 	BEL 	RLM 	CONT 	Maxime Vantomme 	1986 	1 	45 	150 	[+]
233. 	GER 	BDT 	CONT 	Ruben Zepuntke 	1993 	1 	2 	150 	[+]
234. 	AUS 	GRS 	WT 	Nathan Haas 	1989 	2 	0 	150 	[+]
235. 	GBR 	NPC 	CONT 	Adam Blythe 	1989 	1 	0 	150 	[+]
236. 	ITA 	AND 	PROF 	Manuel Belletti 	1985 	2 	125 	145 	[+]
237. 	NED 	GRS 	WT 	Raymond Kreder 	1989 	1 	30 	145 	[+]
238. 	FRA 	EUC 	WT 	Yannick Martinez 	1988 	2 	100 	142 	[+]
239. 	NED 	BEL 	WT 	Stef Clement 	1982 	1 	26 	142 	[+]
240. 	UKR 	AST 	WT 	Andriy Grivko 	1983 	4 	431 	141 	[+]
241. 	NED 	AST 	WT 	Lieuwe Westra 	1982 	8 	288 	141 	[+]
242. 	FRA 	BEL 	WT 	Jonathan Hivert 	1985 	2 	160 	140 	[+]
243. 	LUX 	TFR 	WT 	Laurent Didier 	1984 	1 	20 	140 	[+]
244. 	FRA 	EUC 	WT 	Vincent Jerome 	1984 	1 	10 	140 	[+]
245. 	ITA 	CJR 	PROF 	Davide Vigano 	1984 	1 	0 	140 	[+]
246. 	FRA 	FDJ 	WT 	Johan Le Bon 	1990 	4 	190 	138 	[+]
247. 	ESP 	MOV 	WT 	Jonathan Castroviejo 	1987 	4 	185 	138 	[+]
248. 	CRC 	MOV 	WT 	Andrey Amador 	1986 	2 	160 	138 	[+]
249. 	RUS 	RVL 	PROF 	Sergey Lagutin 	1981 	2 	138 	138 	[+]
250. 	DEN 	CUL 	CONT 	Magnus Cort Nielsen 	1993 	2 	100 	135 	[+]
251. 	BEL 	OPQ 	WT 	Nikolas Maes 	1986 	8 	450 	130 	[+]
252. 	ITA 	YEL 	PROF 	Simone Ponzi 	1987 	8 	425 	130 	[+]
253. 	ITA 	MOV 	WT 	Giovanni Visconti 	1983 	6 	340 	130 	[+]
254. 	GBR 	BMC 	WT 	Stephen Cummings 	1981 	2 	52 	130 	[+]
255. 	ESP 	MTN 	PROF 	Sergio Pardilla 	1984 	1 	50 	130 	[+]
256. 	GBR 	TNE 	PROF 	Scott Thwaites 	1990 	1 	15 	130 	[+]
257. 	BEL 	WBC 	CONT 	Antoine Demoitie 	1990 	1 	0 	130 	[+]
258. 	BEL 	TSV 	PROF 	Pieter Jacobs 	1986 	2 	145 	126 	[+]
259. 	FRA 	ALM 	WT 	Christophe Riblon 	1981 	8 	431 	125 	[+]
260. 	GER 	BMC 	WT 	Marcus Burghardt 	1983 	2 	80 	125 	[+]
261. 	ESP 	CJR 	PROF 	Angel Madrazo 	1988 	1 	50 	125 	[+]
262. 	FRA 	LPM 		Rémi Di Gregorio 	1985 	1 	0 	125 	[+]
263. 	IRL 	SKY 	WT 	Philip Deignan 	1983 	1 	40 	124 	[+]
264. 	FRA 	ALM 	WT 	Sebastien Turgot 	1984 	8 	470 	121 	[+]
265. 	KAZ 	AST 	WT 	Alexey Lutsenko 	1992 	1 	0 	121 	[+]
266. 	DEN 	TCS 	WT 	Michael Mørkøv 	1985 	8 	435 	120 	[+]
267. 	JPN 	EUC 	WT 	Yukiya Arashiro 	1984 	4 	245 	120 	[+]
268. 	ITA 	TCS 	WT 	Daniele Bennati 	1980 	4 	204 	120 	[+]
269. 	FRA 	FDJ 	WT 	Alexandre Geniez 	1988 	2 	140 	120 	[+]
270. 	FRA 	COF 	PROF 	Adrien Petit 	1990 	2 	85 	120 	[+]
271. 	SUI 	IAM 	PROF 	Sebastien Reichenbach 	1989 	2 	60 	120 	[+]
272. 	POL 	CCC 	PROF 	Bartlomiej Matysiak 	1984 	1 	60 	120 	[+]
273. 	ITA 	TCS 	WT 	Manuele Boaro 	1987 	1 	45 	120 	[+]
274. 	ESP 	CJR 	PROF 	Luis Mas 	1989 	1 	0 	120 	[+]
275. 	FRA 	BSE 	PROF 	Pierre-Luc Perichon 	1987 	1 	0 	120 	[+]
276. 	RUS 	RVL 	PROF 	Artem Ovechkin 	1986 	1 	10 	118 	[+]
277. 	KAZ 	AST 	WT 	Daniil Fominykh 	1991 	1 	0 	116 	[+]
278. 	POL 	CAN 	WT 	Maciej Bodnar 	1985 	2 	135 	115 	[+]
279. 	ERI 	EUC 	WT 	Natnael Berhane 	1991 	2 	95 	115 	[+]
280. 	GER 	TNE 	PROF 	Paul Voss 	1986 	1 	80 	115 	[+]
281. 	LAT 	KAT 	WT 	Gatis Smukulis 	1987 	2 	100 	114 	[+]
282. 	DEN 	TCS 	WT 	Christopher Juul Jensen 	1989 	1 	0 	114 	[+]
283. 	CZE 	OPQ 	WT 	Petr Vakoc 	1992 	1 	0 	114 	[+]
284. 	ESP 	MOV 	WT 	Francisco Ventoso 	1982 	6 	290 	110 	[+]
285. 	SUI 	IAM 	PROF 	Johann Tschopp 	1982 	2 	80 	110 	[+]
286. 	USA 	GIA 	WT 	Lawson Craddock 	1992 	2 	70 	110 	[+]
287. 	FRA 	BSE 	PROF 	Armindo Fonseca 	1989 	1 	60 	110 	[+]
288. 	ITA 	LAM 	WT 	Davide Cimolai 	1989 	1 	35 	110 	[+]
289. 	POL 	MOV 	WT 	Sylwester Szmyd 	1978 	1 	2 	110 	[+]
290. 	FRA 	ALM 	WT 	Hubert Dupont 	1980 	1 	0 	110 	[+]
291. 	GBR 	OPQ 	WT 	Andrew Fenn 	1990 	1 	0 	110 	[+]
292. 	SUI 	TCS 	WT 	Oliver Zaugg 	1981 	1 	0 	110 	[+]
293. 	BEL 	TFR 	WT 	Jasper Stuyven 	1992 	2 	50 	109 	[+]
294. 	AUS 	OGE 	WT 	Simon Clarke 	1986 	4 	191 	102 	[+]
295. 	ESP 	MOV 	WT 	Imanol Erviti 	1983 	1 	0 	101 	[+]
296. 	NED 	AND 	PROF 	Kenny van Hummel 	1982 	4 	200 	100 	[+]
297. 	FIN 	FDJ 	WT 	Jussi Veikkanen 	1981 	2 	100 	100 	[+]
298. 	AUS 	LTB 	WT 	Adam Hansen 	1981 	2 	96 	100 	[+]
299. 	FRA 	BSE 	PROF 	Romain Feillu 	1984 	2 	80 	100 	[+]
300. 	SLO 	AST 	WT 	Janez Brajkovic 	1983 	2 	76 	100 	[+]
301. 	NED 	WGG 	PROF 	Michel Kreder 	1987 	2 	60 	100 	[+]
302. 	BEL 	OPQ 	WT 	Iljo Keisse 	1982 	1 	50 	100 	[+]
303. 	FRA 	ALM 	WT 	Lloyd Mondory 	1982 	1 	30 	100 	[+]
