	Country 	UCI Team 	UCI Cat 	Rider 	Born 	Price 	Prev 	Score ↓ 	
1. 	ESP 	MOV 	WT 	Alejandro Valverde 	1980 	34 	2808 	3956 	[+]
2. 	ESP 	TCS 	WT 	Alberto Contador 	1982 	16 	904 	2648 	[+]
3. 	NOR 	KAT 	WT 	Alexander Kristoff 	1987 	20 	1210 	2305 	[+]
4. 	SVK 	CAN 	WT 	Peter Sagan 	1990 	40 	3580 	2200 	[+]
5. 	GER 	GIA 	WT 	John Degenkolb 	1989 	20 	1235 	2131 	[+]
6. 	POL 	OPQ 	WT 	Michal Kwiatkowski 	1990 	20 	1084 	2017 	[+]
7. 	BEL 	BMC 	WT 	Philippe Gilbert 	1982 	20 	995 	2010 	[+]
8. 	ITA 	AST 	WT 	Vincenzo Nibali 	1984 	32 	3003 	1815 	[+]
9. 	BEL 	BMC 	WT 	Greg Van Avermaet 	1985 	22 	1390 	1700 	[+]
10. 	COL 	MOV 	WT 	Nairo Quintana 	1990 	30 	1650 	1678 	[+]
11. 	NED 	GIA 	WT 	Tom Dumoulin 	1990 	8 	373 	1646 	[+]
12. 	FRA 	FDJ 	WT 	Arnaud Démare 	1991 	16 	922 	1625 	[+]
13. 	SUI 	TFR 	WT 	Fabian Cancellara 	1981 	32 	2155 	1534 	[+]
14. 	AUS 	OGE 	WT 	Simon Gerrans 	1980 	8 	502 	1530 	[+]
15. 	FRA 	ALM 	WT 	Romain Bardet 	1990 	10 	350 	1415 	[+]
16. 	BEL 	BEL 	WT 	Sep Vanmarcke 	1988 	10 	430 	1405 	[+]
17. 	FRA 	FDJ 	WT 	Nacer Bouhanni 	1990 	12 	571 	1352 	[+]
18. 	ESP 	KAT 	WT 	Joaquim Rodriguez 	1979 	34 	2520 	1319 	[+]
19. 	GBR 	SKY 	WT 	Chris Froome 	1985 	34 	2541 	1311 	[+]
20. 	NED 	OPQ 	WT 	Niki Terpstra 	1984 	14 	818 	1285 	[+]
21. 	POL 	TCS 	WT 	Rafal Majka 	1989 	18 	1053 	1280 	[+]
22. 	POR 	LAM 	WT 	Rui Costa 	1986 	22 	1760 	1275 	[+]
23. 	ITA 	AST 	WT 	Fabio Aru 	1990 	6 	177 	1270 	[+]
24. 	GER 	OPQ 	WT 	Tony Martin 	1985 	18 	1175 	1255 	[+]
25. 	FRA 	LTB 	WT 	Tony Gallopin 	1988 	8 	330 	1180 	[+]
26. 	NED 	BEL 	WT 	Bauke Mollema 	1986 	20 	1290 	1165 	[+]
27. 	GER 	GIA 	WT 	Marcel Kittel 	1988 	20 	1150 	1160 	[+]
28. 	IRL 	GRS 	WT 	Daniel Martin 	1986 	22 	1363 	1155 	[+]
29. 	AUS 	OGE 	WT 	Michael Matthews 	1990 	8 	400 	1148 	[+]
30. 	LTU 	GRS 	WT 	Ramunas Navardauskas 	1988 	6 	190 	1100 	[+]
31. 	FRA 	IAM 	PROF 	Sylvain Chavanel 	1979 	20 	1585 	1075 	[+]
32. 	FRA 	ALM 	WT 	Jean-Christophe Peraud 	1977 	10 	290 	1050 	[+]
33. 	BEL 	TSV 	PROF 	Tom Van Asbroeck 	1990 	1 	0 	1040 	[+]
34. 	ITA 	BAR 	PROF 	Sonny Colbrelli 	1990 	2 	100 	985 	[+]
