	Country 	Trade Team 	Rider 	Born 	Price 	Prev 	Score ↓ 	
1. 	NED 	RBW 	Anna van der Breggen 	1990 	35 	2841 	4696 	[+]
2. 	SWE 	GEW 	Emma Johansson 	1983 	55 	4441 	3510 	[+]
3. 	BEL 	WHT 	Jolien D'hoore 	1990 	20 	1470 	3027 	[+]
4. 	GBR 	DLT 	Elizabeth Deignan 	1988 	50 	3415 	2706 	[+]
5. 	GER 	VEL 	Lisa Brennauer 	1988 	35 	2833 	2703 	[+]
6. 	NED 	RBW 	Lucinda Brand 	1989 	14 	968 	2612 	[+]
7. 	USA 	DLT 	Megan Guarnier 	1985 	14 	930 	2560 	[+]
8. 	ITA 	WHT 	Elisa Longo Borghini 	1991 	35 	2692 	2363 	[+]
9. 	NED 	HPU 	Kirsten Wild 	1982 	35 	2549 	2132 	[+]
10. 	BLR 	VEL 	Alena Amialyusik 	1989 	16 	1110 	2003 	[+]
11. 	NED 	TLP 	Amy Pieters 	1991 	16 	1175 	1993 	[+]
12. 	POL 	RBW 	Katarzyna Niewiadoma 	1994 	10 	530 	1958 	[+]
13. 	RSA 	BCT 	Ashleigh Moolman 	1985 	14 	850 	1925 	[+]
14. 	ITA 	LBL 	Elena Cecchini 	1992 	16 	1030 	1865 	[+]
15. 	FRA 	RBW 	Pauline Ferrand-Prevot 	1992 	40 	3032 	1745 	[+]
16. 	FIN 	BCT 	Lotta Henttala (Lepistö) 	1989 	10 	585 	1630 	[+]
17. 	LUX 	DLT 	Christine Majerus 	1987 	16 	1050 	1576 	[+]
18. 	NED 	BCT 	Annemiek van Vleuten 	1982 	30 	1692 	1561 	[+]
19. 	NED 	DLT 	Ellen van Dijk 	1987 	35 	1888 	1515 	[+]
20. 	ITA 	WHT 	Giorgia Bronzini 	1983 	25 	2346 	1395 	[+]
21. 	USA 	ALE 	Shelley Olds 	1980 	20 	1930 	1370 	[+]
22. 	CAN 	VEL 	Karol-Ann Canuel 	1988 	6 	370 	1315 	[+]
23. 	USA 	DLT 	Evelyn Stevens 	1983 	35 	2162 	1215 	[+]
24. 	USA 	TIB 	Lauren Stephens 	1986 	6 	403 	1213 	[+]
